h,n,F,coef,se,lo90,hi90
0,382,187.44259411734734,-0.02146027183508843,0.03660237459187485,-0.08167117803872255,0.0387506343685457
1,381,187.78286163923897,-0.058515339981261474,0.05820036006620018,-0.15425493229016077,0.03722425232763782
2,380,189.4563234926261,-0.09388543852896472,0.06507805960055027,-0.20093884657186992,0.013167969513940475
3,379,230.88628335939487,-0.10103159656351816,0.06706575579484787,-0.21135476484604293,0.009291571719006589
4,378,239.8817578956386,-0.10819128184331492,0.06992968885981166,-0.22322562001770507,0.006843056331075251
5,377,239.14140144671427,-0.13315234808690374,0.07823610707995705,-0.26185074423343313,-0.004453951940374373
6,376,241.34462729574642,-0.17946230003606323,0.07980149307732315,-0.31073575614825977,-0.04818884392386666
7,375,241.37222939391623,-0.13423648618324677,0.08734066296910188,-0.27791187676741935,0.009438904400925818
8,374,242.08328491420497,-0.06354913402992506,0.10073154462714934,-0.2292525249415857,0.10215425688173561
9,373,242.3402790844472,-0.04689018177241553,0.10402801557630836,-0.21801626739544278,0.12423590385061173
10,372,242.3590847480663,-0.04230954984880774,0.1043004957198186,-0.21388386530790934,0.12926476561029385
11,371,241.79206757489217,0.03732807125981446,0.10675876579672573,-0.13829009847579937,0.2129462409954283
12,370,243.10724649913294,-0.00959318853263526,0.10765860901779485,-0.1866916003669078,0.16750522330163725
13,369,243.63401746517434,-0.029411798915723857,0.11721963708376576,-0.22223810191851853,0.16341450408707084
14,368,243.67236367988775,-0.09248600286549943,0.1279749270389959,-0.3030047578446477,0.11803275211364883
15,367,243.5271087431777,-0.05945382652548613,0.1247542088940875,-0.2646745001562601,0.1457668471052878
16,366,243.29487955784862,-0.10861344613871733,0.12271782558371531,-0.310484269223929,0.09325737694649437
17,365,244.41225158276634,-0.10202523452775893,0.11373777900900701,-0.28912388099757547,0.08507341194205763
18,364,244.54083697857007,0.0024265579869972975,0.10447143887101369,-0.16942895895582025,0.17428207492981482
19,363,246.3956269188606,0.0822869584559986,0.10171254902063186,-0.08503018468294082,0.249604101594938
20,362,257.3584617345166,0.07901313237641477,0.10823708396012756,-0.09903687073799505,0.2570631354908246
21,361,257.001743220891,0.06179449489044186,0.1138458244492046,-0.12548188632849971,0.24907087610938344
22,360,253.6197168028441,0.030994637332621647,0.12092096079275885,-0.16792034317146667,0.22990961783670996
23,359,254.27367159043277,0.030395680654658898,0.1281485952057872,-0.18040875845886106,0.24120011976817884
24,358,254.38959973846744,0.11174034544750013,0.11614429791329973,-0.07931702461987795,0.3027977155148782
25,357,256.7305164131508,0.18706781793342356,0.13218890560326285,-0.03038293178394383,0.40451856765079097
26,356,258.1699699021961,0.14416169241479249,0.10808290011291832,-0.033634678270958146,0.3219580631005431
27,355,257.7882558569818,0.20436886955719621,0.11052152318432874,0.02256096391897544,0.386176775195417
28,354,257.31484270477694,0.2078878007487184,0.1117052218897134,0.024132710740139868,0.39164289075729697
29,353,258.6390029120965,0.20805545079230375,0.10732726503032958,0.03150209981741159,0.3846088017671959
30,352,259.95545651106926,0.1672231328386367,0.11320317189859547,-0.01899608493455282,0.3534423506118263
31,351,257.7329269047934,0.1631634505013201,0.12753644745392856,-0.04663400556039238,0.3729609065630326
32,350,258.53413400925456,0.2281673802396836,0.10744612535210135,0.051418504035476875,0.40491625644389034
33,349,258.24055570710556,0.2539252161438167,0.10161402464525883,0.0867701456023659,0.4210802866852675
34,348,259.66754175048567,0.2851676065252655,0.10646762831882173,0.11002835794080376,0.46030685510972724
35,347,262.03199783215706,0.2453334348603747,0.10930523736424644,0.0655263193961893,0.4251405503245601
36,346,268.241805372021,0.1171938159178312,0.09988125076388242,-0.047110841588755364,0.2814984734244178
37,345,268.1272908909443,0.12359414084898303,0.09897939506243596,-0.03922696402872412,0.2864152457266902
38,344,267.6998817274746,0.08529418247764645,0.10737708486596169,-0.09134112212686055,0.26192948708215347
39,343,267.0871350068556,0.09225228787758061,0.1243761254323059,-0.1123464384585626,0.29685101421372384
40,342,274.8477303100765,0.03222706146371526,0.12117797944041414,-0.167110714715766,0.23156483764319652
41,341,275.520272813938,-0.036009389181763544,0.11815329175897453,-0.23037155412527666,0.15835277576174955
42,340,275.5910173852702,-0.006410925733588766,0.11700526963594016,-0.1988845942847103,0.1860627428175328
43,339,276.06344972768073,-0.016206299632063246,0.10862133899047875,-0.19488840227140078,0.1624758030072743
44,338,277.03444334624015,0.0003921770650117994,0.10711974173318368,-0.17581979808607537,0.17660415221609896
45,337,281.658773662647,-0.04570308385732097,0.10817998921336358,-0.22365916611330405,0.1322529983986621
46,336,319.44754737276503,-0.06798940790265942,0.10379615489081165,-0.23873408269804458,0.10275526689272574
47,335,322.5191764846615,-0.048922960525681854,0.11008780519306383,-0.23001740006827184,0.13217147901690815
48,334,343.23959764897796,-0.1019062858695288,0.12575354272691772,-0.3087708636553085,0.10495829191625086
