h,n,F,coef,se,lo90,hi90
0,296,286.9782837382029,-0.043709379855276564,0.040798055954835336,-0.1108221819009807,0.02340342219042757
1,295,287.2257201391844,-0.07723038588222843,0.0685577814634198,-0.190007936389554,0.03554716462509715
2,294,288.1032925031653,-0.11581811914790001,0.06632923201105849,-0.22492970580609123,-0.006706532489708789
3,293,288.41104925796196,-0.14819660227718265,0.07061571939458032,-0.26435946068126726,-0.032033743873098014
4,292,288.4764517011815,-0.17307584157455996,0.07005453297061061,-0.2883155483112144,-0.057836134837905506
5,291,288.566375044308,-0.18300925841717872,0.08674143426244336,-0.32569891777889803,-0.04031959905545937
6,290,288.79672036007014,-0.22092752657509265,0.0884397244046544,-0.36641087322074917,-0.07544417992943617
7,289,288.48400711286087,-0.19864890438647967,0.0932252581084927,-0.35200445397495017,-0.04529335479800917
8,288,291.0827963719138,-0.14679335282290906,0.1051572199396943,-0.3197769796237062,0.026190273977888062
9,287,288.92352807737717,-0.16390171868406442,0.09702976937996773,-0.32351568931411134,-0.004287748054017521
10,286,290.89866837929475,-0.14342196663587517,0.09859015543926238,-0.3056027723334618,0.01875883906171144
11,285,290.41723563076374,-0.09363204966959719,0.10032600793014032,-0.25866833271467804,0.07140423337548364
12,284,290.0575367979966,-0.10991854937190183,0.09363778592428554,-0.26395270721735153,0.04411560847354788
13,283,289.9963338676774,-0.11061245708718394,0.09566287990005005,-0.26797789452276627,0.04675298034839841
14,282,289.8554451404376,-0.14791141698786167,0.11099402029598232,-0.3304965803747526,0.03467374639902926
15,281,290.1410119708052,-0.11839260867231409,0.10397782239975269,-0.28943612651990724,0.05265090917527908
16,280,289.99523299925823,-0.15057380561717043,0.10543901041186521,-0.3240209777446887,0.022873366510347826
17,279,289.76248598201715,-0.10202276266603502,0.08937712072624927,-0.24904812626071507,0.045002600928645026
18,278,289.726661136359,-0.027747726456160825,0.08374474949999339,-0.16550783938364996,0.1100123864713283
19,277,289.33121745605933,0.05189808339358355,0.07495520233058972,-0.07140322444023654,0.17519939122740363
20,276,289.07676928842983,0.04108380827701133,0.07802876937814265,-0.08727351735003333,0.169441133904056
21,275,288.51231671411693,0.09492244112828839,0.07837588873512619,-0.034005895840994185,0.22385077809757098
22,274,287.93207894078967,0.09332242078270421,0.0829922974376997,-0.0431999085023118,0.2298447500677202
23,273,287.8899545469658,0.1420269368899165,0.07499554200728882,0.018659270287926383,0.2653946034919066
24,272,287.82961661418267,0.12600021873911665,0.0754500493053764,0.0018848876317724833,0.25011554984646084
25,271,287.72536140546106,0.14531098145345725,0.07309812439012843,0.025064566831695986,0.2655573960752185
26,270,287.58116021750396,0.14086880391523002,0.07563472096886921,0.016449687921440165,0.2652879199090199
27,269,287.56477137379284,0.1564708943591368,0.08233051272677863,0.021037200923585964,0.29190458779468764
28,268,286.3921888366552,0.21415101749355947,0.07371370240775889,0.0928919770327961,0.3354100579543228
29,267,286.5931231348388,0.2579319401757011,0.07308631568361082,0.1377049508761613,0.3781589294752409
30,266,286.0482816750966,0.22133758462393097,0.07666051148995585,0.09523104322295359,0.3474441260249084
31,265,285.5474106172247,0.22193744754145628,0.07703499002851455,0.09521488894454985,0.3486600061383627
32,264,285.55898869288825,0.26533586786930563,0.07852811492921566,0.13615711881074588,0.3945146169278654
33,263,285.8992374540657,0.2374265731396089,0.08651075781675745,0.0951163765310429,0.37973676974817494
34,262,285.9839277427568,0.19403477399693295,0.08346666366169503,0.05673211227344463,0.3313374357204213
35,261,286.0808463981369,0.16589925331071168,0.08926637173895019,0.019056071800138602,0.3127424348212847
36,260,286.2438453934432,0.05975660412241138,0.08110922257173667,-0.07366806700809544,0.1931812752529182
37,259,285.8173848741874,0.04126815318222015,0.07991607365734599,-0.09019378798411398,0.1727300943485543
38,258,285.54943844190973,-0.022912678309229533,0.07256444808463297,-0.14228119540845077,0.0964558387899917
39,257,285.61620592146016,-0.051557407950462465,0.08054221582384856,-0.18404935298069333,0.08093453707976841
40,256,283.9406089575533,-0.14883233055966963,0.08038170614231643,-0.28106023716378015,-0.016604423955559083
41,255,283.9203173128636,-0.20959179465047478,0.08569773081224429,-0.35056456183661666,-0.06861902746433293
42,254,283.33169953926574,-0.17149309063639492,0.091893764685449,-0.32265833354395856,-0.02032784772883131
43,253,283.2679640790601,-0.12825563037151383,0.07807198853330348,-0.25668405150879803,0.00017279076577039754
44,252,282.92878009996673,-0.12034578113005587,0.06790699498998203,-0.2320527878885763,-0.00863877437153543
45,251,283.01054796343726,-0.13968433599490937,0.07356554158579873,-0.26069965190354827,-0.018669020086270458
46,250,282.871223356516,-0.12866155405907978,0.09268250392442587,-0.28112427301476034,0.02380116489660078
47,249,290.8559711956516,-0.1465897118873531,0.12243820888892085,-0.3480005655096279,0.0548211417349217
48,248,292.39857846430243,-0.12318241985994179,0.11063420726054407,-0.3051756908035368,0.05881085108365321
