outcome,h,coef,se,lo90,hi90
Log WTI oil price,0,-0.023976323860097182,0.028007749901235824,-0.07004907244763012,0.022096424727435747
Log WTI oil price,1,-0.07657168783953239,0.04378803308114617,-0.14860300225801784,-0.004540373421046934
Log WTI oil price,2,-0.12316886705366414,0.05045323450225411,-0.20616443780987215,-0.040173296297456126
Log WTI oil price,3,-0.12821484876121758,0.056212817432631304,-0.22068493343789608,-0.03574476408453908
Log WTI oil price,4,-0.13242890800802343,0.06164928776728345,-0.2338419863852047,-0.03101582963084215
Log WTI oil price,5,-0.14242709129166542,0.06763446949601563,-0.2536857936126111,-0.031168388970719704
Log WTI oil price,6,-0.17395882027358311,0.07056006971450479,-0.2900301349539435,-0.05788750559322273
Log WTI oil price,7,-0.1373092487951908,0.07731053618393065,-0.2644850808177567,-0.010133416772624887
Log WTI oil price,8,-0.07840380638981514,0.09196619301655189,-0.229688193902043,0.07288058112241272
Log WTI oil price,9,-0.061386983270494966,0.0943642211694802,-0.2166161270942899,0.09384216055329997
Log WTI oil price,10,-0.0487830162969658,0.09572335233645077,-0.2062479308904273,0.10868189829649572
Log WTI oil price,11,0.007105819790467649,0.09089898145771108,-0.14242300470746708,0.15663464428840237
Log WTI oil price,12,-0.01803264822547135,0.09181203971754406,-0.16906345356083133,0.13299815710988863
Log WTI oil price,13,-0.03594644088525456,0.10046845416742037,-0.20121704799066106,0.12932416622015194
Log WTI oil price,14,-0.07310200610663742,0.10511121577596831,-0.2460099560581053,0.09980594384483046
Log WTI oil price,15,-0.04273585619239384,0.10370386904511805,-0.21332872077161305,0.12785700838682537
Log WTI oil price,16,-0.0740585286721398,0.10205931285607381,-0.24194609832038122,0.09382904097610162
Log WTI oil price,17,-0.05474740398994982,0.09271286574902118,-0.20726006814708967,0.09776526016719003
Log WTI oil price,18,0.028437429321002128,0.08861963078607143,-0.11734186332208538,0.17421672196408963
Log WTI oil price,19,0.09366319007767743,0.085890897460034,-0.0476273362440785,0.23495371639943335
Log WTI oil price,20,0.11011419658484556,0.092474667619018,-0.04200663164843904,0.26223502481813016
Log WTI oil price,21,0.10771807236210407,0.0963018695638954,-0.05069850307050386,0.26613464779471196
Log WTI oil price,22,0.08234872808134241,0.09806455541301898,-0.0789674655730738,0.24366492173575863
Log WTI oil price,23,0.08423915500043222,0.10325494692709271,-0.08561523269463528,0.2540935426954997
Log WTI oil price,24,0.15107349562640593,0.10204911285497413,-0.016797295020026526,0.3189442862728384
Log WTI oil price,25,0.20707676785696094,0.11600088697767354,0.01625530877868797,0.3978982269352339
Log WTI oil price,26,0.17964385027698881,0.09355561661663729,0.025744860942620462,0.33354283961135717
Log WTI oil price,27,0.22431480663044567,0.09352732434597703,0.07046235808131346,0.3781672551795779
Log WTI oil price,28,0.2330559506604004,0.09707031516879336,0.07337528220773534,0.39273661911306545
Log WTI oil price,29,0.2292854848060415,0.09919876729616667,0.06610351260384734,0.39246745700823565
Log WTI oil price,30,0.1999841320566702,0.10145435550740808,0.0330917172469839,0.3668765468663565
Log WTI oil price,31,0.19732236328582076,0.11018296444732399,0.0160713867699728,0.37857333980166874
Log WTI oil price,32,0.25457574829488294,0.09639568245076359,0.09600485066337683,0.41314664592638906
Log WTI oil price,33,0.28609807044540503,0.09695252000002148,0.1266111750453697,0.4455849658454404
Log WTI oil price,34,0.30533585628381843,0.10525022854376997,0.13219923032931682,0.47847248223832006
Log WTI oil price,35,0.2848623950071669,0.1079844873294635,0.10722791335019946,0.4624968766641344
Log WTI oil price,36,0.20195927417171333,0.10023549421759889,0.03707188618376314,0.36684666215966355
Log WTI oil price,37,0.2134942092775418,0.09626613635231157,0.05513641497798927,0.37185200357709436
Log WTI oil price,38,0.17770519860914646,0.09860646582136434,0.015497562333002118,0.3399128348852908
Log WTI oil price,39,0.18034801644898835,0.10719638492035974,0.004009963254996585,0.3566860696429801
Log WTI oil price,40,0.13568976108717834,0.10879285982965912,-0.043274493332610936,0.3146540155069676
Log WTI oil price,41,0.07936799922345017,0.10626285832098133,-0.0954344027145641,0.25417040116146444
Log WTI oil price,42,0.11139559867478965,0.10384722650835307,-0.059433088931451133,0.28222428628103047
Log WTI oil price,43,0.11258150529238264,0.10165869770080835,-0.054647052425447096,0.2798100630102124
Log WTI oil price,44,0.12553557914861813,0.10301848555708781,-0.04392982959279132,0.2950009878900276
Log WTI oil price,45,0.10224667155489442,0.10661187421652249,-0.07312986153128509,0.27762320464107393
Log WTI oil price,46,0.08604723328880937,0.10059982045867674,-0.07943947136571389,0.2515339379433326
Log WTI oil price,47,0.09955501398781053,0.10003702278889501,-0.06500588849992175,0.2641159164755428
Log WTI oil price,48,0.055519152160741214,0.10762609681710113,-0.12152577710339013,0.23256408142487256
Log world industrial production,0,-0.0004124864935874939,0.13233464735911685,-0.2181029813993347,0.21727800841215972
Log world industrial production,1,0.0014812201261520386,0.5199587964645828,-0.8538510000580866,0.8568134403103906
Log world industrial production,2,0.001197531819343567,0.573072122174059,-0.9415061091569835,0.9439011727956707
Log world industrial production,3,0.0015480443835258484,0.08400411606061911,-0.13663872653619258,0.13973481530324428
Log world industrial production,4,0.0036547407507896423,0.139999487233656,-0.22664441574857447,0.23395389725015375
Log world industrial production,5,0.006148546934127808,0.049102032869914686,-0.07462429713688185,0.08692139100513746
Log world industrial production,6,0.0014622509479522705,0.6456585342865773,-1.0606460379534675,1.063570539849372
Log world industrial production,7,0.0028293728828430176,0.1705280097662237,-0.277689203182595,0.283347948948281
Log world industrial production,8,0.006860546767711639,0.4706451939044234,-0.7673507972050648,0.7810718907404881
Log world industrial production,9,0.005711540579795837,0.6175978079178944,-1.0102368534451405,1.0216599346047321
Log world industrial production,10,0.004867523908615112,0.5842353606021812,-0.9561996442819729,0.9659346920992031
Log world industrial production,11,0.004376962780952454,0.3408319601570354,-0.5562916116773707,0.5650455372392756
Log world industrial production,12,0.0030263513326644897,0.23675645746179289,-0.38643802119198484,0.3924907238573138
Log world industrial production,13,0.005267217755317688,0.23604270617567083,-0.3830230339036608,0.3935574694142962
Log world industrial production,14,0.0031208693981170654,0.7941500871495732,-1.303256023962931,1.309497762759165
Log world industrial production,15,0.006444022059440613,0.33594067580359205,-0.5461783896374683,0.5590664337563496
Log world industrial production,16,0.006696097552776337,0.11368671398186686,-0.18031854694739466,0.19371074205294733
Log world industrial production,17,0.006416648626327515,0.340318180409378,-0.5534067581470993,0.5662400553997543
Log world industrial production,18,0.009351730346679688,0.01140858245419838,-0.00941538779047665,0.028118848483836025
Log world industrial production,19,0.00784747302532196,0.5789657794549247,-0.9445512341780291,0.960246180228673
Log world industrial production,20,0.00851738452911377,0.27581856352183953,-0.4452041524643123,0.4622389215225398
Log world industrial production,21,0.006727546453475952,0.585773540968137,-0.9568699284391096,0.9703250213460615
Log world industrial production,22,0.011092320084571838,0.4549259492399045,-0.737260866415071,0.7594455065842147
Log world industrial production,23,0.004890620708465576,0.5207102862657068,-0.8516778001986222,0.8614590416155533
Log world industrial production,24,0.007716670632362366,0.5986072708345311,-0.9769922898904414,0.9924256311551661
Log world industrial production,25,0.014866597950458527,0.9205082057106508,-1.499369400443562,1.529102596344479
Log world industrial production,26,0.016946852207183838,0.10711674467500726,-0.1592601927832031,0.19315389719757078
Log world industrial production,27,0.01569288969039917,0.05490792456046002,-0.07463064621155757,0.10601642559235591
Log world industrial production,28,0.01645001769065857,0.30985446059342175,-0.49326056998552026,0.5261606053668374
Log world industrial production,29,0.010195545852184296,0.027076076256388484,-0.03434459958957476,0.05473569129394335
Log world industrial production,30,0.011337563395500183,0.08920779742054455,-0.1354092633612956,0.15808439015229597
Log world industrial production,31,0.011116363108158112,0.1114238853374878,-0.17217592827200934,0.19440865448832556
Log world industrial production,32,0.009542614221572876,0.2298434537407998,-0.3685498671820428,0.38763509562518855
Log world industrial production,33,0.007477596402168274,0.24268336497939655,-0.39173653898893906,0.4066917317932756
Log world industrial production,34,0.010548517107963562,0.4215465334540261,-0.6828955304239094,0.7039925646398365
Log world industrial production,35,0.011966459453105927,0.24193211041350668,-0.3860118621771126,0.40994478108332444
Log world industrial production,36,0.009705223143100739,0.06667553702542377,-0.09997603526372136,0.11938648154992283
Log world industrial production,37,0.011123061180114746,0.3476271400370854,-0.5607235841808907,0.5829697065411202
Log world industrial production,38,0.012188203632831573,0.2412634708799846,-0.38469020596474307,0.4090666132304062
Log world industrial production,39,0.010270163416862488,0.9682078438836081,-1.582431739771673,1.602972066605398
Log world industrial production,40,0.011724919080734253,0.7369330546522856,-1.2005299558222757,1.2239797939837442
Log world industrial production,41,0.008694037795066833,0.23855393784776707,-0.38372718996451,0.40111526555464366
Log world industrial production,42,0.007908239960670471,0.049370756625132975,-0.07330665468767328,0.08912313460901422
Log world industrial production,43,0.00782756507396698,0.8199474891404281,-1.3409860545620373,1.3566411847099713
