h,coef,se,ci_lo,ci_hi,n,F
0,-0.010223507026264657,0.14602631598827714,-0.2504154225099441,0.22996840845741476,333,4.7
1,-0.006827710666007006,0.144047118664556,-0.24376413625331106,0.23010871492129703,333,4.7
2,0.1764378289674634,0.4541492088259595,-0.5705711443470576,0.9234468022819844,333,4.7
3,-0.043566045122735916,0.2556086164246766,-0.46400480492891283,0.37687271468344097,333,4.7
4,-0.2940275346708706,0.5617371507952471,-1.2180029245498187,0.6299478552080776,333,4.7
5,-0.03966559655510853,0.2564688659829233,-0.46151934096725095,0.38218814785703387,332,4.8
6,-0.179138409414943,0.32135236290905256,-0.7077160090753238,0.3494391902454379,331,4.9
7,-0.03405668726869209,0.296247851331199,-0.5213410400073953,0.45322766547001114,330,4.7
8,0.3035431364535315,0.9430113112567983,-1.247572439123477,1.85465871203054,329,4.8
9,0.19595607348050925,0.33394572158482866,-0.3533357578732227,0.7452479048342412,328,4.8
10,-0.16432351964587527,0.3755639022839362,-0.782071166469656,0.45342412717790553,327,4.8
11,0.1788991051092503,0.19369326249482027,-0.13969796022141842,0.497496170439919,326,4.8
12,0.11970065640798896,0.2626148009483263,-0.31226225142300446,0.5516635642389823,325,4.7
13,0.1276282892098442,0.2547200359779099,-0.29134888582563034,0.5466054642453188,324,4.7
14,0.003342145992787602,0.17515508029602173,-0.28476232311110006,0.29144661509667524,323,5.0
15,0.20900040838304726,0.3805542953594087,-0.41695570459083797,0.8349565213569324,322,4.9
16,0.006952618557794567,0.1737045479777439,-0.2787659372013635,0.2926711743169526,321,4.9
17,-0.2755395132776129,0.6128189733392956,-1.2835370242394306,0.7324579976842049,320,5.2
18,0.1658398402034141,0.37728209424463793,-0.45473398089872574,0.786413661305554,319,5.9
19,0.3777900754296024,0.47578451984240705,-0.4048058176805456,1.1603859685397504,318,6.1
20,0.7771501971276769,1.9528336591429123,-2.4349753299464574,3.9892757242018115,317,6.1
21,0.39117190553193326,0.3962435912014597,-0.260590802612064,1.0429346136759305,316,6.3
22,-0.10364834522346145,0.6365060970501225,-1.150607707533081,0.9433110170861582,315,6.1
23,-0.349102212773868,0.7409552730758477,-1.5678651811014945,0.8696607555537584,314,6.1
24,-0.24208721448471773,0.7502305219340069,-1.4761066095375648,0.9919321805681294,313,5.7
25,0.1948845428571681,0.523544599214131,-0.6662696900310501,1.0560387757453864,312,5.6
26,-0.08333733800508512,0.5059521225020731,-0.9155545217664156,0.7488798457562453,311,6.3
27,0.2699137094963432,0.3639542148545159,-0.32873770085138265,0.868565119844069,310,6.5
28,-0.09869599933404792,0.3796506895745127,-0.7231658130553126,0.5257738143872167,309,6.7
29,-0.057346507181412286,0.5780115123739322,-1.0080908397293804,0.8933978253665559,308,7.3
30,-0.0039000447672688328,0.7377533349649031,-1.2173962935798341,1.2095962040452966,307,7.4
31,-0.06255651426630766,0.4112834393278313,-0.7390575711497668,0.6139445426171514,306,7.1
32,-0.1315188147618745,0.37335592125870576,-0.7456346559880651,0.48259702646431607,305,7.1
33,0.07280433047495498,0.44610432428119673,-0.6609719853177072,0.806580646267617,304,7.0
34,0.20123049558179132,0.44658272790136316,-0.5333327241406484,0.9357937153042309,303,6.6
35,0.4806252274975018,0.7018177446433634,-0.6737622352380368,1.6350126902330404,302,6.8
36,-0.19914036220375228,0.49530884166759165,-1.0138509068818229,0.6155701824743183,301,6.2
37,0.11121780081838249,0.30127577618489804,-0.384336752351967,0.606772353988732,300,6.3
38,-0.2139348220424165,0.3669949184014332,-0.8175877446477735,0.38971810056294043,299,5.8
39,0.27578264984348805,0.40143554804078124,-0.3845200673386429,0.9360853670256191,298,5.6
40,0.060977905413321,0.19330276727019888,-0.25697685243082197,0.37893266325746394,297,5.8
41,-0.19121603623973968,0.348682885074357,-0.7647483444101992,0.3823162719307198,296,5.6
42,-0.1860627309055751,0.3209378502429524,-0.7139585179037038,0.34183305609255354,295,5.0
43,-0.11267617653716713,0.24217850152790132,-0.5110243631450083,0.285672010070674,294,4.8
44,0.1036648070228451,0.3735936260886238,-0.5108420238549799,0.7181716379006701,293,4.3
45,0.0712793514091276,0.24900600331862383,-0.3382990762822012,0.4808577791004564,292,3.6
46,-0.2391441626918803,0.31115162101413085,-0.7509430350488033,0.2726547096650427,291,6.3
47,-0.13957860588406912,0.2052468099422928,-0.4771795656378689,0.19802235386973066,290,8.4
48,-0.23096312250416953,0.40913861018729086,-0.9039362493966194,0.4420100043882804,289,4.9
