block,learner,horizon,coef,se,n_obs,fstat_linear
B1: Baseline,RF,0,-7.1793693925232525,213.62991841438046,385,0.08
B1: Baseline,RF,12,-0.39555015087749096,0.7817375022955458,373,0.2
B1: Baseline,RF,24,-0.4262766975996039,1.081669951172875,361,0.17
B1: Baseline,RF,36,-0.14851861168034455,1.6913910279594664,349,0.11
B1: Baseline,RF,48,0.521900084087578,2.39468918465315,337,0.07
B1: Baseline,GB,0,0.3318476445158535,0.8954270491752011,385,0.08
B1: Baseline,GB,12,0.9281814877924845,2.4419246183579206,373,0.2
B1: Baseline,GB,24,-1.1026739707747029,5.304672402797125,361,0.17
B1: Baseline,GB,36,-0.3305475698581645,0.7978626460422092,349,0.11
B1: Baseline,GB,48,-0.3303443187458033,3.2375449788685513,337,0.07
B1: Baseline,Lasso,0,5.1364329915232725,65.55619055260776,385,0.08
B1: Baseline,Lasso,12,-3.4861493364369176,88.85209286951492,373,0.2
B1: Baseline,Lasso,24,-0.691278574109845,3.9717606814853297,361,0.17
B1: Baseline,Lasso,36,-0.49217222554148715,6.738572207822539,349,0.11
B1: Baseline,Lasso,48,-0.23147102655429225,0.9507074170693228,337,0.07
B2: +Alliance,RF,0,-0.24357379844296642,0.7840221688794421,385,0.1
B2: +Alliance,RF,12,-0.471493401283451,1.3209851416814182,373,0.06
B2: +Alliance,RF,24,-0.4617919596002511,1.1078123096753234,361,0.01
B2: +Alliance,RF,36,0.37791111307691555,1.7099797066071722,349,0.01
B2: +Alliance,RF,48,0.13956684953131288,0.6692653941831578,337,0.01
B2: +Alliance,GB,0,2.678410949655043,64.00735528751474,385,0.1
B2: +Alliance,GB,12,-0.7719696739304237,2.8232565922775525,373,0.06
B2: +Alliance,GB,24,-1.416448048025949,5.052043375330054,361,0.01
B2: +Alliance,GB,36,-0.4034235737285454,0.5582401047957718,349,0.01
B2: +Alliance,GB,48,1.1641107418625574,9.07977843133423,337,0.01
B2: +Alliance,Lasso,0,-0.8295489103013798,8.478354295626625,385,0.1
B2: +Alliance,Lasso,12,-1.0477252671474688,4.245986962923049,373,0.06
B2: +Alliance,Lasso,24,-0.14761168312405448,0.5860848497275125,361,0.01
B2: +Alliance,Lasso,36,-0.3615023803717549,0.8529392877781399,349,0.01
B2: +Alliance,Lasso,48,0.21719543708995187,0.6546068316197685,337,0.01
B3: +Macro,RF,0,1.5819275177159193,10.843996786009868,337,0.11
B3: +Macro,RF,12,0.15843900330241564,0.6625399853207321,325,0.03
B3: +Macro,RF,24,-0.0018582083062409253,0.56743356259603,313,0.05
B3: +Macro,RF,36,-0.9291392356005023,4.2107388303499,301,0.04
B3: +Macro,RF,48,0.24630020700231153,0.5156016158895803,289,0.0
B3: +Macro,GB,0,0.027463513805839362,0.26567881402752075,337,0.11
B3: +Macro,GB,12,-7.424916165242477,990.642167037302,325,0.03
B3: +Macro,GB,24,-0.9916410720273809,1.601297795676474,313,0.05
B3: +Macro,GB,36,-0.3279879003667905,0.3800761732104585,301,0.04
B3: +Macro,GB,48,0.0580830786107248,0.25562623074331586,289,0.0
B3: +Macro,Lasso,0,-6.504206838286603,180.48011021173318,337,0.11
B3: +Macro,Lasso,12,0.17469859792389472,1.0854251694777206,325,0.03
B3: +Macro,Lasso,24,-0.16894341091609819,0.7683956118642972,313,0.05
B3: +Macro,Lasso,36,-1.0043288027599033,7.1119274160062345,301,0.04
B3: +Macro,Lasso,48,0.004381181044607302,0.4755188166892679,289,0.0
B4: +GDELT/GPR,RF,0,0.13042205396503978,0.2540396615849176,333,4.61
B4: +GDELT/GPR,RF,12,0.0719606779093284,0.22270248625066336,325,4.61
B4: +GDELT/GPR,RF,24,-0.39418325396396636,0.5587564008196997,313,5.5
B4: +GDELT/GPR,RF,36,0.010593793067025254,0.18675414978192145,301,5.97
B4: +GDELT/GPR,RF,48,-0.09111270296408287,0.24867283062680862,289,4.76
B4: +GDELT/GPR,GB,0,-0.09771811971859189,0.22215504119791238,333,4.61
B4: +GDELT/GPR,GB,12,-0.09863536205042922,0.17657206027650063,325,4.61
B4: +GDELT/GPR,GB,24,-0.08695817770228426,0.5909820758693086,313,5.5
B4: +GDELT/GPR,GB,36,-0.18344630341138388,0.1875180030124015,301,5.97
B4: +GDELT/GPR,GB,48,-0.9675182469046515,1.5568592187484296,289,4.76
B4: +GDELT/GPR,Lasso,0,-0.02226853354699223,0.12804652166208907,333,4.61
B4: +GDELT/GPR,Lasso,12,-0.07246473850220571,0.2861682639214482,325,4.61
B4: +GDELT/GPR,Lasso,24,-0.2122666992444084,0.40111189718027285,313,5.5
B4: +GDELT/GPR,Lasso,36,-0.08624799594664963,0.4102834097275171,301,5.97
B4: +GDELT/GPR,Lasso,48,-0.014293543900341397,0.19861125936660362,289,4.76
B5: +Lags (full),RF,0,0.0039181398659743245,0.04317043389263725,333,1327.6
B5: +Lags (full),RF,12,0.051633385940032986,0.07535675892764894,325,1305.58
B5: +Lags (full),RF,24,-0.01327909533260419,0.06628827604551654,313,1327.17
B5: +Lags (full),RF,36,-0.026991559872784815,0.0669156613442164,301,1448.0
B5: +Lags (full),RF,48,-0.022076502767211948,0.08357435595263162,289,1794.82
B5: +Lags (full),GB,0,0.013368886320908071,0.03838629781083055,333,1327.6
B5: +Lags (full),GB,12,0.05304454916777857,0.06207327326448166,325,1305.58
B5: +Lags (full),GB,24,-0.022747320738828958,0.07435221638371893,313,1327.17
B5: +Lags (full),GB,36,0.005533262208373797,0.06287499073377394,301,1448.0
B5: +Lags (full),GB,48,-0.024096858140698865,0.07795623362524075,289,1794.82
B5: +Lags (full),Lasso,0,-0.012747448461047466,0.04622540472031846,333,1327.6
B5: +Lags (full),Lasso,12,0.02282298465667866,0.07238337940726641,325,1305.58
B5: +Lags (full),Lasso,24,-0.0657991436613593,0.07579783552045784,313,1327.17
B5: +Lags (full),Lasso,36,-0.04488553336603511,0.0803897387351501,301,1448.0
B5: +Lags (full),Lasso,48,-0.01331451704342011,0.082672416813087,289,1794.82
