horizon,coef,se,ci_lo,ci_hi,n_obs,fstat_linear
0,0.02262066608745012,0.044944147705243555,-0.06546986341482725,0.11071119558972747,333,1327.6
1,-0.0637676549960457,0.05577520681064761,-0.173087060344915,0.04555175035282362,333,1327.6
2,-0.051224792135129746,0.05598219393266314,-0.16094989224314948,0.058500307972890006,333,1327.6
3,-0.11242832470545992,0.061528301598978145,-0.2330237958394571,0.008167146428537234,333,1327.6
4,-0.03855503879497462,0.07211901641025001,-0.17990831095906465,0.1027982333691154,333,1327.6
5,-0.054710983235796755,0.07271378271064277,-0.1972299973486566,0.08780803087706307,332,1324.26
6,-0.10305399415547192,0.06441623410421816,-0.22930981299973952,0.02320182468879567,331,1327.01
7,-0.04126637437074527,0.0814721433843164,-0.20095177540400538,0.11841902666251486,330,1322.14
8,0.06515803052586262,0.13221089952575793,-0.1939753325446229,0.3242913935963481,329,1322.48
9,-0.0050139857545212375,0.09060828551304549,-0.1826062253600904,0.1725782538510479,328,1317.74
10,-0.0395428047587098,0.06272039893945631,-0.16247478668004417,0.08338917716262459,327,1310.28
11,0.03663864884686151,0.06516547119386201,-0.09108567469310803,0.16436297238683106,326,1305.46
12,0.04389878351525684,0.07912440268982832,-0.11118504575680666,0.19898261278732032,325,1305.58
13,0.06751728358093982,0.08306661998009204,-0.09529329158004059,0.23032785874192024,324,1307.62
14,-0.02073538313787509,0.06713707320256566,-0.15232404661490379,0.11085328033915359,323,1304.62
15,0.07053409184289187,0.07667651336443716,-0.07975187435140497,0.22082005803718874,322,1301.36
16,-0.012906571717008031,0.05626154089251244,-0.1231791918663324,0.09736604843231635,321,1296.03
17,-0.03269713713718844,0.0715513865902687,-0.1729378548541151,0.1075435805797382,320,1294.03
18,0.007691168123298861,0.06587479398903211,-0.12142342809520408,0.1368057643418018,319,1289.31
19,0.1479207403938588,0.07106796679203714,0.008627525481466003,0.2872139553062516,318,1318.73
20,0.10129969292272087,0.07329920175830659,-0.04236674252356004,0.24496612836900178,317,1346.42
21,0.1442380489333584,0.07339565219041272,0.00038257064014945996,0.28809352722656734,316,1337.98
22,-0.04569029340700066,0.0758425355009471,-0.19434166298885697,0.10296107617485566,315,1337.79
23,-0.07678875766579618,0.09850706803970058,-0.2698626110236093,0.11628509569201695,314,1332.13
24,-0.017389659447513323,0.06477579850604682,-0.1443502245193651,0.10957090562433845,313,1327.17
25,0.07929425609484594,0.08618282293525148,-0.08962407685824694,0.24821258904793883,312,1365.31
26,0.06627355765158291,0.07005002812754738,-0.07102449747840994,0.20357161278157576,311,1367.99
27,0.07305565717070223,0.07184910010544956,-0.06776857903597891,0.21387989337738336,310,1364.08
28,0.012215368994656618,0.08024907323447206,-0.1450728145449086,0.16950355253422184,309,1360.3
29,-0.06738313352709949,0.12578867612165626,-0.3139289387255457,0.17916267167134678,308,1373.6
30,-0.06910749248450185,0.13609961746231197,-0.3358627427106333,0.1976477577416296,307,1372.4
31,-0.07826171579016471,0.11297735263693857,-0.2996973269585643,0.14317389537823488,306,1365.16
32,-0.04446012787013946,0.10187256152275008,-0.24413034845472964,0.1552100927144507,305,1363.42
33,-0.018877416468764792,0.07982376700010343,-0.17533199978896752,0.13757716685143795,304,1367.21
34,0.061707040029280104,0.06810960555156419,-0.07178778685178572,0.1952018669103459,303,1393.46
35,0.10396835051666271,0.08028703768789938,-0.05339424335162006,0.2613309443849455,302,1408.12
36,-0.0278958938915192,0.07383327798893341,-0.17260911874982868,0.11681733096679028,301,1448.0
37,0.003153040546644608,0.06504964987156375,-0.12434427320162034,0.13065035429490957,300,1449.94
38,-0.02241050581322773,0.05976639552700409,-0.13955264104615575,0.09473162941970029,299,1450.99
39,0.09099810150976134,0.053280242456061264,-0.013431173704118726,0.1954273767236414,298,1443.97
40,0.0291211404882214,0.07240523368411159,-0.11279311753263732,0.17103539850908012,297,1505.9
41,-0.06765222649922051,0.08025452696105156,-0.22495109934288157,0.08964664634444056,296,1500.36
42,-0.04776288318716963,0.0765563100594327,-0.1978132509036577,0.10228748452931845,295,1488.9
43,-0.04531326336233858,0.0692888923790307,-0.18111949242523873,0.09049296570056158,294,1479.69
44,0.03562697053427438,0.07415427237170193,-0.10971540331426138,0.18096934438281015,293,1487.18
45,0.021340008703364423,0.08920113399342368,-0.153494213923746,0.19617423133047482,292,1536.84
46,-0.08575426348181758,0.07395477124815106,-0.23070561512819365,0.05919708816455849,291,1702.46
47,0.005535817065577208,0.06546815426345075,-0.12278176529078624,0.13385339942194066,290,1732.33
48,-0.03933992910512615,0.08886275745277507,-0.21351093371256527,0.13483107550231296,289,1794.82
