horizon,coef,se,n_obs,fstat
0,-0.11944381297245533,0.15587726607090774,383,0.19
1,-0.06087754269085053,0.29582717769097566,382,0.18
2,0.10359092423785576,0.32832880516295154,381,0.14
3,0.34075110366060213,2.610697647712184,380,0.58
4,0.0035800597268116838,0.3155633110332153,379,0.34
5,0.13690633955788042,0.3413005056920842,378,0.37
6,0.327339086059365,0.8777735186710104,377,0.29
7,-0.22124811420269697,0.3746595130847026,376,0.29
8,-0.09920415145424097,0.23160066321871806,375,0.27
9,-0.11251755933676964,0.8466481338876185,374,0.24
10,0.1495149733038796,0.3801922826347354,373,0.32
11,0.7145031233162107,2.9512283508245063,372,0.32
12,-0.15595504727589338,0.2071010497437072,371,0.38
13,-0.12271209064359447,0.3997654101471119,370,0.32
14,0.06612021328794715,0.193576550259021,369,0.32
15,-0.18496257345865397,0.4669065996094246,368,0.37
16,-0.2657137737632696,0.4754596772202899,367,0.38
17,0.24461097642642912,0.41892571737396905,366,0.38
18,0.09404052615515765,0.6084994299798118,365,0.42
19,-0.39992376682011144,0.723010807323177,364,0.3
20,1.905708849932446,13.778136281941979,363,0.35
21,1.7303343860062579,11.69620882125443,362,0.33
22,0.2176222095754156,0.6960158202308928,361,0.33
23,-0.13532704509715687,0.4998402949341213,360,0.3
24,-0.05890391740322696,1.036431710363063,359,0.31
25,1.531174285689085,7.057541442054071,358,0.3
26,-0.19755109601765597,0.6744977972626242,357,0.23
27,0.5193860930471145,2.7140300989775916,356,0.29
28,0.3563289528340536,2.845226451209965,355,0.25
29,-0.6458584837213451,4.136109966851048,354,0.16
30,-0.007224484687944281,0.6724356565169662,353,0.14
31,-0.14406231865400074,0.6188889454482731,352,0.27
32,-2.7697507021155525,28.30420026838408,351,0.17
33,-0.06835142647460472,0.9660544866224617,350,0.11
34,0.31216098878347454,0.7334989623187795,349,0.2
35,0.3941928377287379,1.2391372396025717,348,0.11
36,0.8219784039595623,8.389064923124142,347,0.24
37,-0.05795795537450114,0.5992841803859479,346,0.17
38,0.03571278104587673,0.6214404919884678,345,0.26
39,1.6444466356414338,11.856907696131179,344,0.3
40,0.2358395549477124,1.0793873168845587,343,0.13
41,-0.7807183672778123,2.4902739125258173,342,0.09
42,-0.6486743951957112,1.6306608911879703,341,0.1
43,-0.5654260443342402,1.9453254137370413,340,0.1
44,0.11342733017825628,1.5187388558574222,339,0.19
45,-2.389176589946805,81.10758587240683,338,0.36
46,-0.32568411405946235,1.7538996239144768,337,0.05
47,0.17475380313302552,0.4905968290404574,336,0.0
48,0.12142946788500139,1.1574785033266695,335,0.18
