horizon,coef,se,n_obs,fstat
0,-0.18126391474991876,0.558763193271105,337,0.09
1,-0.2743900566324013,1.1873651270746504,336,0.09
2,-0.09216678252937832,0.29921873311485275,335,0.08
3,0.21279412292716193,1.4477675341969434,334,0.06
4,0.1431219716226688,1.1374617420522888,333,0.06
5,0.11110384195281986,0.3945648079347254,332,0.06
6,0.09960665586762332,0.23706456106993115,331,0.08
7,0.2550509900948163,0.48417468719846585,330,0.08
8,-0.0534432162915276,0.2248754033665453,329,0.07
9,0.11816578302146273,0.8135099274457512,328,0.07
10,0.1419607647586347,0.44019700253755767,327,0.07
11,-0.38870279597696167,1.0565447162998562,326,0.07
12,0.06681838005889977,0.20901019679263283,325,0.03
13,-0.23777253558241204,0.5265858690478492,324,0.03
14,0.019244501068017287,0.448986478308471,323,0.04
15,-0.23818055806343144,0.740388711228354,322,0.04
16,0.2884712735080328,2.33262518091074,321,0.04
17,0.45418065389324,1.7346458000995817,320,0.04
18,-0.03553482837447932,0.36316614967202443,319,0.04
19,-0.45207063536704095,1.4197756687098368,318,0.02
20,-0.7348332964195763,2.395277763925013,317,0.02
21,0.45430142378078464,1.2640216501881913,316,0.02
22,1.2713398334330166,79.64268196699203,315,0.04
23,-6.531307875645482,118.52963584793844,314,0.04
24,-0.31846098683900453,1.2717522353899482,313,0.04
25,2.067810628467088,14.475645495219606,312,0.04
26,-0.04926101257684132,0.39527205252021413,311,0.03
27,0.31419430654095604,1.4537808442261444,310,0.04
28,0.03166092635205988,1.0942387361702604,309,0.04
29,-16.785621043371926,2173.421008468661,308,0.02
30,-1.4761664129859429,24.104390174391664,307,0.01
31,-1.3461055422611568,5.115037219017614,306,0.04
32,-0.40498814656121257,1.8748165504584617,305,0.03
33,-0.16027577258166884,0.658711464613453,304,0.02
34,-0.21602449049148983,3.3245422984482835,303,0.03
35,-0.014724095106269671,0.7607683910669052,302,0.01
36,-1.128789135327154,5.51233023253588,301,0.05
37,0.1255250076732554,0.846315873836994,300,0.04
38,-0.41967214060346625,1.536391624563455,299,0.09
39,0.4235391747706555,1.2112370751295345,298,0.11
40,0.9812905825302586,9.971955692780503,297,0.04
41,-0.3684296906736547,1.5811736258138054,296,0.02
42,0.5319379016036898,2.123753105886274,295,0.03
43,0.28051325688907724,0.7930658807822812,294,0.02
44,0.1457997406999448,0.5711243348195166,293,0.05
45,5.262911207328373,214.02194916428869,292,0.12
46,-0.6043489891282295,1.2245891196761363,291,0.03
47,0.0766401322915336,0.4245515604444506,290,0.19
48,0.4312183307331953,1.7435990903534662,289,0.0
