horizon,coef,se,n_obs,fstat
0,0.03664745809158067,0.3774267485805789,333,4.58
1,-0.048775530598581016,1.2871131559249465,333,4.58
2,-0.0691610747007626,0.3134044249228472,333,4.58
3,-0.11142070028617208,0.14152649699710956,333,4.58
4,-0.3561294847061328,0.6248458649485277,333,4.58
5,-0.7936367413634379,11.370147156594841,332,4.58
6,-0.42800668600587993,0.7776148923407497,331,4.7
7,-6.467928784653204,126.08886757514348,330,4.54
8,0.037121634567971955,0.24377497595830003,329,4.69
9,0.2647556450184333,0.9076643976711609,328,4.72
10,-0.022681073474272805,0.43446693475320186,327,4.71
11,0.07632003861413875,0.26768152324728967,326,4.67
12,0.059763992426441016,0.3023474066736652,325,4.67
13,0.027020818566927066,0.8074225365619907,324,4.62
14,-0.017044114585048238,0.32942896145337575,323,5.01
15,0.08480001119074741,0.364874246142128,322,4.91
16,0.7694651662320231,13.760624234351448,321,4.94
17,-0.16432070816142388,0.2844765246254269,320,5.36
18,0.5246786285919831,3.3790537545099824,319,6.01
19,0.5862769381860564,0.9250678745820954,318,6.12
20,0.5117393502213928,0.8434236042428538,317,6.12
21,0.25108721168591674,0.27512647514637506,316,6.42
22,-0.015264312796145596,0.22005897065485155,315,6.29
23,-0.271203908461179,0.5899737575522127,314,6.25
24,-0.07744253630036214,0.21838058881470968,313,5.73
25,0.2928980598727823,0.7409516605549873,312,5.65
26,0.02326369633498638,0.25657395331933425,311,6.29
27,0.08517643529666455,0.22469501205596007,310,6.38
28,-0.04840115186717666,0.23557811935136516,309,6.57
29,0.013382568413463648,0.2566471214781614,308,6.96
30,-0.04751505316214011,0.353126792623756,307,7.14
31,-0.39296799049677317,0.9950712421993146,306,6.72
32,-0.24735567269816633,0.532680977557059,305,6.69
33,-0.05824007422213811,0.27072234649491556,304,6.66
34,0.15883933599182565,0.19862748227147647,303,6.28
35,0.46162112966174895,0.5762792094752727,302,6.59
36,-0.08936746450913892,0.24430538295007814,301,5.96
37,0.18983968928678627,0.2417670265194397,300,6.07
38,-0.05022508055299431,0.16083066030768287,299,5.38
39,0.10669900274858929,0.18133828680653202,298,5.08
40,0.2364998064144418,0.4364698116101875,297,5.32
41,-0.20507214201848267,0.25209628713048915,296,5.08
42,-0.021997118286098547,0.2208342318402447,295,4.5
43,-0.01434925576856371,0.1938436165393768,294,4.32
44,0.09027755928644923,0.25784196818324717,293,3.78
45,0.1949187334100813,0.43275237721751353,292,3.23
46,-0.06933869792427182,0.1882202028556803,291,5.92
47,0.004670916526318608,0.1605004362200869,290,7.99
48,0.05874841234499012,0.32548039736066114,289,4.72
