h,F_stat,n
0,244.40295027897528,382
1,244.78311524590762,381
2,247.06641605831686,380
3,323.98106995442515,379
4,340.8834769511449,378
5,339.9439844057845,377
6,343.86387382587907,376
7,344.00340952194546,375
8,345.11146765597744,374
9,345.18299401812055,373
10,345.43472402719334,372
11,344.7847036712456,371
12,346.6545825277829,370
13,347.4046512611486,369
14,347.3265593608206,368
15,347.00352518689823,367
16,346.783940996205,366
17,347.03634874499045,365
18,346.76686974403674,364
19,348.67330588565824,363
20,362.90537698172784,362
21,359.7745784861965,361
22,352.66288491123225,360
23,353.4642063202664,359
24,353.37808454048997,358
25,355.3293428315427,357
26,358.4376025915133,356
27,357.744699477857,355
28,357.39109210192987,354
29,361.34559520969106,353
30,361.61289547230695,352
31,361.089871106447,351
32,363.02454762580174,350
33,362.9722044578693,349
34,363.86083526906776,348
35,369.1024592441541,347
36,379.22889461653324,346
37,379.6256244878678,345
38,379.7421918246326,344
39,378.69234585954223,343
40,390.3675688350644,342
41,391.71660752841296,341
42,391.83658699221627,340
43,392.50350060380174,339
44,395.13689823108405,338
45,405.38292473272463,337
46,471.328544593496,336
47,474.602065060855,335
48,539.9942188250062,334
