h,F_pri,F_inter,n_obs
0,265.23508995695295,0.2993121200392575,382
1,265.7257332243046,0.30071546657899884,381
2,268.55931615097745,0.29928120920209816,380
3,351.4533289801465,0.28497067060364095,379
4,367.73246875780507,0.28686046119109615,378
5,366.5417514852074,0.2608254685377167,377
6,370.97317173295056,0.254953337974058,376
7,371.28730010495946,0.24117883132812223,375
8,372.60408316933894,0.2438494772114215,374
9,372.76184174731816,0.246668095311982,373
10,372.69503810403546,0.24637470209013287,372
11,372.6196658553941,0.22357443447042952,371
12,373.6886806484241,0.2180153793334813,370
13,374.61747284041394,0.21840042913032726,369
14,374.5583824244658,0.21447841013017152,368
15,374.3172400383787,0.2061641786875198,367
16,374.33480678134225,0.18669698376508792,366
17,374.61786240324847,0.18637224563289972,365
18,374.49649773284506,0.19070355699250716,364
19,380.7800648381273,0.7213426557741066,363
20,403.71334955107733,0.09706245903477297,362
21,402.2147911740522,1.3180776740944462,361
22,399.98412968370167,0.16427630048669895,360
23,401.3871940552604,0.20208280359725345,359
24,401.2641951217537,0.2016511081308185,358
25,402.1214505745423,0.2210215114466186,357
26,404.1272582240537,0.1714724972348635,356
27,403.3650293613713,0.17160047737669418,355
28,403.1560090806806,0.17230159412989257,354
29,406.7317167663487,0.17664889412051313,353
30,406.6609027754002,0.16632241024333275,352
31,405.3393755703746,0.16579201258237627,351
32,405.8631252581956,0.17238486843027956,350
33,403.8335998448335,0.122631535112009,349
34,402.70064834949113,0.14915138994003826,348
35,404.9684393689959,0.1180161593599402,347
36,415.37743209562996,0.1199028309542777,346
37,416.12165723098,0.07315000383809699,345
38,415.91922748746225,0.08836024493223481,344
39,414.6978812208782,0.09409046196772387,343
40,420.72854869365887,0.028221280974930117,342
41,421.47414012106424,0.012962101789837805,341
42,421.4770091819743,0.007606066327478837,340
43,421.87554947250715,0.00148310324723397,339
44,424.3277138303438,0.0033668868413342596,338
45,434.39255899962114,0.0035180960424799545,337
46,499.04212903903715,0.013069518332571388,336
47,504.0741133859016,0.0118047754857118,335
48,560.122504795668,0.19771494881189652,334
