,r2_univariate
0,-0.029409010248861424
1,-0.0325052396387215
2,-0.0365215990038132
3,-0.047453559946263366
4,-0.03272107425737216
5,-0.019991294561199878
6,-0.02324271739886492
7,-0.02501489668265684
8,-0.023562587198869788
9,-0.013068382631038312
10,-0.017595015457320694
11,-0.009671058473596972
12,-0.01685033882254796
13,-0.021633514647009244
14,-0.019016046517921704
15,-0.016741827613576944
16,-0.013264425474941577
17,-0.008465086931458
18,-0.019526833199662707
19,-0.011099522680493745
20,-0.019537199626554803
21,-0.01271475067052381
22,-0.025829509206639446
23,-0.017687524093346597
24,-0.028811522941100697
25,-0.052207658739981386
26,-0.053031589529287396
27,-0.0360569700990951
28,-0.02915655960066572
29,-0.03783850432044966
30,-0.04086552959925784
31,-0.03331312666217619
32,-0.05128523839763264
33,-0.03215865706463243
34,-0.020578497493877725
35,-0.016834103421986057
36,-0.01168221226256767
37,-0.009340849659007455
38,-0.007464419633373432
39,-0.007746518243222944
40,-0.006774704553872235
41,-0.0030702162906956153
42,-0.007998639763270754
43,-0.01656810051355486
44,-0.013529264337044333
45,-0.021055106670690903
46,-0.02003682388271901
47,-0.008247618346852992
48,-0.017193513813588447
