code,name,lpri_std,d2pri_std,dlpri_std,F_d2pri,F_dlpri,F_L1dlpri,F_L2dlpri,n_obs
us,US-China,1.2677602172844433,0.33786947,0.17489342,230.41671501148377,,0.1404669852656448,3.487758731102214,384
jp,Japan-China,1.3374519348144531,0.28210708,0.104033664,125.51089395359129,,5.6992102353806064,2.7748193584773038,384
aus,Australia-Ch.,0.416948527097702,0.03203929,0.036333397,,,0.3926419729089309,1.403289755925731,384
cds,S.Korea-China,1.1440016031265259,0.061541777,0.048585977,,,4.636857832082829,7.789215459643052,384
fra,France-China,0.4699578881263733,0.040729266,0.02986658,,,98.28392275131876,0.48973837918990004,384
ger,Germany-China,0.25569453835487366,0.019952765,0.014437106,,,164.09934809332833,0.8543672097823766,384
india,India-China,0.8310422301292419,0.05998795,0.044501018,,,2.343722025735089,2.4120108852237796,384
indo,Indonesia-Ch.,0.7077034115791321,0.05981138,0.047739867,,,17.735056379972818,6.722121265231259,384
pak,Pakistan-Ch.,0.05513060837984085,0.005405167,0.0037965924,,,1841.6404548531877,0.0012546323387397746,384
rus,Russia-China,0.353756844997406,0.029295927,0.023990761,,,6.146009400694615,2.831597707186105,384
vn,Vietnam-China,1.0528128147125244,0.072428495,0.052576534,,,102.94473279313694,0.6530596778492295,384
uk,UK-China,0.4981659948825836,0.04186322,0.041411083,,,67.53763263644753,2.5587626883275143,384
