h,coef,se,F,n,lo90,hi90,sig90
0,-0.11236968325040471,0.19010167039745446,3.382074402404783e+26,381,-0.4250869310542173,0.2003475645534079,False
1,-0.5345951617321821,0.29236987689953287,5.639037493760713e+26,380,-1.0155436092319137,-0.05364671423245054,True
2,-0.4130890550593296,0.34878101793656896,2.8067689246736366e+26,379,-0.9868338295649856,0.1606557194463264,False
3,-0.6004108934991612,0.3993018962302459,8.219523550714986e+26,378,-1.2572625127979158,0.05644072579959336,False
4,-0.8364006753079511,0.4062290608294761,1.6706065560593602e+27,377,-1.5046474803724394,-0.16815387024346296,True
5,-0.9275575709315862,0.513262385311551,1.6677688514414146e+26,376,-1.7718741947690875,-0.0832409470940848,True
6,-1.0133629939562088,0.6910138261532489,4.422698089174262e+26,375,-2.1500807379783033,0.12335475006588581,False
7,-1.8049808625154071,0.7609975958643551,2.1867131417628463e+26,374,-3.0568219077122714,-0.5531398173185429,True
8,-2.004265055399954,0.8741879570255751,1.3982219602571404e+26,373,-3.4423042447070253,-0.5662258660928832,True
9,-2.002176885224842,0.9907001128115117,3.027154938175188e+27,372,-3.6318785707997785,-0.37247519964990494,True
10,-2.0747774978868354,1.0468309063208778,2.280916188404198e+26,371,-3.7968143387846798,-0.35274065698899126,True
11,-1.7956373174866127,1.060542114437906,4.641576154634381e+26,370,-3.5402290957369678,-0.05104553923625743,True
12,-1.3627544989409237,1.0871638837688846,1.5175029610240509e+26,369,-3.151139087740739,0.4256300898588916,False
13,-1.6019607994698386,1.0608336460337777,7.417147699154465e+26,368,-3.347032147195403,0.14311054825572578,False
14,-1.563931573986033,1.1711726999578103,1.9930769335835346e+26,367,-3.4905106654166307,0.3626475174445647,False
15,-2.132905138042833,1.163655399133682,1.601912061953821e+26,366,-4.04711826961774,-0.2186920064679263,True
16,-1.3890028566912538,1.068438320501424,1.7371273031879108e+27,365,-3.1465838939160964,0.3685781805335888,False
17,-1.6303862845441444,1.150382017658536,1.9809278350275044e+26,364,-3.5227647035924363,0.2619921345041474,False
18,-0.9411572541576483,0.9409820616395244,1.1306853432247046e+26,363,-2.489072745554666,0.6067582372393694,False
19,-0.9069999383819382,0.9226316212982105,1.5059664344398893e+26,362,-2.4247289554174944,0.6107290786536183,False
20,-1.2072726699571625,1.145833386469833,1.058122786647663e+26,361,-3.0921685907000374,0.6776232507857125,False
21,-1.4002150510061264,1.3436533371262933,1.9886196227140907e+26,360,-3.6105247905788787,0.810094688566626,False
22,-0.7612337632464546,1.2684977134343562,9.347173978289081e+25,359,-2.847912501845971,1.3254449753530615,False
23,-0.17587006390565263,1.327489874023355,8.980890292924333e+26,358,-2.3595909066740712,2.007850778862766,False
24,0.011856032558650705,1.2325579008124443,2.2677532197797824e+26,357,-2.01570171427782,2.0394137793951215,False
25,0.10551138407028891,1.2826294245605516,7.685255521811416e+26,356,-2.0044140193318185,2.215436787472396,False
26,0.16229052741867886,1.5062939009040144,1.1233055513515552e+28,355,-2.3155629395684247,2.6401439944057827,False
27,0.3491846500277348,1.7229568024163788,4.125722993827423e+28,354,-2.4850792899472083,3.183448590002678,False
28,0.19457896880254777,1.796931868357684,2.0690772475006028e+27,353,-2.7613739546458422,3.150531892250938,False
29,0.4248145683828943,1.6757427452959883,1.3084137411998959e+26,352,-2.3317822476290067,3.181411384394795,False
30,0.18495979798940362,1.306053955138793,4.752484851352719e+27,351,-1.9634989582139113,2.3334185541927184,False
31,-0.07600930872716774,1.091619338717616,3.5013861902065043e+27,350,-1.8717231209176464,1.7197045034633107,False
32,-0.05475432164083025,1.0839348311488661,4.649518567393766e+25,349,-1.837827118880715,1.7283184755990546,False
33,0.14564605017041915,1.1894753448781255,1.0851319205368254e+27,348,-1.8110408921540972,2.1023329924949357,False
34,0.38045368757378556,1.1276049737300202,3.4877704857645894e+26,347,-1.4744564942120977,2.2353638693596687,False
35,0.7590500555516848,0.9789811447675486,1.1072336138842417e+26,346,-0.8513739275909327,2.3694740386943023,False
36,0.7763752234554296,0.9124319137652742,4.8865573262284036e+27,345,-0.7245752746884465,2.277325721599306,False
37,0.6143281223279354,0.8711917242423584,3.1857764843172424e+26,344,-0.8187822640507442,2.047438508706615,False
38,-0.026617680831453088,0.9224383097858925,1.6622192398636506e+26,343,-1.5440287004292463,1.4907933387663401,False
39,0.2890270509907182,0.8599283574197809,8.727811879658297e+27,342,-1.1255550969648214,1.7036091989462578,False
40,0.3332281762494495,0.8672930781997769,4.1010050084840587e+27,341,-1.0934689373891835,1.7599252898880826,False
41,0.29988307432139333,0.8648620698299024,2.6373446646263916e+26,340,-1.122815030548796,1.7225811791915828,False
42,0.307030577958375,0.9455771796475033,1.5971748865475627e+27,339,-1.2484438825617679,1.862505038478518,False
43,0.21286441962007746,1.0484618850186804,3.5834148783691044e+26,338,-1.5118553812356519,1.937584220475807,False
44,0.5501933608549715,1.1279768316332999,8.484142258477159e+26,337,-1.305328527181807,2.4057152488917497,False
45,0.6817240721663983,1.2858411274704025,1.261902528870022e+26,336,-1.4334845825224138,2.79693272685521,False
46,0.47465346366648964,1.0482818350565948,2.4290649460925693e+26,335,-1.2497701550016087,2.199077082334588,False
47,0.10522408405369492,0.9365616681704669,3.3841027963604074e+26,334,-1.4354198600867232,1.645868028194113,False
48,-0.5594476069886778,0.984549572844516,9.269308139273194e+26,333,-2.1790316543179067,1.060136440340551,False
