h,beta_low,se_beta,gamma,se_gamma,beta_high,F_pri,F_inter,n_obs,gamma_lo90,gamma_hi90,gamma_lo95,gamma_hi95
0,-0.05227768376505537,0.07675238461642964,0.07410703661048501,0.20936754282390638,0.02182935284542964,172.11634253387953,0.3773004495740446,382,-0.270302571334841,0.418516644555811,-0.33625334732437145,0.4844674205453415
1,0.010921794103524007,0.16558351269419408,-0.202605053622392,0.4140867208484977,-0.191683259518868,172.33267106459073,0.3693389373938891,381,-0.8837777094181707,0.4785676021733867,-1.0142150264854475,0.6090049192406635
2,-0.029565584969986958,0.17961707814860597,-0.18521860860892048,0.49162539503740693,-0.21478419357890743,173.42942200646434,0.2857450407896038,380,-0.9939423834454549,0.623505166227614,-1.148804382882238,0.7783671656643971
3,-0.13047447398560053,0.14082155267986224,0.06108487784479166,0.3180214729310421,-0.06938959614080886,245.23523542090368,0.743076690451508,379,-0.4620604451267726,0.5842302008163559,-0.5622372091000508,0.6844069647896341
4,-0.17868673628015586,0.184434200817747,0.177069700625907,0.45886018871307,-0.0016170356542488662,251.9133471874812,0.4874900062755929,378,-0.5777553098070931,0.9318947110589071,-0.7222962692517102,1.0764356705035243
5,-0.16817704018592394,0.1907087493466859,0.11181146290027755,0.4535629761034363,-0.056365577285646395,251.97185858281816,0.5228096734500652,377,-0.6342996327898752,0.8579225585904303,-0.7771719702624577,1.0007948960630126
6,-0.18019015063021016,0.19971621688502444,0.05027395955244174,0.5212665656863731,-0.12991619107776842,253.13354153309047,0.4189587790645258,376,-0.807209541001642,0.9077574601065255,-0.9714085091928495,1.071956428297733
7,-0.15620190767788245,0.23169858189403691,0.08518036347436464,0.6047906070934872,-0.0710215442035178,253.07675661935266,0.42229354491932003,375,-0.9097001851944219,1.0800609121431513,-1.1002092264288703,1.2705699533775996
8,-0.18032459154096614,0.3510691019269459,0.32857516283911536,0.9294170397888325,0.14825057129814923,253.17307817903043,0.3398472555612763,374,-1.2003158676135142,1.857466193291745,-1.4930822351469963,2.150232560825227
9,-0.08874897176588092,0.29011099787085737,0.11494661823871866,0.7810375525509815,0.026197646472837732,253.1779456382934,0.30819040755342464,373,-1.169860155707646,1.3997533921850833,-1.415886984761205,1.6457802212386423
10,-0.03886900870270438,0.21683263037741982,-0.01255352487419259,0.6231055476858641,-0.05142253357689697,252.9600715646058,0.38467889676154643,372,-1.037562150817439,1.012455101069054,-1.2338403983384862,1.208733348590101
11,0.021199263284131575,0.1928644673943625,-0.027228719525055567,0.5649929308450873,-0.006029456240923992,253.08755270683045,0.510790368449821,371,-0.9566420907652241,0.902184651715113,-1.1346148639814266,1.0801574249313155
12,0.042285143721869645,0.1930448543536398,-0.18554664169073476,0.5621003099889142,-0.14326149796886511,251.91123168008744,0.5426426486215535,370,-1.1102016516224986,0.7391083682410292,-1.2872632492690066,0.9161699658875371
13,-0.021195714213149586,0.24540971251130528,-0.019898938588312376,0.6764895502243103,-0.04109465280146196,252.61369764173088,0.4588666921569728,369,-1.1327242487073028,1.092926371530678,-1.3458184570279605,1.3060205798513358
14,0.01821363053954883,0.2787267734307246,-0.24467936842779636,0.7389909529017278,-0.22646573788824753,252.45783871207067,0.4370823261616292,368,-1.4603194859511386,0.9709607490955459,-1.6931016361151827,1.20374289925959
15,0.0666489023176382,0.2539777148482808,-0.30434698197905163,0.7403359844655816,-0.23769807966141343,251.9497744444671,0.5052287809837342,367,-1.5221996764249333,0.91350571246683,-1.7554055115315914,1.1467115475734881
16,0.042553733809768346,0.23740908883693174,-0.34019749029357627,0.7390689909988893,-0.2976437564838079,251.86350468727582,0.559004509788563,366,-1.5559659804867492,0.8755709998995966,-1.7887727126513993,1.1083777320642467
17,0.0999237957925061,0.274455549149702,-0.471614658150429,0.8685227640749795,-0.3716908623579229,251.7575700559951,0.47944411086098687,365,-1.9003346050537704,0.9571052887529123,-2.173919275737389,1.2306899594365308
18,0.068546340279795,0.1970616011265553,-0.11970469188509014,0.7222707874532914,-0.05115835160529514,251.4711464697886,0.4935381510511261,364,-1.3078401372457547,1.0684307534755744,-1.5353554352935412,1.295946051523361
19,0.21427199432218913,0.40287793867636124,-0.35904534603105276,1.2260895555144364,-0.14477335170886363,249.62603396804187,0.1995696651892514,363,-2.3759626648523007,1.6578719727901952,-2.762180874839348,2.0440901827772424
20,0.11094504984635023,0.23880614578216589,-0.04317094985208314,0.7593104415892459,0.06777409999426709,249.9323411306876,0.4092745048843164,362,-1.2922366262663927,1.2058947265622264,-1.531419415367005,1.4450775156628388
21,0.1680274552186347,0.34949596244755077,-0.18438771726960113,0.9678877692225629,-0.016360262050966412,248.43285149366017,0.27279434348817155,361,-1.7765630976407172,1.407787663101515,-2.0814477449458244,1.7126723104066222
22,0.12130167696750505,0.34322582009227864,-0.12773310819329708,0.9657776487155898,-0.006431431225792039,243.4485758817871,0.34331424325624144,360,-1.7164373403304423,1.460971123943848,-2.020657299675853,1.7651910832892588
23,0.3139093851175403,0.5503771696069277,-0.612743706224137,1.3680137622951634,-0.2988343211065967,244.88903883945605,0.34054834252625155,359,-2.8631263451996807,1.6376389327514067,-3.2940506803226572,2.0685632678743833
24,0.019639508242562442,0.3565388824197528,0.2552098702662988,0.9890825720331179,0.27484937850886126,244.8293358452646,0.34045497162604543,358,-1.3718309607281802,1.8822507012607779,-1.6833919709186123,2.19381171145121
25,-0.09420060874981573,0.5007341152931636,0.6633357562081983,1.274583933563949,0.5691351474583826,246.429226788928,0.3523369173067679,357,-1.433354814504498,2.7600263269208947,-1.8348487535771416,3.161520265993538
26,0.014645539936509522,0.3558555059782639,0.31790887474471674,0.96564091774689,0.33255441468122626,247.4208720706553,0.33153062930497357,356,-1.2705704349489173,1.9063881844383508,-1.5747473240391876,2.2105650735286213
27,-0.14705379722340695,0.5691959430084174,0.8161871507795695,1.3257857943406979,0.6691333535561625,246.9866179102141,0.3494903771310101,355,-1.3647304809108785,2.9971047824700174,-1.7823530061281985,3.4147273076873375
28,-0.09531255105298442,0.49805628154989195,0.6947755844480525,1.2302483778022464,0.5994630333950681,247.05644470395487,0.361400719507094,354,-1.328982997036643,2.718534165932748,-1.7165112360443504,3.1060624049404555
29,0.14950065746370456,0.34317281630405133,0.0807707912740625,0.991831438088892,0.23027144873776706,247.62104241465937,0.3212648616918856,353,-1.5507919243821648,1.7123335069302899,-1.8632188273801658,2.024760409928291
30,0.14589741544909884,0.38973778154479616,0.005056762769982015,1.0739889121890716,0.15095417821908086,247.34230552041055,0.31835829954060874,352,-1.7616549977810407,1.7717685233210048,-2.099961505120598,2.1100750306605622
31,0.19748112716229116,0.38838469950664956,-0.1409701395355114,1.0449214544484042,0.05651098762677975,248.09117684767614,0.3813479792514915,351,-1.8598659321031363,1.5779256530321135,-2.189016190254384,1.907075911183361
32,0.3421447575451566,0.4136270292248929,-0.3612154229490443,1.0338090592182856,-0.019070665403887688,244.6531127391463,0.35622170317518304,350,-2.061831325363124,1.3394004794650356,-2.387481179016884,1.6650503331187956
33,0.3481575491298372,0.36672138550694033,-0.31197015555744656,0.96408571206779,0.03618739357239065,241.62523856355708,0.3077382027944231,349,-1.8978911519089612,1.273950840794068,-2.201578151210315,1.5776378400954219
34,0.16614823486611385,0.3343022712897317,0.1912112608292773,0.8727410138005997,0.35735949569539116,240.48722001169753,0.42965947600111853,348,-1.2444477068727091,1.6268702285312637,-1.519361126219898,1.9017836478784527
35,0.0979571324578501,0.4163864505734232,0.2935517347773384,1.1385117754736453,0.3915088672351885,240.0223114185817,0.3358633442792407,347,-1.5793001358768082,2.1664036054314852,-1.9379313451510063,2.525034814705683
36,0.029835357759338876,0.3535203596909454,0.23171210873033488,0.9817446122692935,0.26154746648967375,245.45659830719794,0.4407458778196542,346,-1.383257778452653,1.8466819959133227,-1.6925073313174805,2.1559315487781503
37,0.050464129825286363,0.42830887004179136,0.1944809057895327,1.0649523403962866,0.24494503561481906,244.6256886236249,0.31979494613183446,345,-1.5573656941623588,1.9463275057414242,-1.892825681387189,2.2817874929662545
38,-0.03238801626343957,0.4679645545172415,0.3084903051649235,1.1090608145937797,0.2761022889014839,246.10100672341196,0.34652066642114027,344,-1.5159147348418442,2.132895345171691,-1.8652688914388849,2.482249501768732
39,-0.008730243359877932,0.47202342030998534,0.258315080245211,1.1002784811463464,0.24958483688533306,245.5349124772478,0.36697388338400067,343,-1.5516430212405288,2.0682731817309508,-1.898230742801628,2.41486090329205
40,-0.20006094058908275,0.7181949660945454,0.6040228440333522,1.6873622479498278,0.4039619034442694,244.53104835716408,0.2753939774409678,342,-2.1716880538441146,3.379733741910819,-2.7032071619483102,3.9112528500150145
41,-0.12841362432345704,0.5892777084689713,0.3099254124381332,1.4382673987641073,0.18151178811467616,243.90398484745876,0.23012249454888403,341,-2.056024458528823,2.6758752834050896,-2.509078689139517,3.1289295140157836
42,-0.11216498941757891,0.6395081797810143,0.3462424424396886,1.5013004056940107,0.2340774530221097,243.73387712145174,0.20653894802521192,340,-2.123396724926959,2.815881609806336,-2.596306352720572,3.2887912375999493
43,-0.07520574830323312,0.677270278942844,0.2715868115401463,1.5750035304534356,0.19638106323691318,243.60993415644052,0.17537584276722362,339,-2.3192939960557553,2.862467619136048,-2.8154201081485875,3.35859373122888
