h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,0.03338391096286511,0.04228059575826855,382,-0.03616766905948665,0.10293549098521687,-0.04948605672334125,0.11625387864907147
1,-0.008479809084987154,0.05275866133725549,381,-0.09526780698477244,0.07830818881479812,-0.11188678530600793,0.09492716713603361
2,-0.0611027342277511,0.05719547943957569,380,-0.15518929790585312,0.0329838294503509,-0.17320587392931946,0.05100040547381725
3,-0.07809127415000973,0.05443922125728439,379,-0.16764379311824257,0.011461244818223096,-0.18479214781428713,0.02860959951426767
4,-0.09007142679947498,0.05414702223723069,378,-0.17914327837971947,-0.0009995752192304974,-0.19619959038444712,0.01605673678549717
5,-0.09373835600733874,0.05326351761630484,377,-0.18135684248616019,-0.006119869528517272,-0.19813485053529623,0.01065813852061874
6,-0.12718358832868473,0.0519699267696539,376,-0.21267411786476542,-0.04169305879260406,-0.22904464479720638,-0.02532253186016309
7,-0.08840698011341575,0.05555166371042458,375,-0.17978946691706418,0.002975506690232693,-0.1972882409858479,0.02047428075901643
8,-0.04633701705117193,0.061216815267635734,374,-0.1470386781664327,0.054364644064088856,-0.16632197497573797,0.0736479408733941
9,-0.03921616548527887,0.061841864890153087,373,-0.14094603322958071,0.06251370225902296,-0.16042622066997891,0.08199388969942117
10,-0.0797476492195462,0.05369612145326356,372,-0.16807776901016475,0.008582470571072351,-0.18499204726794277,0.025496748828850363
11,-0.0015182800865549552,0.057772066989542424,371,-0.09655333028435224,0.09351677011124233,-0.1147515313860581,0.1117149712129482
12,0.017556210557668366,0.0639297459874783,370,-0.08760822159173345,0.12272064270707017,-0.10774609157778911,0.14285851269312586
13,0.036938382209540405,0.07045255425068414,369,-0.078956069532835,0.15283283395191583,-0.1011486241218005,0.17502538854088132
14,0.003065119887865006,0.06351665874709271,368,-0.1014197837511025,0.10755002352683252,-0.1214275312564367,0.1275577710321667
15,0.026219762242043046,0.07164335904666948,367,-0.09163356338972825,0.14407308787381434,-0.11420122148942911,0.1666407459735152
16,-0.031230838520295134,0.057374773037816934,366,-0.125612340167504,0.06315066312691373,-0.14368539367441632,0.08122371663382605
17,-0.028875592858519292,0.05397435942226314,365,-0.11766341410814216,0.05991222839110358,-0.13466533732615504,0.07691415160911647
18,0.00954181627903846,0.05270710277061401,364,-0.07716136777862159,0.0962450003366985,-0.09376410515136499,0.11284773770944193
19,0.04556045213040191,0.050724319015268776,363,-0.037881052649715224,0.12900195691051905,-0.05385921313952488,0.1449801174003287
20,0.010655988801565463,0.04646510917683881,362,-0.06577911579433439,0.0870910933974653,-0.08041562518503861,0.10172760278816953
21,0.04253125607889027,0.05227090666633458,361,-0.04345438538723011,0.12851689754501067,-0.0599197209871255,0.14498223314490605
22,-0.003361800432535073,0.05245254490269344,360,-0.08964623679746578,0.08292263593239563,-0.10616878844181421,0.09944518757674406
23,-0.041422034933555056,0.072341020687243,359,-0.1604230139640698,0.0775789440969597,-0.18321043548055135,0.10036636561344123
24,-0.025976548539865415,0.07097763113182785,358,-0.14273475175172223,0.0907816546719914,-0.165092705558248,0.11313960847851717
25,0.060231861769612344,0.09597753351859951,357,-0.09765118086848387,0.21811490440770856,-0.1278841039268427,0.2483478274660674
26,0.021776682166238823,0.0753604158512815,356,-0.10219120190911926,0.1457445662415969,-0.1259297329022729,0.16948309723475055
27,0.06588682144325021,0.061834952093214775,355,-0.0358316747500881,0.16760531763658854,-0.05530968465945074,0.18708332754595117
28,0.12505452374541187,0.09063039022546511,354,-0.024032468175478244,0.27414151566630196,-0.05258104109649975,0.3026900885873235
29,0.09192240701847677,0.09347965577223685,353,-0.06185162672685286,0.24569644076380642,-0.09129771829510745,0.275142532332061
30,0.06491182175038485,0.10546302183706867,352,-0.1085748491715931,0.2383984926723628,-0.14179570105026973,0.2716193445510394
31,-0.026660540318327142,0.10257972455766128,351,-0.19540418721567995,0.14208310657902565,-0.22771680045134324,0.17439571981468893
32,0.049614705269194925,0.08464315053925499,350,-0.08962327736787953,0.18885268790626938,-0.11628586978774486,0.2155152803261347
33,0.060386236751431184,0.0768837137596328,349,-0.06608747238316476,0.1868599458860271,-0.09030584221744908,0.21107831572031144
34,0.05509590263358117,0.06979352448554711,348,-0.059714445145143825,0.16990625041230617,-0.08169940535809117,0.1918912106252535
35,0.07653129136511139,0.08559917503876305,347,-0.06427935157365383,0.2173419343038766,-0.09124309171086417,0.24430567444108695
36,-0.013009340337864548,0.07314564162177536,346,-0.133333920805685,0.10731524012995593,-0.15637479791654427,0.13035611724081517
37,-0.0020232511308700325,0.05824651503343332,345,-0.09783876836086783,0.09379226609912777,-0.11618642059639933,0.11213991833465928
38,0.04692483541758344,0.05854046430511601,344,-0.049374228364332404,0.1432238991994993,-0.06781447462044393,0.1616641454556108
39,0.04666642110589437,0.06540886636296753,343,-0.06093116406118721,0.15426400627297596,-0.08153495696552199,0.1748677991773107
40,0.06251728347509956,0.0851865062456764,342,-0.07761451929903813,0.20264908624923728,-0.1044482687664262,0.2294828357166253
41,-0.002080635058546365,0.07045890364368199,341,-0.11798553155240322,0.1138242614353105,-0.14018008620016306,0.13601881608307034
42,0.04059160942879222,0.06371130577438928,340,-0.06421348857007816,0.14539670742766259,-0.08428254988901077,0.16546576874659522
