h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.023146864151019842,0.028208828117930736,382,-0.0695503864050159,0.02325665810297622,-0.07843616726216408,0.032142438960124406
1,-0.04244283261536098,0.04394932148221951,381,-0.11473946645361208,0.029853801222890115,-0.12858350272051122,0.04369783748978926
2,-0.0863515568323464,0.05431361063696852,380,-0.1756974463301596,0.002994332665466823,-0.19280623368080468,0.02010312001611189
3,-0.06356970955617725,0.05411595007230171,379,-0.15259044742511357,0.02545102831275907,-0.1696369716978886,0.0424975525855341
4,-0.11788868820373125,0.05484727991014581,378,-0.20811246365592112,-0.027664912751541385,-0.22538935682761702,-0.010388019579845462
5,-0.13283503956598738,0.06816073913734316,377,-0.24495945544691689,-0.020710623685057883,-0.26643008827518,0.0007600091432052036
6,-0.14040082693262185,0.06746876156127372,376,-0.25138693970091713,-0.029414714164326575,-0.27263959959271833,-0.008162054272525338
7,-0.07144875300845378,0.08454438663816065,375,-0.21052426902822807,0.06762676301132049,-0.23715575081924867,0.09425824480234109
8,-0.00796743278746938,0.0773813600940323,374,-0.13525977014215254,0.11932490456721377,-0.1596348985717727,0.14370003299683393
9,-0.03732445575312075,0.08357369982778234,373,-0.1748031919698227,0.1001542804635812,-0.20112890741557415,0.12647999590933262
10,-0.03665353285751624,0.08348649754752693,372,-0.17398882132319804,0.10068175560816556,-0.20028706805066904,0.12698000233563655
11,0.05516482056239044,0.08014708758778112,371,-0.0766771385195095,0.18700677964429038,-0.10192347110966055,0.21225311223444143
12,0.0281470022611632,0.08173266671532928,370,-0.10630323448555346,0.16259723900787987,-0.13204902450088218,0.1883430290232086
13,-0.010484887881191741,0.08833826781647974,369,-0.1558013384393009,0.13483156267691745,-0.18362789280149203,0.16265811703910857
14,-0.061392549626206286,0.09919757682792692,368,-0.22457256350814608,0.1017874642557335,-0.255819800208943,0.13303470095653047
15,0.02083092993821821,0.09148784753501789,367,-0.12966657925688624,0.17132843913332263,-0.15848525123041685,0.2001471111068533
16,0.0015948473235524467,0.0962275784223729,366,-0.15669951918125097,0.15988921382835586,-0.1870112063842984,0.1902009010314033
17,0.020910594386425434,0.085755908725561,365,-0.12015787546712241,0.16197906423997327,-0.14717098671567413,0.18899217548852498
18,0.04914557038480718,0.08171076160585893,364,-0.08526863245683075,0.18355977322644512,-0.1110075223626763,0.20929866313229067
19,0.13141342889857532,0.08226434509044021,363,-0.003911418775198822,0.2667382765723495,-0.029824687478687495,0.29265154527583814
20,0.16457054508765598,0.08834288611457933,362,0.019246497429172976,0.30989459274613895,-0.008581511696919508,0.33772260187223146
21,0.11493578036676907,0.08669851017942666,361,-0.02768326887838779,0.25755482961192594,-0.054993299584907174,0.2848648603184453
22,0.12148533348875772,0.08863088339172363,360,-0.024312469690627656,0.2672831366681431,-0.052231197959020606,0.29520186493653605
23,0.087580558018356,0.10140405205286149,359,-0.07922910760860115,0.25439022364531316,-0.11117138400525252,0.28633250004196453
24,0.19333621367279122,0.08492014132260998,358,0.053642581197097805,0.33302984614848463,0.02689273668047565,0.3597796906651068
25,0.22700925082218948,0.10916512882902292,357,0.047432613898446774,0.4065858877459322,0.013045598317304563,0.4409729033270744
26,0.18454506919580893,0.0833807347172605,356,0.047383760585915397,0.32170637780570244,0.02111882914997837,0.3479713092416395
27,0.1939275667093069,0.07816387317366542,355,0.06534799533862726,0.32250713807998654,0.040726375288922645,0.34712875812969113
28,0.20177680645313678,0.08298387669127465,354,0.06526832929599,0.33828528361028354,0.03912840813823848,0.3644252047680351
