h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.004770868446861568,0.04580481986212458,382,-0.0801197971200565,0.07057806022633335,-0.09454831537662574,0.08500657848290259
1,-0.01966334625097885,0.05685627174984156,381,-0.1131919132794682,0.07386522077751051,-0.1311016388806683,0.0917749463787106
2,-0.02044144333547387,0.060286389551475264,380,-0.11961255414765068,0.07872966747670293,-0.13860276685636538,0.09771988018541763
3,-0.07449092221075933,0.055125532577239574,379,-0.16517242330031842,0.016190578878799766,-0.1825369660621489,0.03355512164063024
4,-0.09060943174764034,0.06444338732831016,378,-0.19661880390271055,0.015399940407429868,-0.21691847091112826,0.03569960741584756
5,-0.09056693726509626,0.05957953044263311,377,-0.18857526484322773,0.007441390313035201,-0.20734281693265716,0.02620894240246463
6,-0.08754193947418154,0.0580567203810726,376,-0.18304524450104598,0.007961365552682897,-0.20133311142108384,0.026249232472720763
7,-0.036123528786225836,0.06038870642985104,375,-0.1354629508633308,0.06321589329087912,-0.15448539338873385,0.08223833581628219
8,-0.04776171789295654,0.06740707337619106,374,-0.15864635359679086,0.06312291781087777,-0.179879581710291,0.08435614592437794
9,-0.06883384901138215,0.05726871450707684,373,-0.16304088437552355,0.025373186352759244,-0.18108052944525274,0.043412831422488446
10,-0.06784759270083228,0.05710096890877394,372,-0.1617786865557654,0.026083501154100852,-0.17976549176202922,0.044070306360364644
11,0.04957480957959768,0.053751901982943266,371,-0.03884706918234399,0.13799668834153936,-0.05577891830697112,0.15492853746616647
12,0.021567811355114357,0.06157801283897885,370,-0.07972801976500585,0.12286364247523457,-0.09912509380928419,0.14226071651951291
13,0.06854684175152918,0.07562462004024832,369,-0.055855658214679305,0.19294934171773767,-0.07967741352735754,0.21677109703041592
14,0.056553443560961744,0.05839572737690696,368,-0.0395075279740502,0.15261441509597368,-0.057902182097775895,0.17100906921969938
15,0.0934085692000348,0.08005941234004738,367,-0.03828916409934312,0.2251063024994127,-0.06350787898645806,0.2503250173865277
16,0.018917509694464214,0.06702971137946602,366,-0.09134636552475739,0.12918138491368583,-0.11246072460928919,0.1502957439982176
17,-0.018143296100142047,0.06415251018121892,365,-0.12367417534824718,0.08738758314796308,-0.14388221605533114,0.10759562385504705
18,0.029718304576347193,0.05803766383116182,364,-0.06575365242591401,0.1251902615786084,-0.08403551653272998,0.14347212568542436
19,0.13063288607870413,0.05632693011209917,363,0.037975086044301,0.22329068611310726,0.02023210305898976,0.2410336690984185
20,0.0652158883953946,0.056533639283926185,362,-0.027781948226663966,0.15821372501745318,-0.04559004460110072,0.17602182139188993
21,0.06486811906475097,0.06044636096461688,361,-0.03456614472204379,0.16430238285154575,-0.053606748425898104,0.18334298655540004
22,0.016465635320542137,0.06872938635348043,360,-0.09659420523093316,0.12952547587201743,-0.1182439619322795,0.15117523257336377
23,-0.09032832144592022,0.08898645887932981,359,-0.23671104630241774,0.05605440341057731,-0.26474178084940664,0.08408513795756621
24,-0.006618764715136553,0.06847886406333534,358,-0.11926649609932319,0.10602896666905007,-0.14083733827927383,0.1275998088490007
25,0.06928456871678029,0.08665839314433989,357,-0.07326848800565883,0.2118376254392194,-0.10056588184612589,0.23913501927968647
26,0.023944073094477467,0.06434494072284565,356,-0.08190335439460363,0.12979150058355857,-0.1021720107223,0.15006015691125493
27,0.08557672773933918,0.05851570074374303,355,-0.010681599984118106,0.18183505546279646,-0.029114045718397152,0.2002675011970755
28,0.046044898335386754,0.09266803097051574,354,-0.10639401261111164,0.19848380928188514,-0.1355844423668241,0.2276742390375976
29,0.0738055459117554,0.10245033587920017,353,-0.09472525660952891,0.2423363484330397,-0.12699711241147693,0.2746082042349877
30,0.03165366387028315,0.10852991886159039,352,-0.14687805265703305,0.21018538039759935,-0.181064977098434,0.2443723048390003
31,-0.05659186060345583,0.11344572467642035,351,-0.24321007769616731,0.13002635648925565,-0.2789454809692397,0.16576175976232804
32,0.0092007436098899,0.0809893814343019,350,-0.12402678884953672,0.14242827606931652,-0.1495384440013418,0.1679399312211216
33,0.042383459747903675,0.07891460616579546,349,-0.08743106739482986,0.1721979868906372,-0.11228916833705543,0.19705608783286277
34,0.04812300267588406,0.07756214779693767,348,-0.0794667304500784,0.17571273580184654,-0.10389880700611376,0.2001448123578819
35,0.08776009618560318,0.08640979180190811,347,-0.05438401132853565,0.22990420369974202,-0.08160309574613672,0.2571232881173431
36,-0.01209622580798926,0.06693133675725771,346,-0.12219827477367819,0.09800582315769966,-0.14328164585221437,0.11908919423623586
37,0.015295385509539672,0.0662003877974658,345,-0.09360425241729158,0.12419502343637091,-0.1144573745734933,0.14504814559257265
38,0.013663452933546547,0.0570462025727488,344,-0.08017755029862522,0.10750445616571833,-0.0981471041090411,0.1254740099761342
39,0.08622347373179447,0.06293007352567047,343,-0.017296497217933457,0.18974344468152238,-0.03711947037851965,0.20956641784210858
40,0.127101872362313,0.08528829853796432,342,-0.01319737873263832,0.2674011234572643,-0.04006319277209708,0.29426693749672306
41,-0.008790219148242719,0.08294218562160406,341,-0.14523011449578138,0.12764967619929596,-0.17135690296658668,0.15377646467010125
42,0.031159316915160495,0.08384787458918587,340,-0.10677043678405027,0.16908907061437126,-0.1331825172796438,0.1955011511099648
43,0.004002164831462075,0.07383338288104578,339,-0.11745375000785824,0.12545807967078237,-0.14071126561538766,0.1487155952783118
44,0.005982801355053531,0.07555040221576007,338,-0.11829761028987179,0.13026321299997884,-0.1420959869878362,0.15406158969794326
45,0.03195408221434122,0.06645357927469238,337,-0.07736205569252774,0.14127022012121018,-0.09829493316405584,0.16220309759273827
46,0.015573669818530079,0.06494520743566712,336,-0.09126119641314233,0.12240853605020248,-0.11171893675537749,0.14286627639243765
47,0.07675771793867765,0.07270174764975527,335,-0.042836656945169777,0.19635209282252508,-0.06573770745484268,0.21925314333219798
48,0.027129013282834225,0.08453542417295701,334,-0.11193175948168006,0.16618978604734852,-0.1385604180961615,0.19281844466182996
