h,coef,se,n_obs,F_stat,lo90,hi90
0,0.030032286404775732,0.0428336340396759,382,2.729379084138832e+16,-0.04042904159049111,0.10049361440004258
1,0.048465435864955,0.07946615540509983,381,2.7294242746108784e+16,-0.08225638977643421,0.1791872615063442
2,0.0033195365824667533,0.10597934101151359,380,2.7292803043884548e+16,-0.1710164793814731,0.1776555525464066
3,-0.15083750146231978,0.1527566179465506,379,2.7255595744459484e+16,-0.4021221379843955,0.10044713505975594
4,-0.18026514127996052,0.1683874609437999,378,2.7253700173115988e+16,-0.4572625145325113,0.09673223197259029
5,-0.1129226282671425,0.14382990249438313,377,2.72528100016862e+16,-0.34952281787040274,0.12367756133611774
6,-0.10554659009744682,0.14126779465345587,376,2.7250267370527684e+16,-0.33793211230238174,0.1268389321074881
7,-0.09612829511547716,0.1533602680073545,375,2.7248130270229356e+16,-0.3484059359875753,0.15614934575662098
8,-0.08990387261337673,0.15961347728476402,374,2.72459019299892e+16,-0.35246804274681354,0.17266029752006007
9,-0.11321148706497297,0.15654553302665017,373,2.724416937637828e+16,-0.3707288888938125,0.14430591476386656
10,-0.06346973696463465,0.14452343811863672,372,2.7243827807760584e+16,-0.30121079266979206,0.17427131874052276
11,-0.10778761723304342,0.14477123919693602,371,2.724337795936244e+16,-0.3459363057120032,0.13036107124591634
12,-0.17589301788711964,0.16387065572224363,370,2.7241084964071644e+16,-0.44546024655021044,0.09367421077597116
13,-0.1800041138276356,0.1762774550429727,369,2.7239544100344036e+16,-0.4699805273733257,0.1099722997180545
14,-0.19479224107476512,0.19557952317659938,368,2.723918388372623e+16,-0.5165205567002711,0.12693607455074085
15,-0.32738737324825706,0.20017394407796638,367,2.723913799386582e+16,-0.6566735112565117,0.0018987647599976176
16,-0.4437508489154425,0.21648332667126363,366,2.7195244481837468e+16,-0.7998659212896712,-0.0876357765412138
17,-0.31642592683238036,0.21525797208710346,365,2.719453057064364e+16,-0.6705252909156656,0.03767343725090483
18,-0.4050524663982742,0.2149609673409848,364,2.719460040385435e+16,-0.7586632576741942,-0.0514416751223542
19,-0.4541195949698249,0.2235548453692142,363,2.719398452725408e+16,-0.8218673156021823,-0.08637187433746757
20,-0.2686982797174551,0.21111783259230882,362,2.7187361899335452e+16,-0.6159871143318031,0.07859055489689293
21,-0.1482428560095741,0.216655496599134,361,2.716552901679423e+16,-0.5046411479151496,0.20815543589600133
22,-0.03732031047320561,0.2196198269817059,360,2.7158923549871468e+16,-0.39859492585811185,0.32395430491170063
23,-0.02090178001390086,0.2326231466627281,359,2.7147029221776384e+16,-0.40356685627408856,0.36176329624628684
24,-0.11143654453485397,0.2509245289555698,358,2.714033136465605e+16,-0.5242073946667664,0.3013343055970584
25,-0.1012500048466336,0.2758646640156216,357,2.713653900175141e+16,-0.5550473771523312,0.35254736745906395
26,-0.08314635183069186,0.2505095621190185,356,2.7130706654931856e+16,-0.49523458151647726,0.32894187785509355
27,-0.12785012079007174,0.2513665873513446,355,2.699106855146465e+16,-0.5413481569830336,0.28564791540289014
28,-0.15521760409728813,0.23383142867442605,354,2.6989379704480196e+16,-0.539870304266719,0.22943509607214274
29,-0.09679948769689872,0.2327570937918917,353,2.698410939186915e+16,-0.47968490698456057,0.2860859315907631
30,0.07269851020987517,0.2249866763247331,352,2.6980376558836684e+16,-0.2974045723443108,0.4428015927640611
31,0.13265341443207035,0.24480373807657058,351,2.697596532873856e+16,-0.27004873470388824,0.5353555635680289
32,0.09388361597507355,0.24921756425339076,350,2.6970002642602284e+16,-0.3160792772217542,0.5038465091719013
33,0.10994663879500877,0.2532623923373603,349,2.696340214323133e+16,-0.3066699965999489,0.5265632741899664
34,0.06747416195685219,0.22879841609709636,348,2.695868033781742e+16,-0.3088992325228713,0.4438475564365757
35,0.011559210931636699,0.1996479790191383,347,2.6953127570324148e+16,-0.3168617145548458,0.3399801364181192
36,0.06212061580527006,0.2259532079765948,346,2.6946116716794624e+16,-0.30957241131622837,0.4338136429267685
37,0.025772904628411197,0.275178647262771,345,2.693727195618649e+16,-0.42689597011884717,0.47844177937566956
38,-0.023300434490010957,0.27438454591269296,344,2.6929569435202276e+16,-0.47466301251639087,0.42806214353636896
39,-0.05791039876407922,0.2885289296642308,343,2.692541351272866e+16,-0.5325404880617389,0.4167196905335805
40,0.04473638464287433,0.30841502707159524,342,2.6922000067269304e+16,-0.4626063348898999,0.5520791041756485
41,0.04318124532278489,0.3166392377721717,341,2.6922087932095236e+16,-0.4776903008124376,0.5640527914580074
42,-0.04809714001567045,0.3263174947934689,340,2.6863075546548004e+16,-0.5848894189509267,0.4886951389195858
43,-0.06670307757553928,0.4025777359474565,339,2.6859000234405316e+16,-0.7289434532091053,0.5955372980580267
44,-0.04522396390893846,0.43094767864165007,338,2.685382718867834e+16,-0.7541328952744528,0.6636849674565759
45,-0.21587853525966239,0.42637413955251235,337,2.6852999565767064e+16,-0.9172639948235453,0.4855069243042205
46,-0.2164131528161306,0.377832085395139,336,2.678609647808186e+16,-0.8379469332911343,0.40512062765887313
47,-0.23376874563109595,0.41669706584096067,335,2.6786933781232828e+16,-0.9192354189394762,0.45169792767728434
48,-0.2827298127381255,0.47606414287232995,334,2.657055209193277e+16,-1.0658553277631082,0.5003957022868573
