h,coef,se,n,F,lo90,hi90
0,,,382,,,
1,,,381,,,
2,,,380,,,
3,,,379,,,
4,,,378,,,
5,,,377,,,
6,,,376,,,
7,,,375,,,
8,,,374,,,
9,,,373,,,
10,,,372,,,
11,,,371,,,
12,,,370,,,
13,,,369,,,
14,,,368,,,
15,,,367,,,
16,,,366,,,
17,,,365,,,
18,,,364,,,
19,,,363,,,
20,,,362,,,
21,,,361,,,
22,,,360,,,
23,,,359,,,
24,,,358,,,
25,,,357,,,
26,,,356,,,
27,,,355,,,
28,,,354,,,
29,,,353,,,
30,,,352,,,
31,,,351,,,
32,,,350,,,
33,,,349,,,
34,,,348,,,
35,,,347,,,
36,,,346,,,
37,,,345,,,
38,,,344,,,
39,,,343,,,
40,,,342,,,
41,,,341,,,
42,,,340,,,
43,,,339,,,
44,,,338,,,
45,,,337,,,
46,,,336,,,
47,,,335,,,
48,,,334,,,
