h,coef,se,n_obs,F_stat,lo90,hi90
0,-0.09229231961535334,0.0608047758203152,382,2.1090021710952184e+16,-0.19231617583977184,0.0077315366090651705
1,-0.04962057439911405,0.09022221858898852,381,2.108482003747485e+16,-0.19803612397800016,0.09879497517977207
2,-0.08834827358782604,0.11231661351066059,380,2.1080685687272908e+16,-0.2731091028128627,0.09641255563721063
3,-0.28972547958278483,0.1307365409424549,379,2.1078377797436184e+16,-0.5047870894331231,-0.07466386973244651
4,-0.18030298744088213,0.16177767449201585,378,2.107991018051173e+16,-0.44642726198024824,0.08582128709848397
5,-0.2287316272515909,0.1810828870616451,377,2.1047118384749828e+16,-0.5266129764679971,0.06914972196481528
6,-0.193978206963493,0.19795253557154985,376,2.1027870345727416e+16,-0.5196101279786924,0.1316537140517065
7,-0.15998584507110536,0.18579286178641308,375,2.102583235046316e+16,-0.46561510270975487,0.14564341256754415
8,-0.09009421431983355,0.19527229010078376,374,2.1022812840043e+16,-0.4113171315356228,0.23112870289595572
9,-0.06366652356473423,0.20755582627846458,373,2.101901009337053e+16,-0.4050958577928085,0.27776281066334
10,-0.16790243569994345,0.22300416265633838,372,2.1027323964689972e+16,-0.5347442832696201,0.19893941186973318
11,-0.13497191936608033,0.17594298883845413,371,2.101441352605281e+16,-0.4243981360053374,0.15445429727317672
12,-0.1839407948762073,0.1842497985579499,370,2.1001747259870364e+16,-0.4870317135040349,0.11915012375162032
13,-0.26664606850999917,0.21494763081355092,369,2.099638672009076e+16,-0.6202349211982905,0.0869427841782921
14,-0.32595313524097946,0.2620208129463549,368,2.0991008846285268e+16,-0.7569773725377332,0.1050711020557743
15,-0.41568229643871746,0.2720166913710892,367,2.0986857480411948e+16,-0.8631497537441593,0.03178516086672428
16,-0.39205513640763456,0.3155221466526278,366,2.098802940613388e+16,-0.9110890676512072,0.1269787948359381
17,-0.3369388940382123,0.30989739027748064,365,2.09758107121837e+16,-0.846720101044668,0.17284231296824337
18,-0.3537120669163869,0.3124000762575214,364,2.07776267547265e+16,-0.8676101923600097,0.16018605852723589
19,-0.4231575626749873,0.36996580868696427,363,2.078352626483657e+16,-1.0317513179650435,0.18543619261506894
20,-0.4337659854757021,0.3615889977199826,362,2.079880066424381e+16,-1.0285798867250735,0.16104791577366928
21,-0.5163567744077682,0.36674644121970273,361,2.0627763284061868e+16,-1.1196546702141792,0.08694112139864285
22,-0.49986696924474927,0.31733651887557524,360,2.062811263579351e+16,-1.0218855427950704,0.022151604305571948
23,-0.4822365344609807,0.33733634942311835,359,2.0619195122675364e+16,-1.0371548292620103,0.07268176034004903
24,-0.5627595296389245,0.387491565909692,358,2.061457500577053e+16,-1.200183155560368,0.07466409628251891
25,-0.5807495468552588,0.4204700475160943,357,2.0611134375493184e+16,-1.2724227750192338,0.11092368130871633
26,-0.3476816474728821,0.38999392865863863,356,2.0607545834469268e+16,-0.9892216601163427,0.2938583651705785
27,-0.2970303688368858,0.42060453226579747,355,2.061896847662991e+16,-0.9889248244141227,0.394864086740351
28,-0.14693607512913331,0.34324593483047694,354,2.062316616378974e+16,-0.7115756379252679,0.41770348766700127
29,-0.017766343734365364,0.299517046073117,353,2.062192370592808e+16,-0.5104718845246429,0.47493919705591214
30,0.13074154569244456,0.31724991529441965,352,2.061928583879441e+16,-0.3911345649668758,0.6526176563517649
31,0.39367266489625763,0.3560125123699867,351,2.061559744497822e+16,-0.19196791795237056,0.9793132477448858
32,0.612383111568306,0.38816977612831755,350,2.0611020410352876e+16,-0.02615617016277627,1.2509223932993883
33,0.7821895802221661,0.4784330876446385,349,2.0606072199087176e+16,-0.0048328489532641905,1.5692120093975963
34,0.8433157110769116,0.40255166546269694,348,2.0602018732329556e+16,0.18111822139077516,1.505513200763048
35,0.6879476521319248,0.3379646109706285,347,2.0597574258225028e+16,0.1319958670852408,1.2438994371786087
36,0.8128281132437678,0.3059171237927336,346,2.0594860490226336e+16,0.30959444460472096,1.3160617818828146
37,0.9200933249771879,0.3215201479496004,345,2.058813327593672e+16,0.39119268160009524,1.4489939683542805
38,0.878813117651589,0.32359181100428575,344,2.0571368691602936e+16,0.3465045885495389,1.4111216467536392
39,0.9174716901886768,0.2864925392372748,343,2.051108308311739e+16,0.4461914631433597,1.388751917233994
40,0.8264601326231968,0.2630951001136367,342,2.0471779565559308e+16,0.3936686929362645,1.2592515723101292
41,0.5725990869857469,0.29671217601801503,341,2.04675976526368e+16,0.08450755743611216,1.0606906165353815
42,0.47000656953969155,0.260972133907266,340,2.046157000916102e+16,0.040707409262239036,0.8993057298171441
43,0.2576910286927614,0.22616278068754,339,2.045744697467202e+16,-0.11434674553824192,0.6297288029237647
44,0.13820238819107544,0.22622059366617042,338,2.045319748127436e+16,-0.23393048838977493,0.5103352647719258
45,0.03202110502093092,0.21995416606473958,337,2.040443120720828e+16,-0.3298034981555657,0.39384570819742754
46,-0.004165913775295849,0.22800643790022154,336,2.039193129642501e+16,-0.3792365041211603,0.3709046765705686
47,-0.0695400878014425,0.23388989476543404,335,2.0317819955384436e+16,-0.4542889646905815,0.3152087890876965
48,-0.06874920708310128,0.24515141718394245,334,2.026541250389826e+16,-0.47202328835068663,0.33452487418448407
