h,coef,se,n_obs,F_stat,lo90,hi90
0,0.18251362799082926,0.06847011829158901,382,8.112454154212267e+28,0.06988028340116534,0.29514697258049316
1,0.5397747625870579,0.18085180069939033,381,1.4653846121583894e+29,0.24227355043656085,0.837275974737555
2,0.7241384812532488,0.23827849041847857,380,6.839194192884624e+29,0.3321703645148515,1.116106597991646
3,0.6626705446619781,0.3031206337946109,379,1.3584147517458393e+29,0.16403710206984312,1.1613039872541129
4,0.5514262990591305,0.3078978467914518,378,1.3300721113921673e+28,0.0449343410871923,1.0579182570310688
5,0.519317277072787,0.2767460487912884,377,6.374965638734992e+28,0.06407002681111756,0.9745645273344563
6,0.48436790666437446,0.26005415751680483,376,2.891137024312567e+28,0.0565788175492305,0.9121569957795184
7,0.30308025589556564,0.2442181713573499,375,6.425395789149262e+27,-0.09865863598727498,0.7048191477784063
8,0.40366465384022376,0.23249395464779002,374,4.334110858670378e+28,0.021212098444609195,0.7861172092358384
9,0.5963732892705593,0.22669629988926096,373,1.2675765615480292e+28,0.22345787595272504,0.9692887025883936
10,0.5828171133380238,0.2482865081331712,372,7.475080542724112e+27,0.1743858074589571,0.9912484192170905
11,0.5791372548578693,0.24861985695585867,371,2.6343124575807474e+27,0.17015759016548176,0.9881169195502568
12,0.6764068172483348,0.2608140177159305,370,2.5117614003191957e+29,0.24736775810562917,1.1054458763910406
13,0.6755233207718447,0.2734447424774834,369,1.4189551579100141e+28,0.22570671939638454,1.125339922147305
14,0.6364289260354781,0.30704160139932174,368,8.511768485583716e+27,0.13134549173359378,1.1415123603373623
15,0.6911947075705029,0.33601086459519897,367,1.6796101351958542e+29,0.13845683531140063,1.2439325798296053
16,0.6393176719302573,0.35553193645417586,366,9.108116204506251e+27,0.054467636463138014,1.2241677073973767
17,0.5780303682945487,0.32887406093219074,365,6.686875419070554e+28,0.037032538061094966,1.1190281985280024
18,0.49884261862030144,0.35007845838375107,364,4.6819472981524966e+27,-0.0770364454209691,1.074721682661572
19,0.6011920318908324,0.3419398979876379,363,1.284682362637459e+28,0.03870089970116797,1.1636831640804968
20,0.6677089668085046,0.3340386207385268,362,1.2730502734048038e+28,0.11821543569362791,1.217202497923381
21,0.7042478317196128,0.3756601051287592,361,2.0146073842436035e+28,0.0862869587828039,1.3222087046564217
22,0.7362951784273264,0.4060089715638942,360,4.042877517602551e+27,0.06841042020472043,1.4041799366499323
23,0.8115388671335495,0.42994495832093027,359,1.1464382792979875e+27,0.10427941069561919,1.5187983235714797
24,0.7567382133311185,0.4456521424832356,358,1.004895488372424e+28,0.02364043894619594,1.489835987716041
25,0.7590724779827269,0.4522684244263159,357,7.37755706253441e+28,0.015090919801437286,1.5030540361640166
26,0.8181931604383408,0.47197532634298084,356,9.504236427782772e+27,0.041793748604137315,1.5945925722725443
27,0.8795061441517191,0.47037158969177173,355,1.0673177772701975e+29,0.10574487910875463,1.6532674091946835
28,0.8685025950289855,0.4636322950652805,354,1.59362715893028e+28,0.10582746964659917,1.631177720411372
29,0.8611056507879766,0.47570774107254377,353,1.3732582148927563e+29,0.07856641672364217,1.643644884852311
30,0.901113450217963,0.4926006942189544,352,2.467222497909306e+28,0.09078530822778297,1.711441592208143
31,1.0487979613021707,0.495532634065149,351,2.149065455691372e+28,0.23364677826500058,1.8639491443393408
32,1.0604048160571438,0.5121911876752782,350,5.960615013885442e+28,0.21785031233131114,1.9029593197829764
33,1.104068234306851,0.521634866460838,349,1.6014969179096728e+28,0.24597887897877257,1.9621575896349297
34,1.1406458949090847,0.5208963507214688,348,7.24408131523321e+27,0.2837713979722686,1.9975203918459008
35,1.1670312151593407,0.5145291526078682,347,2.0364698905719515e+28,0.3206307591193974,2.013431671199284
36,1.1999567150062376,0.4930526734424848,346,6.22579405120278e+28,0.38888506719335003,2.011028362819125
37,1.2188817485691743,0.4969164324161891,345,9.330639017052756e+29,0.4014542172445432,2.036309279893805
38,1.2047575465760474,0.49912307222789637,344,8.79779879259982e+27,0.3837000927611579,2.0258150003909368
39,1.2054648236785397,0.5037639783090545,343,3.2050350955926995e+28,0.37677307936014504,2.0341565679969342
40,1.0193410944500556,0.5046252493226558,342,3.1589396032276414e+29,0.18923255931428673,1.8494496295858245
41,0.9127714883011322,0.47502420722183664,341,5.759654300336054e+28,0.13135666742121088,1.6941863091810534
42,0.9144281579417566,0.4708826562406056,340,4.0903103902849095e+27,0.1398261884259604,1.6890301274575528
43,0.8172919493911195,0.49796147128250784,339,9.063579355726457e+27,-0.0018546708686059121,1.6364385696508448
44,0.7638372588132825,0.5310466741198734,338,6.747796962619198e+28,-0.10973452011390927,1.6374090377404742
45,0.8620605097446514,0.5890297285094843,337,1.0810196744264492e+28,-0.1068933936534503,1.831014413142753
46,1.0258106815995234,0.6147022916903979,336,8.471737821114005e+28,0.014625411768818708,2.036995951430228
47,1.09938915161365,0.6313243821384205,335,3.2134580648433553e+27,0.06086054299594834,2.1379177602313515
48,1.1042165692929302,0.6561045727039531,334,3.982236488576051e+28,0.024924547194927316,2.1835085913909333
