h,coef,se,n_obs,F_stat,lo90,hi90
0,-0.03706052181158448,0.031177168496938072,382,243.39935932531338,-0.08834696398904761,0.01422592036587865
1,-0.0719536983307858,0.04708193788664792,381,243.79480077981808,-0.14940348615432164,0.005496089492750031
2,-0.08963709229238859,0.05366882334071571,380,246.18846339240832,-0.17792230668786593,-0.001351877896911241
3,-0.09595512554938956,0.057576927850088964,379,312.6764759466698,-0.19066917186278592,-0.0012410792359932171
4,-0.09533768753711946,0.062023536478635295,378,329.3239309078565,-0.19736640504447453,0.006691029970235601
5,-0.09618237129281049,0.06810580953535826,377,328.67280840381056,-0.20821642797847484,0.01585168539285385
6,-0.12404979925135606,0.07076560395447916,376,331.1077649277537,-0.24045921775647427,-0.0076403807462378515
7,-0.09225659354875049,0.07786931825041252,375,331.15048094661694,-0.22035162207067907,0.035838434973178096
8,-0.0431585538110042,0.09152715151695803,374,331.87515419587913,-0.19372071805640018,0.10740361043439178
9,-0.03853265093585989,0.09485642648817189,373,331.8536956339597,-0.19457147250890264,0.11750617063718286
10,-0.03814666224424457,0.09615965376858567,372,332.39274108121526,-0.196329292693568,0.12003596820507886
11,0.013801709701350973,0.09201388581472632,371,331.6857876789635,-0.13756113246387383,0.16516455186657578
12,-0.014514469984426626,0.09187109918736698,370,333.8305661265149,-0.16564242814764532,0.13661348817879207
13,-0.03187840105958273,0.09943665776151736,369,335.15335691464554,-0.1954517030772788,0.13169490095811334
14,-0.07231606299849958,0.10308537998019,368,335.27196053020856,-0.24189151306591214,0.09725938706891299
15,-0.03823470510909388,0.10116832158015587,367,334.9034489460013,-0.2046565941084503,0.12818718389026254
16,-0.07278025120238141,0.10111008501562976,366,334.71760912478607,-0.23910634105309236,0.09354583864832955
17,-0.0625637413338147,0.09300458321053746,365,335.1434768433185,-0.21555628071514885,0.09042879804751944
18,0.014983560940077467,0.08901397875242328,364,335.10192228083423,-0.13144443410765883,0.16141155598781376
19,0.06927922267036024,0.08432364949335026,363,340.1519959483085,-0.06943318074620095,0.20799162608692143
20,0.0708283071737803,0.09135690902804099,362,351.0770755246172,-0.07945380817734712,0.22111042252490773
21,0.06608395511294773,0.09589565916143891,361,345.84024579592136,-0.09166440420761929,0.22383231443351476
22,0.07026525014458684,0.09659584729677315,360,344.991295933886,-0.08863491865860498,0.22916541894777867
23,0.0667055817980291,0.10224267855494051,359,345.67637087837943,-0.10148362442484804,0.23489478802090624
24,0.1316969337308933,0.09857330182144274,358,345.58865991364166,-0.03045614776538,0.2938500152271666
25,0.19384607663868536,0.11083859074993567,357,346.6732511291772,0.011516594855041196,0.3761755584223295
26,0.16780166411226105,0.08869543092376311,356,348.35670410164715,0.02189768024267072,0.3137056479818514
27,0.2140423126306885,0.08842721572999722,355,348.0448679719121,0.0685795427548431,0.3595050825065339
28,0.21959134537399905,0.09059475654979476,354,347.67857320361964,0.07056297084958665,0.36861971989841147
29,0.2183945917424026,0.09332184747505537,353,350.59519836047696,0.06488015264593652,0.3719090308388687
30,0.1940567958437569,0.09723201833374794,352,350.77427286986403,0.03411012568474156,0.3540034660027722
31,0.1911381361797524,0.10724300554255649,351,353.63121667186965,0.01472339206224696,0.36755288029725786
32,0.25606879453918907,0.09278820076344454,350,356.97346625713527,0.10343220428332278,0.40870538479505536
33,0.28312311720957695,0.09250747147189577,349,358.6174709036194,0.1309483266383084,0.4352979077808455
34,0.29811551810307435,0.10016996237591035,348,362.89591659698095,0.13333592999470184,0.46289510621144686
35,0.2727404401215736,0.10293753591556119,347,366.406572444871,0.10340819354047545,0.44207268670267175
36,0.18915069857367683,0.0963145596083058,346,374.37357190387286,0.030713248018013783,0.3475881491293399
37,0.20512132371961656,0.09164008200512794,345,374.7386769468747,0.05437338882118109,0.355869258618052
38,0.17563200187127848,0.09447259662852614,344,373.8463254193055,0.020224580417352978,0.331039423325204
39,0.17798205314009863,0.10333869618948525,343,373.1571186429034,0.007989897908395382,0.3479742083718019
40,0.14044091094412892,0.10515114438220613,342,385.25284807527044,-0.03253272156460016,0.313414543452858
41,0.08359092767570075,0.10267601511964361,341,386.7077799244525,-0.08531111719611298,0.25249297254751446
42,0.11572736487146784,0.10023186909860002,340,387.0363077166823,-0.04915405979572918,0.28060878953866486
43,0.1159239557471281,0.09723120321987797,339,387.34637969900893,-0.04402137354957114,0.27586928504382735
44,0.13136235586167544,0.09925619529152711,338,387.18336056906355,-0.031914085392886676,0.2946387971162375
45,0.10689677761266125,0.10308071032175657,337,390.1578458246882,-0.0626709908666283,0.2764645460919508
46,0.09292036489714661,0.09694307631588697,336,472.49744265196165,-0.06655099564248745,0.2523917254367807
47,0.09929039059522893,0.09677605400480166,335,478.1451905393654,-0.05990621824266981,0.2584869994331277
48,0.0558743625603384,0.10375061921114531,334,552.7194104671887,-0.11479540604199565,0.22654413116267244
