h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
0,-0.09271048129471918,0.07197889727972626,143,222.19488143002704,-0.21111576731986886,0.02569480473043051,-0.23378911996298263,0.048368157373544274
1,-0.2464281059548814,0.11590778540614935,143,222.19488143002704,-0.43709641294799706,-0.05575979896176572,-0.4736073653509341,-0.01924884655882869
2,-0.30619710354698565,0.16488106404207942,143,222.19488143002704,-0.5774264538962063,-0.03496775319776502,-0.6293639890694613,0.016969781975489984
3,-0.2707137507891675,0.1829723842014315,143,222.19488143002704,-0.5717033228005224,0.03027582122218736,-0.6293396238239732,0.08791212224563827
4,-0.18009874566465137,0.18267955960517293,142,257.0927510618458,-0.48060662121516085,0.12040912988585808,-0.5381506824907903,0.17795319116148758
5,-0.18969819623364367,0.16794093681687516,142,257.0927510618458,-0.46596103729740335,0.08656464483011597,-0.518862432394719,0.13946603992743165
6,-0.2733947964560671,0.190945514730976,142,257.0927510618458,-0.5875001681885227,0.04071057527638844,-0.6476480053287801,0.10085841241664584
7,-0.2821963965214468,0.19290979652183532,141,255.4078716361778,-0.5995330117998658,0.03514021875697232,-0.6602995977042441,0.09590680466135043
8,-0.14018510585751015,0.21086168516040188,140,259.73944223520994,-0.48705257794637125,0.20668236623135094,-0.5534740087718979,0.27310379705687754
9,-0.08240223513354264,0.2208296457743468,140,259.73944223520994,-0.44566700243234314,0.2808625321652578,-0.5152283408512623,0.3504238705841771
10,-0.012640376152494349,0.21800138889449794,140,259.73944223520994,-0.3712526608839435,0.34597190857895477,-0.4399230983857103,0.4146423460807216
11,0.01123420226171842,0.21545304415476718,139,258.92587203730216,-0.3431860553728736,0.3656544598963104,-0.41105376428162527,0.43352216880506206
12,-0.07080068709242882,0.24108875020153128,138,254.9709852801559,-0.4673916811739478,0.3257903069890902,-0.5433346374874302,0.4017332633025725
13,-0.11393650021823973,0.2463970296890305,138,254.9709852801559,-0.5192596140566949,0.29138661362021545,-0.5968746784087394,0.36900167797226
14,-0.1510008509205655,0.24001433238953448,137,254.6233184829687,-0.5458244277013498,0.24382272586021872,-0.6214289424040531,0.31942724056292204
15,-0.1009667600196372,0.2288619657846757,137,254.6233184829687,-0.47744469373542875,0.2755111736961544,-0.5495362129576016,0.34760269291832724
16,-0.15705798458821515,0.22110196116704614,137,254.6233184829687,-0.5207707107080061,0.20665474153157573,-0.5904178284756256,0.27630185929919526
17,-0.18507206318764488,0.25327609337185764,137,254.6233184829687,-0.6017112367843507,0.23156711040906094,-0.6814932061964858,0.3113490798211961
18,-0.02475746254315017,0.19827612504176406,137,254.6233184829687,-0.3509216882368521,0.3014067631505517,-0.41337866762500775,0.36386374253870735
19,-0.009538304706086928,0.17497359087821715,136,256.4263179103272,-0.29736986170075413,0.2782932522885803,-0.3524865428273925,0.3334099334152187
20,0.0756993663797852,0.1868258048635622,135,252.17142490378635,-0.23162908262077464,0.383027815380345,-0.29047921115279673,0.4418779439123671
21,0.058245072202962045,0.20978325772402023,134,249.98470819992144,-0.28684838675305124,0.40333853115897533,-0.3529301129361176,0.4694202573420417
22,-0.08421986860675065,0.18878314962310114,133,244.92994968560356,-0.394768149736752,0.22632841252325073,-0.45423484186802887,0.2857951046545276
23,-0.1132273111721671,0.17486491818537495,133,244.92994968560356,-0.4008801015871089,0.17442547924277468,-0.455962550815502,0.2295079284711678
24,0.061866891165906344,0.19824615428046713,133,244.92994968560356,-0.2642480326254621,0.38798181495727474,-0.32669557122380927,0.4504293535556219
25,0.28393589848180617,0.2806420710855867,133,244.92994968560356,-0.17772030845398396,0.7455921054175962,-0.2661225608459437,0.8339943578095561
26,0.1388737380527299,0.20269362349465767,132,252.35216018575068,-0.194557272595982,0.4723047487014418,-0.2584057639967991,0.5361532401022588
27,0.24062674245957094,0.18842514418928374,131,247.88462878883638,-0.06933261973180083,0.5505861046509427,-0.12868654015142517,0.6099400250705671
28,0.14450549249654515,0.21283225774853326,131,247.88462878883638,-0.20560357149979208,0.4946145564928824,-0.27264573269058,0.5616567176836703
29,-0.04497502100230605,0.2611854261419619,130,262.86814839954457,-0.47462504700583336,0.38467500500122126,-0.5568984562405512,0.4669484142359392
30,-0.003938541587099904,0.2057384260259297,130,262.86814839954457,-0.3423782523997543,0.3345011692255545,-0.4071858565979221,0.39930877342372234
31,0.039887697188732425,0.19357741902199188,130,262.86814839954457,-0.2785471571024442,0.35832255147990905,-0.33952404409437165,0.4192994384718365
32,0.0441725596959609,0.19054536590451013,130,262.86814839954457,-0.26927456721695825,0.35761968660888005,-0.32929635747687896,0.41764147686880077
33,0.0776869187903553,0.18873211943856064,129,256.0944753087847,-0.23277741768607693,0.3881512552667875,-0.2922280353092236,0.44760187288993414
34,0.13665258020158755,0.22710360435676497,128,238.72190016577235,-0.23693284896529082,0.510238009368466,-0.30847048433767177,0.5817756447408469
35,-0.07026494730967967,0.189761170090108,127,258.40123642127855,-0.38242207210790735,0.241892177488548,-0.4421968406862914,0.301666946066932
36,-0.1945840944829766,0.21568987419713403,126,262.87432429129956,-0.5493939375372621,0.1602257485713089,-0.6173362479093594,0.22816805894340614
37,-0.0665822122868575,0.1802518900274599,125,257.6507823306695,-0.36309657138202905,0.22993214680831403,-0.4198759167406789,0.2867114921669639
38,-0.007259170487809003,0.15234997548007861,124,255.15203480935963,-0.25787488015253834,0.24335653917692035,-0.30586512242876307,0.2913467814531451
39,-0.010588543360176077,0.15771992449516714,123,253.9498547572195,-0.270037819154726,0.24886073243437387,-0.31971959537070366,0.29854250865035153
40,-0.007338490509257793,0.1617978140820133,122,336.6766889521943,-0.2734958946741697,0.2588189136556541,-0.3244622061100038,0.30978522509148826
41,-0.07310915483304543,0.15889127647811976,121,367.72834740957677,-0.33448530463955245,0.1882669949734616,-0.38453605673016017,0.23831774706406933
42,-0.058997334875447706,0.16799995278586602,121,367.72834740957677,-0.3353572572081973,0.2173625874573019,-0.3882772423357451,0.27028257258484967
43,-0.1019581362023456,0.15916468268790582,120,390.9208522799677,-0.3637840392239507,0.15986776681925946,-0.41392091427064104,0.2100046418659498
44,-0.03369038003026101,0.15522889432634226,119,360.5299795362369,-0.289041911197094,0.221661151136572,-0.3379390129098918,0.27055825284936985
45,-0.022867030498907134,0.15440193134454155,119,360.5299795362369,-0.276858207560678,0.23112414656286373,-0.3254948159342086,0.2797607549363943
46,-0.03114485626791348,0.15339144400970486,119,360.5299795362369,-0.283473781663878,0.22118406912805105,-0.331792086526935,0.26950237399110805
47,-0.03771762619137075,0.19169585961148447,119,360.5299795362369,-0.3530573152522627,0.2776220628695212,-0.4134415110298803,0.3380062586471388
48,-0.11912569261864667,0.22941316683644444,118,499.9736353071224,-0.4965103520645978,0.2582589668273044,-0.5687754996180777,0.33052411438078444
