h,coef,se,F,n,lo90,hi90,sig90
0,-0.21451730868907112,0.22650396268037437,2.6574581280282872e+26,381,-0.587116327298287,0.15808170992014473,False
1,-0.487705618346411,0.3352899335699519,7.837144723275915e+25,380,-1.0392575590689819,0.06384632237615984,False
2,-0.428459301548886,0.3934291560570066,3.204297941397297e+26,379,-1.0756502632626619,0.21873166016488987,False
3,-0.43425590610058334,0.4918288700449547,2.4265420351651775e+26,378,-1.2433143973245337,0.3748025851233671,False
4,-0.3310243463147522,0.5496255680177805,1.9931082203652277e+27,377,-1.2351584057040013,0.5731097130744968,False
5,0.02826321842089889,0.6126175509585005,2.22810284680365e+26,376,-0.9794926529058343,1.036019089747632,False
6,-0.08494521488020662,0.5189838445434692,7.686628382135074e+25,375,-0.9386736391542134,0.7687832093938003,False
7,-0.1055310064297509,0.5677835849653403,5.1744742889877206e+26,374,-1.0395350036977358,0.8284729908382339,False
8,0.8249199738974032,0.6466402929327887,9.616574560941185e+26,373,-0.23880330797703408,1.8886432557718407,False
9,1.2287836049087004,0.6724191418596205,1.510673156489866e+26,372,0.12265411654962466,2.334913093267776,True
10,1.7125423758729998,0.6991104363319847,3.438766416652342e+26,371,0.5625057081068852,2.8625790436391148,True
11,1.5274469100304386,0.6298096058229339,5.349936568992528e+26,370,0.4914101084517124,2.563483711609165,True
12,1.5936799122692324,0.7341052303639477,1.4671837700018428e+26,369,0.38607680832053837,2.8012830162179263,True
13,1.8501303896778913,0.7883375506671155,1.8146386578637648e+27,368,0.5533151188304863,3.1469456605252963,True
14,1.9500873883409995,0.8378480653000181,7.795447158852239e+25,367,0.5718273209224698,3.328347455759529,True
15,1.974409725509754,0.8875029460240551,1.1743057949527241e+26,366,0.5144673793001833,3.4343520717193243,True
16,1.5316290946175333,0.8424465128584288,9.032506639088498e+25,365,0.14580458096541804,2.9174536082696485,True
17,1.6219252243566853,0.8429025641450921,2.0934965247889322e+26,364,0.2353505063380088,3.008499942375362,True
18,1.9404549632345804,0.9139812386275226,1.8031384817586475e+27,363,0.43695582569230584,3.443954100776855,True
19,1.7291753302985704,1.1040806787262414,1.76217914929194e+26,362,-0.08703738620609669,3.5453880468032377,False
20,1.5895533390852004,1.179764981336432,7.287553098732614e+25,361,-0.3511600552132301,3.530266733383631,False
21,1.5864582849900588,1.2846000437150853,3.203648552220728e+26,360,-0.5267087869212566,3.6996253569013744,False
22,1.769635151841912,1.174627632718126,3.811379787395414e+26,359,-0.16262730397940528,3.7018976076632293,False
23,1.6528301848913562,1.3187671071041578,9.541293488236777e+27,358,-0.5165417062949835,3.822202076077696,False
24,1.973013264425285,1.405102613889857,6.296305239546165e+26,357,-0.3383805354235301,4.2844070642741,False
25,1.8577358641997799,1.471271267729216,1.7480835945213356e+27,356,-0.5625053712147803,4.27797709961434,False
26,2.164579058189995,1.4589134205785232,8.486038180020404e+26,355,-0.23533351866167607,4.564491635041666,False
27,2.168577420995575,1.3708509380985254,3.661797606839608e+26,354,-0.0864723721764995,4.423627214167649,False
28,2.5161400439525066,1.3499055153369663,1.4550784442264438e+26,353,0.2955454712231971,4.736734616681816,True
29,2.506052168179512,1.355003733043055,1.8191611758037738e+27,352,0.27707102732368627,4.735033309035337,True
30,2.5575156280966027,1.5247363750411171,6.891680063773336e+26,351,0.04932429115396486,5.06570696503924,True
31,2.2704228096223225,1.5034002172266356,1.9079376680573386e+26,350,-0.2026705477154933,4.743516166960138,False
32,2.602365525584718,1.4758343894346166,4.270309050295774e+26,349,0.1746179549647735,5.030113096204662,True
33,2.498177322150672,1.2222009849121602,1.9347126631864418e+26,348,0.4876567019701685,4.5086979423311755,True
34,2.343869589083175,1.0248737304542441,9.337373578790616e+27,347,0.6579523024859433,4.029786875680406,True
35,2.15302428169414,1.0855430234712824,1.4576490610316636e+26,346,0.36730600808388036,3.9387425553043993,True
36,2.2190530732173492,1.0458688345282205,1.8333895878667037e+27,345,0.4985988404184265,3.9395073060162717,True
37,1.939705548300622,1.0571076853500245,4.467066012853059e+26,344,0.20076340589983177,3.6786476907014123,True
38,2.3104072423353723,0.9954119518211455,3.519840689945112e+27,343,0.6729545815895879,3.9478599030811568,True
39,2.315788132683592,0.9959646710481913,1.2403993147760206e+26,342,0.6774262488093175,3.9541500165578665,True
40,2.6284650266552143,0.9429106818565935,1.4070916141446798e+26,341,1.0773769550011179,4.179553098309311,True
41,1.9571980541211365,0.932543032599628,2.540342737984222e+26,340,0.42316476549474835,3.4912313427475246,True
42,1.8830719703276753,0.9642799229159837,8.830898019361182e+26,339,0.2968314971308821,3.469312443524468,True
43,2.131107971670981,1.0185239140029696,7.714872025626061e+26,338,0.4556361331360961,3.806579810205866,True
44,2.1317600055576027,1.0129827395740074,1.9137966644161098e+28,337,0.4654033989583606,3.7981166121568446,True
45,2.4304733999032453,1.0633740221507324,1.9835312153704304e+27,336,0.6812231334652905,4.1797236663412,True
46,3.021753628523308,1.073175750578807,2.45418404178916e+26,335,1.2563795188211704,4.787127738225445,True
47,2.837053608330001,1.216181351259745,1.084230879983207e+27,334,0.8364352855077204,4.837671931152282,True
48,2.9792174215193885,1.3435761771997197,3.8469784878664886e+26,333,0.7690346100258498,5.189400233012927,True
