h,coef,se,F,n,lo90,hi90,sig90
0,-0.13779205664882485,0.07018249575977176,4.983988368611317e+27,381,-0.2532422621736494,-0.022341851124000306,True
1,-0.1274024144378548,0.10048334575374077,3.162892044796363e+28,380,-0.29269751820275836,0.037892689327048756,False
2,-0.15376774637713886,0.09713297551908091,1.121104561006903e+28,379,-0.313551491106027,0.0060159983517492355,False
3,-0.3588845614911015,0.11708933661483666,5.820977435358141e+28,378,-0.5514965202225077,-0.1662726027596952,True
4,-0.24852963991295093,0.1491633595740779,2.7048690589807238e+28,377,-0.49390336641230903,-0.003155913413592809,True
5,-0.29758602017893765,0.17418220057140651,7.357460459795333e+27,376,-0.5841157401189014,-0.011056300238973915,True
6,-0.2701804562338677,0.1850432392073477,2.4292132843122263e+27,375,-0.5745765847299547,0.03421567226221922,False
7,-0.2570333022885232,0.1965597108457413,3.6842752452807986e+28,374,-0.5803740266297677,0.06630742205272122,False
8,-0.23067083954765813,0.20218534415479722,1.5052293573107434e+27,373,-0.5632657306822996,0.10192405158698328,False
9,-0.23108102845291703,0.22309260537545963,5.294105924614401e+27,372,-0.5980683642955481,0.13590630738971407,False
10,-0.357931934878281,0.24404152730072837,4.956484372575805e+28,371,-0.7593802472879791,0.04351637753141718,False
11,-0.3069415127425094,0.18713709331433817,1.0430585298187043e+28,370,-0.6147820312445957,0.0008990057595768541,False
12,-0.34966397785306724,0.18745491955191143,8.030915719350573e+28,369,-0.6580273205159615,-0.04130063519017296,True
13,-0.4397032209569511,0.20498162865575628,2.1287882801749995e+27,368,-0.7768980000956702,-0.10250844181823199,True
14,-0.48520480335666016,0.2386614372286416,3.8249245882664096e+27,367,-0.8778028675977756,-0.09260673911554473,True
15,-0.5561462787081994,0.24242228936279422,5.358869026097426e+28,366,-0.954930944709996,-0.15736161270640292,True
16,-0.5214884023815043,0.2657878820213102,4.6582563139137483e+27,365,-0.9587094683065596,-0.08426733645644902,True
17,-0.47366262502411305,0.25286545059961296,3.69869946823121e+27,364,-0.8896262912604764,-0.05769895878774972,True
18,-0.5347813867748473,0.2614318772068613,2.967578576667149e+28,363,-0.9648368247801342,-0.10472594876956048,True
19,-0.6112713567160034,0.32379246225914776,8.306764371239907e+27,362,-1.1439099571323015,-0.07863275629970534,True
20,-0.6054822866452882,0.3234752218951692,1.9365000982483584e+28,361,-1.1375990266628415,-0.07336554662773487,True
21,-0.6636095728978041,0.3347517266266242,5.748944688613479e+28,360,-1.214276163198601,-0.11294298259700719,True
22,-0.5895870777688265,0.277347790777216,5.182328998684559e+27,359,-1.0458241935973467,-0.13334996194030613,True
23,-0.5593602513654162,0.2995180759799175,7.949969174516355e+28,358,-1.0520674863523805,-0.066653016378452,True
24,-0.6191789797614228,0.35885766960141885,1.3209838340627472e+28,357,-1.2094998462557567,-0.02885811326708876,True
25,-0.6052921279340238,0.3916904637050847,4.110771841777769e+27,356,-1.2496229407288881,0.03903868486084061,False
26,-0.3655283807655359,0.3637614980908025,1.7257158986294125e+28,355,-0.963916045124906,0.23285928359383418,False
27,-0.32179700599382877,0.40532904547265364,1.8081360378483333e+27,354,-0.988563285796344,0.34496927380868647,False
28,-0.16320177705470565,0.322813281538086,1.8870581425379054e+28,353,-0.6942296251848571,0.36782607107544585,False
29,-0.05160487070445464,0.29308491304012874,1.8994142951099077e+27,352,-0.5337295526554664,0.43051981124655714,False
30,0.10883390617923991,0.33406773428183195,2.3389951541561536e+28,351,-0.4407075167143736,0.6583753290728535,False
31,0.40412774246056815,0.37176263576297064,3.1048404779542093e+28,350,-0.2074217933695186,1.015677278290655,False
32,0.651088750078122,0.3427357175721454,2.784146447895481e+28,349,0.08728849467194277,1.2148890054843011,True
33,0.7942798683880048,0.40319973274811055,4.5971658092210663e+27,348,0.13101630801736297,1.4575434287586466,True
34,0.835405314231193,0.3260737812436689,8.568150558611531e+27,347,0.29901394408535764,1.3717966843770284,True
35,0.6630170728595881,0.29853913947718763,1.6055385911837372e+28,346,0.17192018841961443,1.1541139572995618,True
36,0.8090476795540424,0.27736148728954185,7.754854379845728e+27,345,0.3527880329627461,1.2653073261453387,True
37,0.9283666778511693,0.286078482505419,1.1433039368994033e+28,344,0.45776757412975505,1.3989657815725836,True
38,0.861136821720364,0.266062359196008,8.523063304718944e+26,343,0.4234642408429308,1.2988094025977972,True
39,0.8953128650235261,0.2568179616075907,2.509507332274882e+28,342,0.47284731817903947,1.3177784118680127,True
40,0.8165330662851641,0.24713981595130496,2.650935011398855e+28,341,0.4099880690452674,1.2230780635250609,True
41,0.5542912394983779,0.26074045187260675,8.93838563366366e+27,340,0.1253731961679398,0.9832092828288159,True
42,0.4825960804980008,0.22388045169459964,2.825051388132706e+27,339,0.1143127374603844,0.8508794235356172,True
43,0.26181050966243463,0.22876524781694982,6.745739662440771e+27,338,-0.11450832299644781,0.638129342321317,False
44,0.1483182200897971,0.28077824415975616,6.074916444625875e+27,337,-0.3135619915530018,0.610198431732596,False
45,0.07373166239061847,0.2538300303634598,2.4369938727169827e+28,336,-0.34381873755727294,0.49128206233850985,False
46,0.047510323520142374,0.2842499839784724,7.546826140025857e+27,335,-0.4200809001244447,0.5151015471647294,False
47,0.007366677362597572,0.3013451087134168,3.1016972179889943e+28,334,-0.4883460264709731,0.5030793811961682,False
48,-0.0018282803217669146,0.29926813556959797,3.4028328942325953e+27,333,-0.4941243633337556,0.4904678026902218,False
