h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.07625647871742558,0.1023556854898563,382,-0.2446315813482392,0.09211862391338804,-0.2768736222775439,0.12436066484269276
1,-0.08571163356626954,0.09029852625179927,381,-0.23425270925047934,0.06282944211794025,-0.2626967450197961,0.09127347788725701
2,-0.1361030439703086,0.11593861369590597,380,-0.3268220635000739,0.05461597555945674,-0.36334272681428426,0.0911366388736671
3,-0.17667800552825952,0.1584841755781338,379,-0.4373844743542896,0.08402846329777058,-0.48730698966140173,0.1339509786048827
4,-0.19460049915909394,0.18402960970219118,378,-0.4973292071191984,0.10812820880101054,-0.5552985341753887,0.16609753585720077
5,-0.22613020763282066,0.24482991176011876,377,-0.628875412478216,0.17661499721257468,-0.7059968346826534,0.2537364194170121
6,-0.2677923552707995,0.2584491627950737,376,-0.6929412280686957,0.15735651752709673,-0.7743527143491439,0.23876800380754493
7,-0.21745121463256112,0.23461209064238842,375,-0.6033881037392901,0.16848567447416785,-0.6772909122916424,0.24238848302652016
8,-0.20910024551237427,0.33468337656282215,374,-0.7596543999582167,0.34145390893346816,-0.8650796635755057,0.44687917255075715
9,-0.14507874754158934,0.23403133020708083,373,-0.5300602857322373,0.23990279064905862,-0.6037801547474677,0.3136226596642891
10,-0.11564670951105427,0.19197854159593553,372,-0.4314514104363682,0.20015799141425966,-0.4919246510390879,0.26063123201697935
11,-0.047276828951311245,0.18828757668471574,371,-0.35700989259766863,0.26245623469504614,-0.4163204792533541,0.3217668213507316
12,-0.06959216942115631,0.17000630499756678,370,-0.34925254114215365,0.21006820229984102,-0.4028045272163872,0.2636201883740746
13,-0.08519325338090766,0.17247882955910657,369,-0.36892092800563797,0.19853442124382265,-0.4232517593167565,0.2528652525549412
14,-0.07022124231281168,0.15740184478975094,368,-0.329147276991952,0.18870479236632864,-0.37872885810072354,0.23828637347510018
15,-0.0022087884398445112,0.18710600090720828,367,-0.30999815993220214,0.3055805830525131,-0.3689365502179727,0.3645189733382837
16,0.022575492828963206,0.28880907535530603,366,-0.4525154361305152,0.4976664217884416,-0.5434902948674366,0.588641280525363
