h,coef,se,F,n,lo90,hi90,sig90
0,0.009634052778919077,0.041326467906230735,6.225288835841022e+28,381,-0.058347986926830485,0.07761609248466864,False
1,-0.03358052125173881,0.05735484077141556,1.1690208518826132e+28,380,-0.1279292343207174,0.06076819181723979,False
2,-0.09707374762851059,0.08931251433675916,3.812835860780282e+27,379,-0.2439928337124794,0.049845338455458216,False
3,-0.13278232301488213,0.12196590605943718,1.5385920333413496e+28,378,-0.3334162384826563,0.06785159245289202,False
4,-0.1317605981981527,0.12243120214031919,1.5132293650027156e+28,377,-0.3331599257189778,0.06963872932267237,False
5,-0.21275162065397632,0.14895656284265713,9.155317249570253e+27,376,-0.4577851665301473,0.03228192522219464,False
6,-0.19235761977048366,0.1451214180868471,1.4652094776142926e+28,375,-0.43108235252334715,0.046367112982379804,False
7,-0.20608132639781093,0.158637582631712,2.924181349080337e+28,374,-0.46704014982697717,0.05487749703135528,False
8,-0.23985798557481847,0.17703223518185648,2.3036961028622123e+28,373,-0.5310760124489724,0.05136004129933547,False
9,-0.23994202333230924,0.17002403991787496,1.1222386518370528e+28,372,-0.5196315689972135,0.03974752233259504,False
10,-0.2128982641748747,0.1636399568160882,9.591981799354889e+27,371,-0.4820859931373398,0.056289464787590365,False
11,-0.2379556939451869,0.15432313023151503,5.487359776758223e+27,370,-0.49181724317602915,0.015905855285655357,False
12,-0.22357428876478183,0.16189196007196563,5.443195846461983e+27,369,-0.48988656308316525,0.042737985553601615,False
13,-0.253960672527339,0.1769523965707588,1.9241091182760744e+28,368,-0.5450473648862373,0.03712601983155922,False
14,-0.22376967774400253,0.18760384161580282,6.952014940630568e+27,367,-0.5323779972019982,0.08483864171399313,False
15,-0.19446012265663232,0.2020447890186008,6.950295483693736e+27,366,-0.5268238005922306,0.13790355527896597,False
16,-0.15865409237404018,0.18775633778021497,1.4650129284306926e+28,365,-0.4675132680224938,0.15020508327441343,False
17,-0.1494910074114793,0.1996740649875843,2.8183721751409208e+28,364,-0.4779548443160555,0.1789728294930969,False
18,-0.22414064406415943,0.19665329632021153,2.415283523208272e+28,363,-0.5476353165109074,0.09935402838258853,False
19,-0.22474325100297096,0.18549326322712476,9.619849144446541e+27,362,-0.5298796690115912,0.08039316700564927,False
20,-0.20934270973866315,0.1573809647749606,1.4247254491658063e+28,361,-0.46823439679347334,0.04954897731614705,False
21,-0.17696973081612002,0.13481252261803073,5.235280306236669e+27,360,-0.39873633052278057,0.04479686889054052,False
22,-0.11908636915189116,0.11891008195879903,2.3630878678650802e+28,359,-0.3146934539741156,0.07652071567033325,False
23,-0.14406822394440894,0.13888346297989806,3.5693851161443846e+29,358,-0.37253152054634125,0.08439507265752338,False
24,-0.14870170552869802,0.16282253467435037,3.3740584153618735e+28,357,-0.41654477506800436,0.11914136401060835,False
25,-0.16725701025790615,0.15687732600842516,1.9999671591810278e+29,356,-0.4253202115417656,0.09080619102595325,False
26,-0.1250422297142344,0.1501806450616002,6.258971989711969e+28,355,-0.3720893908405667,0.12200493141209792,False
27,-0.06726608875951794,0.15298983761555188,2.7288220406619015e+28,354,-0.3189343716371008,0.1844021941180649,False
28,-0.007632995450988808,0.1904028417530019,8.679964777167203e+28,353,-0.32084567013467696,0.3055796792326993,False
29,0.0790435288225843,0.2241726742440824,4.053070393762933e+28,352,-0.28972052030893125,0.44780757795409987,False
30,0.058874559600771786,0.20806890116248083,4.617492413565077e+28,351,-0.2833987828115092,0.4011479020130527,False
31,0.10446497689597575,0.20108057585518466,2.9489628941513985e+27,350,-0.22631257038580302,0.43524252417775455,False
32,0.05734749217117497,0.18314709556673947,6.0571357573019e+28,349,-0.24392948003611148,0.3586244643784614,False
33,-0.006511194530010202,0.1776255658110073,1.614638400794953e+28,348,-0.2987052502891172,0.2856828612290968,False
34,-0.08149948541573321,0.1903672829827625,5.817276429802612e+27,347,-0.39465366592237755,0.23165469509091113,False
35,-0.0366175626904042,0.21351326304462276,2.1983586971431865e+29,346,-0.38784688039880866,0.3146117550180002,False
36,0.03961336541730654,0.24610338039152543,5.8956723254609835e+29,345,-0.3652266953267528,0.44445342616136585,False
37,0.0622944735905522,0.23594939866217687,2.9692603993705714e+28,344,-0.32584228720872876,0.4504312343898331,False
38,0.01589286878395686,0.24876182582623152,1.7203333625088166e+29,343,-0.393320334700194,0.4251060722681077,False
39,-0.004556448631080142,0.2732784916773562,2.839480422870079e+29,342,-0.45409956744033103,0.4449866701781708,False
40,-0.001564935429804696,0.3023903032908187,2.7762538069687047e+28,341,-0.4989969843432014,0.495867113483592,False
41,0.10610191142054201,0.30851112238836925,2.678451333585549e+28,340,-0.4013988849083254,0.6136027077494095,False
42,0.18943432572099853,0.2954904920637352,1.5993573739771081e+28,339,-0.2966475337238459,0.6755161851658429,False
43,0.16148086856361976,0.24961549565853527,5.217221509375701e+28,338,-0.24913662179467078,0.5720983589219103,False
44,0.1387790957947026,0.22966897346759182,1.690713867068298e+29,337,-0.23902636555948598,0.5165845571488912,False
45,0.1055376200974879,0.1892685774679309,8.313203211044446e+27,336,-0.20580918983725843,0.41688443003223424,False
46,0.08645130190280514,0.16459626264494182,2.2837339876074466e+28,335,-0.18430955014812417,0.35721215395373446,False
47,0.19742516195762683,0.1486012375049986,9.03632225229685e+27,334,-0.047023873738095856,0.4418741976533495,False
48,0.21193413077587725,0.14652194318355594,1.0410664243294673e+28,333,-0.029094465761072275,0.4529627273128268,False
