h,beta,se_beta,gamma,se_gamma,gamma_lo90,gamma_hi90,gamma_p
0,-0.01890268661992108,0.029324674595382953,-0.014082526728259173,0.009528739032111716,-0.029757302436082947,0.0015922489795646005,0.13943445327175708
1,-0.0416171126556958,0.04709253505581674,-0.04243535925690723,0.016477302161328023,-0.06954052131229183,-0.015330197201522632,0.010012922400129076
2,-0.06409085655339486,0.05108017851414447,-0.06776463520925968,0.01930304918852362,-0.09951815112438103,-0.036011119294138326,0.00044715317670718235
3,-0.08033954497211807,0.05734490564843399,-0.08793320258392093,0.021818463933702285,-0.1238245757548612,-0.05204182941298067,5.572475042181502e-05
4,-0.07985854033193475,0.06325347643180748,-0.09142801368759657,0.02176635493296746,-0.12723366755232804,-0.0556223598228651,2.664105041194631e-05
5,-0.09385143792638646,0.0712052807577301,-0.08252352568695677,0.023636019572536898,-0.12140477788377996,-0.043642273490133575,0.0004804409815950539
6,-0.13876885304432018,0.07076376267700625,-0.07870982083506049,0.02236799253055305,-0.11550516854782025,-0.041914473122300726,0.0004334063288882195
7,-0.09076611648761942,0.07501527597418009,-0.09660056822361131,0.023140242654307315,-0.13466626738994686,-0.05853486905727577,2.9854910545079605e-05
8,-0.021519243471373753,0.08516376830410646,-0.1118231549237175,0.02515963485155851,-0.15321075425453123,-0.07043555559290375,8.807765429441616e-06
9,0.002786885752095607,0.08604082113993301,-0.1337350759761611,0.024506495835461703,-0.1740482616254956,-0.0934218903268266,4.838984923871692e-08
10,0.007349055579890851,0.08603055862340966,-0.14469858090893492,0.025531550304443193,-0.18669798115974398,-0.10269918065812586,1.4494508260298744e-08
11,0.06736071010887623,0.09130297683130653,-0.14153889996802638,0.027299718523837984,-0.18644693693973985,-0.09663086299631289,2.164458159370497e-07
12,0.02875298349507291,0.08709459825321986,-0.12377610029190386,0.029361047554212066,-0.17207502351858273,-0.07547717706522501,2.490522554299268e-05
13,0.01441164272729633,0.09341452275158327,-0.08899286560018851,0.03171897681290526,-0.14117058245741768,-0.03681514874295936,0.0050212657035075825
14,-0.04080118026492818,0.10003279803584886,-0.05977669953471364,0.0321384220691996,-0.11264440383854697,-0.006908995230880302,0.06288889600629921
15,-0.013055407574894443,0.10092686510180496,-0.03048387003324604,0.03232753679498449,-0.08366266806099554,0.02269492799450345,0.3456966805823194
16,-0.05296756384689266,0.09931918458411307,-0.025647548418048643,0.03236724182513844,-0.07889166122040138,0.027596564384304093,0.4281320537837603
17,-0.04321042865318439,0.09100940277213808,-0.04057232649505211,0.0313869709451366,-0.09220389369980181,0.011059240709697597,0.1961325956174409
18,0.037733726001586865,0.08742763274533091,-0.024253516219099894,0.031117306330452364,-0.07544148513269403,0.026934452694494244,0.43573111009967125
19,0.09507720745345351,0.08636287951669594,0.0010853442490297016,0.0294889068463854,-0.047423907513274285,0.04959459601133369,0.9706403512538089
20,0.09070037259230034,0.0926855834167814,0.029426729509421545,0.029565258369487493,-0.019208120508385385,0.07806157952722848,0.3195833415530229
21,0.0759488208831816,0.09926966739015051,0.06726536854879014,0.031385981439738794,0.01563542908041983,0.11889530801716046,0.032099770701892405
22,0.03030807082429854,0.09942234673052516,0.11197052486390771,0.03804769265903619,0.04938207043979319,0.17455897928802222,0.0032515425427599443
23,-0.0061396349401479765,0.10343030074065114,0.14765980363572379,0.03816737392444248,0.08487447353001591,0.21044513374143164,0.00010939737055437604
24,0.0652040451908873,0.10010394364748577,0.13733080547973037,0.03959029165672297,0.07220477570442109,0.20245683525503966,0.0005227883931253618
25,0.12846676047380753,0.11631148806798745,0.12266860541646574,0.03582259023291479,0.0637404444833209,0.18159676634961058,0.0006163024317358268
26,0.09339144711530711,0.09258546085686956,0.11367595236239188,0.03460006327513814,0.056758848274789636,0.17059305644999412,0.0010182823546103226
27,0.14379797091681373,0.09115565010451761,0.10367748582923818,0.03616683985627418,0.044183034265667144,0.16317193739280922,0.004148482444076951
28,0.1494673289839158,0.09383503670956146,0.0903354402096009,0.03597944045980789,0.031149260653216916,0.14952161976598488,0.012047441299242845
29,0.13284988216818364,0.09383526193323398,0.10663077153317407,0.034387395957120544,0.05006350518371078,0.16319803788263737,0.001929543647101406
30,0.10001545206029894,0.10381201516609706,0.09727276445897183,0.033870721227089166,0.04155542804041015,0.1529901008775335,0.004080333960740257
31,0.09665019952437555,0.11658744029244505,0.08275610876669527,0.03402295477937522,0.02678834815462304,0.13872386937876752,0.015000747421808347
32,0.16612186356267378,0.09824939825191299,0.06118302643864057,0.03402407789838935,0.005213418295790091,0.11715263458149106,0.07214099174255284
33,0.2031065518952455,0.09244206012875468,0.03925268896307076,0.03490462017246591,-0.018165411220635655,0.09667078914677718,0.26077128915743186
34,0.2333493600547658,0.09918473324574693,0.017535215952525218,0.034647310624595494,-0.03945961002493437,0.0745300419299848,0.6127821544146808
35,0.20969293806189657,0.0967993288868797,-0.0014945561177391875,0.03298067834151397,-0.05574777198952967,0.05275865975405129,0.9638553450111411
