h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.024225091158618213,0.028152222142050008,382,-0.07053549658229047,0.02208531426505405,-0.07940344655703623,0.0309532642397998
1,-0.058527197542211105,0.04577035112508462,381,-0.1338194251429753,0.016765030058553086,-0.14823708574737696,0.03118269066295474
2,-0.09251245734692443,0.050465755137281104,380,-0.17552862454775184,-0.009496290146097014,-0.19142533741599538,0.00640042272214654
3,-0.10610111753626564,0.05435008147371859,379,-0.19550700156053272,-0.01669523351199856,-0.21262727722475405,0.0004250421522227904
4,-0.11426163845168336,0.05619421162274757,378,-0.20670111657110313,-0.0218221603322636,-0.2244022932322686,-0.004120983671098116
5,-0.12716450397626816,0.06695612241428398,377,-0.2373073253477653,-0.01702168260477102,-0.25839850390826474,0.004069495955728419
6,-0.1631272887523095,0.06834680220496732,376,-0.27555777837948076,-0.05069679912513826,-0.29708702107404544,-0.02916755643057356
7,-0.1274720147768463,0.07087933480509935,375,-0.24406852053123473,-0.010875509022457874,-0.26639551099484104,0.011451481441148409
8,-0.06587857485304426,0.08065444331562441,374,-0.1985551341072464,0.0667979844011579,-0.22396128375166807,0.09220413404557957
9,-0.05083628905403552,0.08279719360102951,373,-0.18703767252772907,0.08536509441965802,-0.21311878851205335,0.11144621040398232
10,-0.048943584660782996,0.08285612351188312,372,-0.18524190783783073,0.08735473851626474,-0.2113415867440739,0.11345441742250792
11,0.006572421021201235,0.08380033865815116,371,-0.13127913607145744,0.1444239781138599,-0.15767624274877504,0.1708210847911775
12,-0.022936898517657216,0.08195647212020551,370,-0.15775529515539527,0.11188149812008084,-0.18357158387326,0.1376977868379456
13,-0.03108233690093772,0.08670614037430226,369,-0.17371393781666494,0.1115492640147895,-0.20102637203457016,0.1388616982326947
14,-0.06837229221963577,0.09572405339919532,368,-0.22583836006131208,0.08909377562204053,-0.2559914368820586,0.11924685244278706
15,-0.03203206924394215,0.09480567879085172,367,-0.18798741085489323,0.12392327236700895,-0.2178511996740115,0.15378706118612723
16,-0.06318058874105698,0.09579429596065646,366,-0.22076220559633686,0.0944010281142229,-0.25093740882394366,0.12457623134182969
17,-0.04973911889298117,0.0880290924857677,365,-0.19454697603206902,0.0950687382461067,-0.22227614016508584,0.12279790237912352
18,0.03347020200243425,0.08160161909138411,364,-0.10076446140289261,0.1677048654077611,-0.1264689714166786,0.1934093754215471
19,0.0939017129444976,0.08055470381621484,363,-0.03861077483317581,0.226414200722171,-0.06398550653528347,0.2517889324242787
20,0.09686482014170789,0.08560046951810696,362,-0.04394795221557807,0.23767759249899384,-0.07091210011378174,0.2646417403971975
21,0.09366364722328996,0.09055331987478449,361,-0.05529656397073052,0.24262385841731043,-0.08382085973128764,0.27114815417786753
22,0.07013406538535184,0.09529381352838077,360,-0.08662425786883453,0.2268923886395382,-0.11664180913027448,0.25690993990097816
23,0.06721147355222463,0.10060915149630725,359,-0.09829058065920081,0.23271352776365006,-0.1299824633805376,0.26440541048498684
24,0.12565729901033384,0.09171912825757962,358,-0.025220666973384626,0.27653526499405234,-0.05411219237452222,0.30542679039518994
25,0.18002740515729102,0.10357042642236905,357,0.009654053692493919,0.35040075662208814,-0.022970630630552324,0.38302544094513435
26,0.14741535442458487,0.08479469608482143,356,0.007928079365053603,0.28690262948411616,-0.018782249901665132,0.31361295875083484
27,0.18982503930713496,0.08343659289894884,355,0.05257184398836412,0.3270782346259058,0.02628931722519523,0.3533607613890747
28,0.19028171632397203,0.08399988329203005,354,0.052101908308582606,0.3284615243393615,0.025641945071593147,0.3549214875763509
29,0.18735056915620465,0.08645482351807669,353,0.0451323844689685,0.3295687538434408,0.01789911506077435,0.35680202325163496
30,0.15579393779206532,0.0951265137133988,352,-0.0006891772664756879,0.31227705285060636,-0.0306540290861963,0.34224190467032695
31,0.1493808531189164,0.10933384787793214,351,-0.03047332664028196,0.3292350328781148,-0.06491348872183059,0.3636751949596634
32,0.20741401865902767,0.09148374039237185,350,0.05692326571357598,0.35790477160447937,0.02810588748997886,0.3867221498280765
33,0.23501069354700377,0.08562129428508568,349,0.09416366444803784,0.3758577226459697,0.06719295674823583,0.4028284303457717
34,0.25100446452982267,0.08888355089597369,348,0.10479102330594595,0.3972179057536994,0.07679270477371425,0.4252162242859311
35,0.2197939523616571,0.09037708564921204,347,0.07112364646870331,0.36846425825461093,0.0426548644892015,0.3969330402341127
36,0.1285812241543462,0.08462195795451011,346,-0.010621896680822945,0.2677843449895153,-0.03727781343649361,0.294440261745186
37,0.14097148889842862,0.08306603931110793,345,0.004327854231656075,0.2776151235652011,-0.021837948151342906,0.30378092594820016
38,0.10913985417390752,0.085193965643371,344,-0.031004219309437794,0.24928392765725282,-0.057840318487099654,0.2761200268349147
39,0.11246975420229748,0.0948177538679909,343,-0.04350545091054757,0.2684449593151425,-0.0733730433789647,0.29831255178355964
40,0.06785326544426049,0.09637196066666187,342,-0.09067860985239828,0.22638514074091926,-0.12103577746239677,0.2567423083509177
41,0.012927968938033451,0.09656702460611859,341,-0.14592478653903163,0.1717807244150985,-0.17634339928995899,0.20219933716602587
42,0.04759683367920138,0.09610265485857686,340,-0.11049203356315755,0.2056857009215603,-0.14076436984360924,0.23595803720201203
43,0.051526430464524584,0.08902206570098956,339,-0.09491486761360322,0.19796772854265238,-0.12295681830941495,0.2260096792384641
44,0.06971261724334848,0.0860448008401641,338,-0.07183108013872144,0.2112563146254184,-0.09893519240337315,0.23836042689007012
45,0.045135323614292934,0.08799510517903586,337,-0.09961662440522107,0.18988727163380692,-0.12733508253661735,0.2176057297652032
46,0.034952158759781124,0.08401650594557729,336,-0.10325499352069352,0.17315931104025578,-0.12972019289355036,0.19962451041311263
47,0.04551813646265747,0.0903191478688167,335,-0.10305686178154601,0.19409313470686096,-0.13150739336022327,0.22254366628553818
48,0.001384856644621195,0.1014381397550907,334,-0.16548088325250299,0.1682505965417454,-0.19743389727535654,0.20020361056459895
