h,coef,se,n,lo90,hi90
0,,,3080,,
1,,,3072,,
2,,,3064,,
3,,,3056,,
4,,,3048,,
5,,,3040,,
6,,,3032,,
7,,,3024,,
8,,,3016,,
9,,,3008,,
10,,,3000,,
11,,,2992,,
12,,,2984,,
13,,,2976,,
14,,,2968,,
15,,,2960,,
16,,,2952,,
17,,,2944,,
18,,,2936,,
19,,,2928,,
20,,,2920,,
21,,,2912,,
22,,,2904,,
23,,,2896,,
24,,,2888,,
25,,,2880,,
26,,,2872,,
27,,,2864,,
28,,,2856,,
29,,,2848,,
30,,,2840,,
31,,,2832,,
32,,,2824,,
33,,,2816,,
34,,,2808,,
35,,,2800,,
36,,,2792,,
37,,,2784,,
38,,,2776,,
39,,,2768,,
40,,,2760,,
41,,,2752,,
42,,,2744,,
43,,,2736,,
44,,,2728,,
45,,,2720,,
46,,,2712,,
47,,,2704,,
48,,,2696,,
