h,coef,se,n,lo90,hi90
0,0.0005054610763017419,0.004380677812618046,3056,-0.006700753925454944,0.007711676078058428
1,-0.0044180084725540065,0.006758670332778935,3048,-0.015536021169975354,0.006700004224867342
2,0.005582853934744496,0.009070506533227145,3040,-0.00933812931241416,0.02050383718190315
3,-0.009710462765445094,0.008363069089295369,3032,-0.023467711417335974,0.004046785886445787
4,0.007388210314681958,0.007261413609147536,3024,-0.004556815072365738,0.019333235701729654
5,0.0013384098203041575,0.009395659459124411,3016,-0.0141174499899555,0.016794269630563814
6,0.012400070775807254,0.008091717202132198,3008,-0.0009108040217002122,0.02571094557331472
7,0.001123892771764135,0.010380358656442169,3000,-0.015951797218083232,0.018199582761611505
8,-0.002465986356683585,0.007334544181684414,2992,-0.014531311535554446,0.009599338822187276
9,0.0038436685492961612,0.00532994766152816,2984,-0.0049240953539176615,0.012611432452509983
10,0.005963867132423265,0.0074530966773067725,2976,-0.006296476901746375,0.018224211166592907
11,-0.006805563330385397,0.008850452726955027,2968,-0.02136455806622642,0.007753431405455624
12,0.003661862011625786,0.012051663722414372,2960,-0.016163124811745855,0.023486848834997427
13,-0.008006426340904009,0.008707920595784563,2952,-0.022330955720969617,0.006318103039161598
14,-0.006905330355557163,0.009422402344688795,2944,-0.022405182212570228,0.008594521501455904
15,-0.0036661794035302555,0.00840932318602365,2936,-0.01749951604453916,0.010167157237478647
16,0.005370805292444414,0.006355908527534467,2928,-0.005084664235349785,0.015826274820238614
17,0.004798202016927134,0.006684061141530154,2920,-0.006197078560889969,0.015793482594744238
18,-0.005563003214895161,0.00883637642587904,2912,-0.020098842435466183,0.00897283600567586
19,0.004891772609831877,0.007404514383372564,2904,-0.007288653550815991,0.017072198770479746
20,-0.0020248681637081043,0.00670061924452652,2896,-0.01304738682095423,0.008997650493538022
21,-0.00448804700549627,0.007914904050849571,2888,-0.017508064169143814,0.008531970158151275
22,0.005236741868699019,0.0065654213916976475,2880,-0.0055633763206436124,0.016036860058041648
23,-0.00039489586220921833,0.005375993778691011,2872,-0.009238405628155932,0.008448613903737495
24,-0.00510191523404254,0.0056869342507712365,2864,-0.014456922076561223,0.004253091608476144
25,-0.004882901312158785,0.008142398437236952,2856,-0.01827714674141357,0.008511344117096
26,-0.008049964600616601,0.007978752696286175,2848,-0.02117501278600736,0.005075083584774157
27,0.00105605060888986,0.009274515524565674,2840,-0.014200527429020674,0.016312628646800394
28,-0.003991685934465663,0.013151651364814996,2832,-0.02562615242958633,0.017642780560655005
29,0.016639428316709545,0.012756282130650018,2824,-0.004344655788209733,0.03762351242162883
30,4.304924020640438e-05,0.008183911805936904,2816,-0.013419485680559803,0.013505584160972613
31,-0.011663084915560631,0.009403865291480013,2808,-0.027132443320045253,0.0038062734889239905
32,0.003414199128764197,0.007402900672349254,2800,-0.008763572477250327,0.01559197073477872
33,-0.00176040570041609,0.007133222181892059,2792,-0.013494556189628528,0.009973744788796349
34,-0.0004073943564697215,0.0069962824077528865,2784,-0.01191627891722322,0.011101490204283776
35,-0.0004286816139970634,0.009277517061599674,2776,-0.015690197180328526,0.0148328339523344
36,-0.006597345501090427,0.00762405117502311,2768,-0.019138909684003443,0.005944218681822589
37,-0.007810348768174136,0.00790833371945278,2760,-0.02081955773667396,0.005198860200325687
38,-0.0057857083808502815,0.006194293566293812,2752,-0.015975321297403602,0.00440390453570304
39,0.0018458163604399775,0.006021740552444874,2744,-0.00805994684833184,0.011751579569211794
40,0.00243358292796318,0.007199134572778084,2736,-0.009408993444256768,0.014276159300183128
41,-0.006124434130744635,0.008187879349249144,2728,-0.019593495660259475,0.0073446273987702055
42,-0.007482482960468642,0.007651962872268194,2720,-0.020069961885349822,0.005104995964412538
43,-0.004098086368763011,0.010373046152142728,2712,-0.0211617472890378,0.012965574551511778
44,0.008982805100311691,0.008753280746964047,2704,-0.005416341728444166,0.02338195192906755
45,0.005505397056547199,0.0055968541709301945,2696,-0.0037014280546329706,0.014712222167727367
46,-0.01214629989216838,0.006442598402596581,2688,-0.022744374264439756,-0.0015482255198970042
47,-0.0022889550023585787,0.007266454721068391,2680,-0.014242273018516083,0.009664363013798924
48,-0.0005297855703695468,0.005522615462068865,2672,-0.00961448800547283,0.008554916864733737
