h,coef_lin,se_lin,n,F
0,-0.015366446809346295,0.02108264112376525,4584,309.39290429991365
1,-0.0439477026816557,0.034346045773246826,4572,309.5518154571267
2,-0.06415623816154745,0.04404622146908417,4560,309.5648459403877
3,-0.08915952491525755,0.05000082533091075,4548,320.6678811373764
4,-0.10068155801614605,0.0504953448264083,4536,321.1261170531482
5,-0.11501957798908553,0.051549280651920666,4524,319.9606979566348
6,-0.12132396256962776,0.05331960414500108,4512,316.70523129231645
7,-0.11801525612276163,0.058090523643188986,4500,316.817213689204
8,-0.10539883789010109,0.06504451227873995,4488,316.2540205273574
9,-0.09706704631750625,0.06685294513980787,4476,314.08657839345443
10,-0.09948515190277572,0.06695344375786572,4464,312.7140115762351
11,-0.08681075110067316,0.0654549346070813,4452,311.95306456748
12,-0.10118639497844024,0.065137875104627,4440,307.5119434206152
13,-0.12114355850509878,0.06940232203913581,4428,306.34196760638804
14,-0.14993297440181125,0.07115924634802971,4416,305.4411047419653
15,-0.14061747980121392,0.07267546652107658,4404,305.38166198134866
16,-0.14752496864952844,0.07281569017133145,4392,304.74619556842214
17,-0.1306342895768797,0.07004267370046974,4380,304.49698192497743
18,-0.11770231827821467,0.06913278458827796,4368,303.94552360552245
19,-0.09030904644733768,0.06910161201010225,4356,304.2441828566699
20,-0.0777950511578369,0.07106819168946002,4344,303.9708212409776
21,-0.06568594326036009,0.0732068341706687,4332,303.5079619690028
22,-0.024909297813050426,0.0788009846147451,4320,302.97902135392843
23,-0.01819495977191307,0.08688186222965517,4308,302.3812272777514
24,-0.013818152880990114,0.08526354820559741,4296,302.35380488703447
25,0.01664847081539088,0.08509708025931459,4284,302.35924357291196
26,0.017759530392874374,0.07188215773373316,4272,301.65247032974065
27,0.06545306290465835,0.06895044985543522,4260,301.19951383925644
28,0.1017191463913269,0.06916755297682298,4248,298.80317121383916
29,0.12778952690188908,0.07394280032104006,4236,298.24514165961926
30,0.11928124770417632,0.07371685489259634,4224,298.07748065968525
31,0.14750595786236229,0.07565165991622515,4212,297.91326917621814
32,0.17977863433290708,0.06915619768728425,4200,297.0852903494867
33,0.18652978706288537,0.07069347287880944,4188,297.0495736463013
34,0.18570412893872695,0.07308201483610283,4176,296.7860478203891
35,0.1917023958973498,0.07577335137465237,4164,296.73777707676874
36,0.16414904804675676,0.07846700107874484,4152,296.16546657236313
37,0.17299368652625655,0.0769232563967404,4140,296.1325791725384
38,0.14990519801724314,0.07716861501385627,4128,295.91832325031186
39,0.14181996587213005,0.083331433814836,4116,295.93024955177447
40,0.11503112971276287,0.0951382000797136,4104,295.9379820752612
41,0.10463836792900036,0.10533077978322784,4092,295.63265739520455
42,0.13879730050075145,0.10441987907400126,4080,294.74698406758677
43,0.1291714527288603,0.09269302744998394,4068,294.3757059959951
44,0.12395799403127974,0.08843506267517652,4056,293.68247941505217
45,0.10841725805565293,0.08373207086896826,4044,293.5367131795703
46,0.10296847855127823,0.0798711595692243,4032,299.5781040540209
47,0.1347959443799501,0.08382555925705616,4020,298.86681038107656
48,0.12021782575378864,0.08961602669218298,4008,293.1561389868228
