h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
0,,,4584,,,,,
1,,,4572,,,,,
2,,,4560,,,,,
3,,,4548,,,,,
4,,,4536,,,,,
5,,,4524,,,,,
6,,,4512,,,,,
7,,,4500,,,,,
8,,,4488,,,,,
9,,,4476,,,,,
10,,,4464,,,,,
11,,,4452,,,,,
12,,,4440,,,,,
13,,,4428,,,,,
14,,,4416,,,,,
15,,,4404,,,,,
16,,,4392,,,,,
17,,,4380,,,,,
18,,,4368,,,,,
19,,,4356,,,,,
20,,,4344,,,,,
21,,,4332,,,,,
22,,,4320,,,,,
23,,,4308,,,,,
24,,,4296,,,,,
25,,,4284,,,,,
26,,,4272,,,,,
27,,,4260,,,,,
28,,,4248,,,,,
29,,,4236,,,,,
30,,,4224,,,,,
31,,,4212,,,,,
32,,,4200,,,,,
33,,,4188,,,,,
34,,,4176,,,,,
35,,,4164,,,,,
36,,,4152,,,,,
37,,,4140,,,,,
38,,,4128,,,,,
39,,,4116,,,,,
40,,,4104,,,,,
41,,,4092,,,,,
42,,,4080,,,,,
43,,,4068,,,,,
44,,,4056,,,,,
45,,,4044,,,,,
46,,,4032,,,,,
47,,,4020,,,,,
48,,,4008,,,,,
