h,coef,se,n,F,lo90,hi90
0,-0.014026039171177729,0.02340146401690375,764,212.2782065694992,-0.0525214474789844,0.024469369136628942
1,-0.04558362830602647,0.036137520038462746,762,212.44293340160567,-0.10502984876929769,0.013862592157244752
2,-0.07014781102550671,0.046525388648615384,760,212.71215734409674,-0.146682075352479,0.006386453301465603
3,-0.08592232063865879,0.053480754013528364,758,222.2014319982972,-0.17389816099091293,0.002053519713595367
4,-0.0938498944593249,0.05572147587295624,756,223.82862624618434,-0.1855117222703379,-0.002188066648311879
5,-0.11930696232015947,0.05921385018728419,754,223.79208291221784,-0.21671374587824196,-0.021900178762076977
6,-0.12668609431322864,0.06154019077402354,752,224.0715760096436,-0.22791970813649737,-0.025452480489959906
7,-0.10981807973539048,0.06736686911126846,750,224.12580659962128,-0.22063657942342713,0.001000419952646145
8,-0.10411321976228294,0.07592623152863925,748,224.1797655029852,-0.22901187062689451,0.02078543110232864
9,-0.10381431387713036,0.0775000974143436,746,224.02694431753216,-0.23130197412372558,0.02367334636946486
10,-0.102868699787237,0.07692952831218121,744,223.9319719561063,-0.22941777386077508,0.02368037428630107
11,-0.08118213767023263,0.07480645191422113,742,223.72488948885555,-0.20423875106912637,0.04187447572866111
12,-0.09562454400433751,0.07387238546644315,740,222.10734002609328,-0.2171446180966365,0.02589553008796147
13,-0.11808512970025475,0.07872835542299235,738,221.88901946315502,-0.24759327437107717,0.011423014970567663
14,-0.14655867325799932,0.08033766460548691,736,221.73465395721558,-0.2787141315340253,-0.014403214981973333
15,-0.12778266988367903,0.08147168450829038,734,221.70893664501733,-0.26180359089981675,0.006238251132458655
16,-0.13581182449148343,0.08147004129878417,732,221.68016623570318,-0.26983004242798336,-0.001793606554983479
17,-0.11518595980936652,0.07877845755312018,730,221.54638025419902,-0.24477652248424922,0.014404602865516175
18,-0.08820566447916178,0.07873835344803158,728,221.35911274124874,-0.21773025590117373,0.041318926942850165
19,-0.055430123082579996,0.07788906664112208,726,221.6027261506883,-0.18355763770722583,0.07269739154206584
20,-0.04752144488966081,0.08058298210664454,724,225.79584646443354,-0.18008045045509108,0.08503756067576945
21,-0.03591829984536332,0.08328370426577725,722,226.53174636869358,-0.1729199933625669,0.10108339367184024
22,0.0020738181075543594,0.09087611928622125,720,227.21368440285178,-0.14741739811827959,0.1515650343333883
23,0.0057419241561689205,0.10193477263051219,718,227.04172135775036,-0.16194077682102365,0.1734246251333615
24,0.022964502689141852,0.10194079603687399,716,227.03441260261633,-0.14472810679151588,0.19065711216979958
25,0.06277754277132885,0.10175480108654537,714,227.24826985420916,-0.10460910501603829,0.230164190558696
26,0.06221836385446977,0.08388697041979981,712,226.7411412686084,-0.07577570248610091,0.20021243019504045
27,0.11347921900693336,0.08087631327615549,710,226.51581314422265,-0.019562316332342428,0.24652075434620915
28,0.14874962202081576,0.0814401707499259,708,223.58604752434553,0.014780541137187658,0.2827187029044439
29,0.16955281961489277,0.08746224057549873,706,223.21438448414983,0.025677433868197347,0.3134282053615882
30,0.1436058364008801,0.08774786815541917,704,223.04166612990647,-0.0007394067147844519,0.28795107951654464
31,0.15970274465539092,0.09150739418704787,702,223.26698989667082,0.009173081217697165,0.31023240809308467
32,0.19224916223951993,0.0816856955918841,700,222.53900264707133,0.0578761929908706,0.32662213148816927
33,0.19781762639046008,0.08178439531489741,698,222.55080964606643,0.06328229609745384,0.3323529566834663
34,0.1947373582702312,0.08587764877567515,696,222.6789477097658,0.05346862603424557,0.3360060905062168
35,0.20300321296906532,0.08930357706977218,694,223.01049559672998,0.05609882868929009,0.3499075972488406
36,0.165159589927228,0.09509571547674978,692,223.2358881857961,0.00872713796797464,0.3215920418864814
37,0.17587042346910664,0.09172808185062392,690,223.20488254923305,0.024977728824830292,0.326763118113383
38,0.14702814906290484,0.09163703378940422,688,223.11976548172527,-0.0037147715206651,0.2977710696464748
39,0.14110953487399058,0.09973653231851233,686,223.17220378534253,-0.022957060789962208,0.30517613053794335
40,0.11841915189179986,0.11356019879387834,684,223.68053461400578,-0.06838737512413001,0.3052256789077297
41,0.12224860936998994,0.12419074701309114,682,223.7419710695353,-0.082045169466545,0.32654238820652487
42,0.17506775973490107,0.12092226644153155,680,222.9801162242066,-0.023849368561418338,0.3739848880312205
43,0.17716039116405113,0.10602789440118862,678,222.6973997523201,0.00274450487409586,0.35157627745400644
44,0.17516496461310282,0.1017493603891963,676,222.30799788269636,0.007787266772874918,0.34254266245333076
45,0.15622308993162903,0.09698195847212965,674,222.68096331749283,-0.0033122317550242364,0.31575841161828233
46,0.13899947439716698,0.09225263820296074,672,229.4576792087962,-0.012756115446703437,0.29075506424103736
47,0.18301689297757662,0.09589646347940117,670,229.00636217835913,0.025267210553961694,0.34076657540119154
48,0.1648350944499697,0.10348992090049863,668,224.02637995224066,-0.005405825431350569,0.33507601433129
