h,q,coef,n_obs
0,0.1,-0.023470621807570438,382
1,0.1,-0.014021658566818784,381
2,0.1,-0.017958344438213734,380
3,0.1,-0.05055753683293388,379
4,0.1,-0.04084424469859615,378
5,0.1,-0.03612846976529896,377
6,0.1,-0.02713658268975972,376
7,0.1,-0.010978299884409359,375
8,0.1,0.002757548105604296,374
9,0.1,0.002768309287503214,373
10,0.1,-0.0038250564477425105,372
11,0.1,-0.001903200857022329,371
12,0.1,0.001092811543582084,370
13,0.1,0.005986016659906971,369
14,0.1,0.0013578019548531723,368
15,0.1,-0.00013197971566195464,367
16,0.1,-0.00017578755508215147,366
17,0.1,-0.00010284546167885798,365
18,0.1,0.0019727330617209183,364
19,0.1,-0.0007946136486742496,363
20,0.1,0.006915981267206454,362
21,0.1,0.010750518523151495,361
22,0.1,0.008364282701387615,360
23,0.1,0.004033971706455361,359
24,0.1,0.008633609784557444,358
25,0.1,0.0029811235736156194,357
26,0.1,-0.003923387869334269,356
27,0.1,-0.006922342471490044,355
28,0.1,-0.012445765259061646,354
29,0.1,-0.011338606405522348,353
30,0.1,-0.015318428075458366,352
31,0.1,0.008059383389246881,351
32,0.1,0.011360929582925646,350
33,0.1,0.013175021057635752,349
34,0.1,0.008611354374451683,348
35,0.1,0.0040890147641352344,347
36,0.1,0.007929620854608695,346
37,0.1,-0.00930909816045051,345
38,0.1,-0.018644707792941317,344
39,0.1,-0.0417997212766284,343
40,0.1,-0.042072955072887684,342
41,0.1,-0.03868251574564688,341
42,0.1,-0.03891103567188055,340
43,0.1,-0.027527023849845893,339
44,0.1,-0.011051395744515271,338
45,0.1,-0.009763624551741481,337
46,0.1,-0.017490492321495906,336
47,0.1,-0.015652133493676976,335
48,0.1,-0.015128019622151288,334
0,0.5,-0.010924803305335408,382
1,0.5,-0.019402965012004378,381
2,0.5,-0.021292690864219702,380
3,0.5,-0.011668262435272251,379
4,0.5,-0.005284008370515557,378
5,0.5,-0.006776348064987894,377
6,0.5,-0.0030881298735613866,376
7,0.5,0.005457038679032768,375
8,0.5,0.01867741562482062,374
9,0.5,0.018275888688366985,373
10,0.5,0.011140409162063832,372
11,0.5,0.018041142594789075,371
12,0.5,0.006578422471281699,370
13,0.5,0.0062723318763269875,369
14,0.5,0.00923758008759757,368
15,0.5,0.007547638482173164,367
16,0.5,0.004911700044337821,366
17,0.5,0.005872701397508847,365
18,0.5,0.005398791589127905,364
19,0.5,0.006475093790532322,363
20,0.5,0.001850755047348455,362
21,0.5,0.0045769729970004044,361
22,0.5,0.007107606184261864,360
23,0.5,0.002237905644967025,359
24,0.5,0.0030324592119404027,358
25,0.5,-0.0014833988213247035,357
26,0.5,-0.01068842998918709,356
27,0.5,-0.0031935539675525463,355
28,0.5,0.014083451215429458,354
29,0.5,0.0006764971995880007,353
30,0.5,-0.012004445487754199,352
31,0.5,-0.014951277236826096,351
32,0.5,-0.017575813537807874,350
33,0.5,-0.005452403876401957,349
34,0.5,-0.010181793038309914,348
35,0.5,-0.0190830887882637,347
36,0.5,-0.0189963380210342,346
37,0.5,-0.022070341959753815,345
38,0.5,-0.022391394364089736,344
39,0.5,-0.022383387475820585,343
40,0.5,-0.021544491224533162,342
41,0.5,-0.018559544873789396,341
42,0.5,-0.014444525882207546,340
43,0.5,-0.029683929205880775,339
44,0.5,0.00037649621503350563,338
45,0.5,-0.019838658356555062,337
46,0.5,-0.009993234005611435,336
47,0.5,0.00787832414604963,335
48,0.5,0.004383577825013083,334
0,0.9,-0.0006970076239690295,382
1,0.9,-0.0010896302683905859,381
2,0.9,0.0009200376890997533,380
3,0.9,-0.001821143539600618,379
4,0.9,4.5162448362289854e-05,378
5,0.9,-0.000568034439425688,377
6,0.9,0.007396358289968509,376
7,0.9,-0.0010049243338404327,375
8,0.9,0.00902796988597299,374
9,0.9,0.007658442546124933,373
10,0.9,0.0005979303063521579,372
11,0.9,0.006766413657461418,371
12,0.9,0.00849367614505434,370
13,0.9,0.009188956421486566,369
14,0.9,0.01369385738457441,368
15,0.9,0.0169112556020076,367
16,0.9,0.0051493293964749625,366
17,0.9,0.018274101915968385,365
18,0.9,0.017623660127047476,364
19,0.9,0.02551232710581054,363
20,0.9,0.02517025889242768,362
21,0.9,0.03119397249695817,361
22,0.9,0.03482601719159066,360
23,0.9,0.020449569242420182,359
24,0.9,0.01654452837086688,358
25,0.9,0.01648125861089915,357
26,0.9,0.013353735562891279,356
27,0.9,0.014524441827608727,355
28,0.9,0.020128785492212368,354
29,0.9,0.014268075640713843,353
30,0.9,-0.007074470358903214,352
31,0.9,-0.000801998418879368,351
32,0.9,0.005276005707155725,350
33,0.9,0.0027863308213907844,349
34,0.9,0.005321179578642824,348
35,0.9,0.0005302775977794836,347
36,0.9,0.003570552495889091,346
37,0.9,0.0043123642001325025,345
38,0.9,0.00149594835567579,344
39,0.9,0.0012348264023915392,343
40,0.9,-0.00021328026201005286,342
41,0.9,0.0039149977395200345,341
42,0.9,0.010846360171092476,340
43,0.9,0.016013379179935488,339
44,0.9,0.008687393614055964,338
45,0.9,0.021031122912295874,337
46,0.9,0.007111717220766613,336
47,0.9,0.017616932920907047,335
48,0.9,0.028586982217731056,334
