h,q,coef,n_obs
0,0.1,-0.023470621807570438,382
1,0.1,-0.014021658566818784,381
2,0.1,-0.017958344438213734,380
3,0.1,-0.05055753683293388,379
4,0.1,-0.04084424469859615,378
5,0.1,-0.03612846976529896,377
6,0.1,-0.02713658268975972,376
7,0.1,-0.010978299884409359,375
8,0.1,0.002757548105604296,374
9,0.1,0.002768309287503214,373
10,0.1,-0.0038250564477425105,372
11,0.1,-0.001903200857022329,371
12,0.1,0.001092811543582084,370
13,0.1,0.005986016659906971,369
14,0.1,0.0013578019548531723,368
15,0.1,-0.00013197971566195464,367
16,0.1,-0.00017578755508215147,366
17,0.1,-0.00010284546167885798,365
18,0.1,0.0019727330617209183,364
19,0.1,-0.0007946136486742496,363
20,0.1,0.006915981267206454,362
21,0.1,0.010750518523151495,361
22,0.1,0.008364282701387615,360
23,0.1,0.004033971706455361,359
24,0.1,0.008633609784557444,358
25,0.1,0.0029811235736156194,357
26,0.1,-0.003923387869334269,356
27,0.1,-0.006922342471490044,355
28,0.1,-0.012445765259061646,354
29,0.1,-0.011338606405522348,353
30,0.1,-0.015318428075458366,352
31,0.1,0.008059383389246881,351
32,0.1,0.011360929582925646,350
33,0.1,0.013175021057635752,349
34,0.1,0.008611354374451683,348
35,0.1,0.0040890147641352344,347
36,0.1,0.007929620854608695,346
37,0.1,-0.00930909816045051,345
38,0.1,-0.018644707792941317,344
39,0.1,-0.0417997212766284,343
40,0.1,-0.042072955072887684,342
41,0.1,-0.03868251574564688,341
42,0.1,-0.03891103567188055,340
43,0.1,-0.027527023849845893,339
44,0.1,-0.011051395744515271,338
45,0.1,-0.009763624551741481,337
46,0.1,-0.017490492321495906,336
47,0.1,-0.015652133493676976,335
48,0.1,-0.015128019622151288,334
