h,beta_L,beta_H,se_L,se_H,diff,se_diff,p_diff,n,beta_L_lo90,beta_L_hi90,beta_H_lo90,beta_H_hi90,diff_lo90,diff_hi90
0,370133.331993011,-0.12612436190872195,525370.364663659,0.1558802268729842,-370133.45811737294,525370.515969302,0.4811096840487885,382,-494100.91787870805,1234367.58186473,-0.38254733511478095,0.13029861129733705,-1234367.956886875,494101.040652129
1,471167.7246252578,-0.19004227837257548,876095.6168688163,0.2613769138244308,-471167.91466753616,876095.8714982553,0.5907123303007598,381,-970009.565123945,1912345.0143744606,-0.6200073016137642,0.23992274486861315,-1912345.6232821662,970009.7939470938
2,1074180.3620236423,-0.38542672697090796,1053205.754067312,0.2967487736922482,-1074180.7474503692,1053206.04197245,0.3077687266695839,380,-658343.103417086,2806703.8274643705,-0.8735784596946563,0.10272500575284038,-2806704.6864950494,658343.191594311
3,1490116.5002900467,-0.5252071910458694,1141289.9005927476,0.32640055454666694,-1490117.0254972377,1141290.2170094543,0.19167415632935825,379,-387305.38618502324,3367538.386765117,-1.0621361032751366,0.011721721183397649,-3367539.43247779,387305.38148331456
4,1437290.440489795,-0.5196497923143649,1002751.7590457177,0.2710437592417778,-1437290.9601395873,1002752.0195700557,0.15175887857926762,378,-212236.2031404106,3086817.0841200007,-0.9655167762670894,-0.07378280836164042,-3086818.032332329,212236.11205315427
5,1289586.155284292,-0.502406812530466,1134889.4682417605,0.3352962602319763,-1289586.6576911046,1134889.7923712928,0.2558268331765441,377,-577307.019973404,3156479.330541988,-1.0539691606120671,0.04915553555113494,-3156480.3661418813,577307.0507596722
6,1253867.0775347669,-0.5363367967081212,1113353.7060014834,0.32479367120556124,-1253867.6138715637,1113354.0191764466,0.26007771210650876,376,-577599.7688376734,3085333.9239072073,-1.0706223858412693,-0.002051207574972902,-3085334.9754168186,577599.747673691
7,947454.5975354337,-0.42192637836082414,1094311.898808657,0.2935497954394113,-947455.0194618121,1094312.1803414777,0.38660008290507597,375,-852688.476004807,2747597.6710756747,-0.9048157918586557,0.06096303513700746,-2747598.556123543,852688.5171999187
8,1478324.5341011393,-0.5054903904489916,1145884.9067642465,0.31171060704037473,-1478325.0395915296,1145885.2048661371,0.19701032400350016,374,-406656.13752604625,3363305.205728325,-1.018254339030408,0.007273558132424807,-3363306.2015963253,406656.122413266
9,1247548.277909746,-0.4461138287176074,1079782.9467976047,0.28081093154393594,-1247548.7240235747,1079783.213927726,0.24793909625185995,373,-528694.6695723138,3023791.2253918056,-0.908047811107382,0.015820153672167214,-3023792.110934684,528694.6628875346
10,1227234.7638088744,-0.44193759386682485,1130665.6080470234,0.3007142718333389,-1227235.2057464684,1130665.894414311,0.27774044310018886,372,-632710.161428479,3087179.689046228,-0.9366125710326674,0.052737383299017615,-3087180.60205801,632710.1905650734
11,1354064.8291840535,-0.4251965218596171,1289368.1058068825,0.3570621142303227,-1354065.2543805754,1289368.4473624257,0.2936366826995538,371,-766945.7048682682,3475075.363236375,-1.012563699768498,0.16217065604926373,-3475076.3502917658,766945.841530615
12,1203717.063833273,-0.420016647131121,1142937.5395921755,0.29416217597066485,-1203717.48384992,1142937.819021259,0.2922592119602241,370,-676415.1887958557,3083849.3164624018,-0.9039134266028648,0.06388013234062268,-3083850.196139891,676415.228440051
13,1060225.045877965,-0.3929534643569629,1137526.7578736297,0.2844576249828127,-1060225.4388314292,1137527.0272136105,0.3513136967117054,369,-811006.470824156,2931456.562580086,-0.8608862574536897,0.07497932873976398,-2931457.398597819,811006.5209349601
14,707832.7391827926,-0.34349537837917365,1258672.928889708,0.34583100134624484,-707833.082678171,1258673.2573274723,0.5738677412014321,368,-1362684.228840777,2778349.707206362,-0.9123873755937464,0.22539661883539908,-2778350.590981863,1362684.4256255212
15,632812.5996571486,-0.28966648812212076,1247499.2713638432,0.32231973542128156,-632812.8893236367,1247499.5759677032,0.6119688834192705,367,-1419323.7017363736,2684948.901050671,-0.819882452890129,0.24054947664588738,-2684949.6917905086,1419323.9131432353
16,475029.5923235818,-0.2827447359811249,1337812.736186978,0.32731389720622384,-475029.8750683178,1337813.0465636933,0.7225300969740602,366,-1725672.358703997,2675731.5433511604,-0.8211760968853632,0.2556866249231134,-2675732.336665593,1725672.5865289576
17,632099.4169207212,-0.31041611812189746,1443468.9306667927,0.3280446052935648,-632099.7273368393,1443469.246607344,0.6614564934057263,365,-1742406.9740261529,3006605.807867595,-0.8500494938298115,0.22921725758601658,-3006606.63800592,1742407.1833322416
18,960558.6029306483,-0.3023362779079708,1399490.7321326986,0.30962528551431656,-960558.9052669262,1399491.032237826,0.49248421156219435,364,-1341603.651427641,3262720.8572889376,-0.8116698725790216,0.20699731676307997,-3262721.65329815,1341603.8427642975
19,910815.0854673714,-0.21363692678952045,1371892.7677549755,0.3423127529263599,-910815.2991042982,1371893.0950813012,0.5067470970510737,363,-1345948.5174895634,3167578.688424306,-0.7767414053533825,0.3494675517743416,-3167579.440513039,1345948.8423044423
20,1099351.3930228006,-0.24503966110497505,1374863.7919187562,0.3337788008125384,-1099351.6380624617,1374864.110148644,0.42393824743632713,362,-1162299.5446835535,3361002.330729155,-0.7941057884416007,0.3040264662316507,-3361003.099256981,1162299.8231320577
21,940149.1571347316,-0.18049770709541638,1203948.7455976363,0.2593598801065592,-940149.3376324388,1203948.9931538268,0.4348683625347669,361,-1040346.5293733802,2920644.8436428434,-0.6071447098707062,0.2461492956798735,-2920645.4313704837,1040346.7561056063
22,1268433.6043341076,-0.27447454736740884,1164446.846953694,0.2723885560548222,-1268433.878808655,1164447.1020731153,0.27602098792275154,360,-647081.458904719,3183948.667572934,-0.7225537220775914,0.1736046273427737,-3183949.36171893,647081.6041016197
23,1122234.0716065916,-0.23774501214798366,1142275.4854796466,0.2688382326848105,-1122234.3093516037,1142275.7343321918,0.3258758269014921,359,-756809.102007427,3001277.24522061,-0.6799839049144969,0.20449388061852963,-3001277.8923280593,756809.2736248518
24,2099919.2677268293,-0.43137197259014814,1326603.1521905113,0.30574823648842164,-2099919.6990988017,1326603.4442081682,0.11343753877583795,358,-82342.91762656206,4282181.45308022,-0.9343278216136017,0.07158387643330544,-4282182.364821238,82342.96662363503
25,3011181.606126537,-0.6305588892911298,1814174.8090516042,0.4100344082660583,-3011182.2366854264,1814175.2083080937,0.0969531157417336,357,26864.04523664806,5995499.167016426,-1.3050654908887958,0.04394771230653616,-5995500.454352241,-26864.019018612336
26,2513118.992043225,-0.5308660101772644,1234564.1953048653,0.2963394103595732,-2513119.522909235,1234564.477276446,0.04178727585178099,356,482260.8907667217,4543977.093319729,-1.0183443402187624,-0.04338768013576655,-4543978.088028989,-482260.9577894814
27,2844527.4838128434,-0.5703629831633241,1028721.0302153332,0.2311525693921288,-2844528.0541758267,1028721.2494866608,0.005690349496559222,355,1152281.3891086204,4536773.578517066,-0.950608959813376,-0.19011700651327224,-4536774.509581383,-1152281.5987702697
28,1835141.273954057,-0.3270283939914717,1214019.241967956,0.26859947123121014,-1835141.6009824509,1214019.5014747228,0.13062941972922282,354,-161920.37908323086,3832202.9269913444,-0.7688745241668125,0.11481773618386898,-3832203.68090837,161920.47894346807
29,372283.42315066746,0.05370360414734649,1488283.7159735025,0.32488802255466126,-372283.3694470633,1488284.03265583,0.8024770042767893,353,-2075943.2896257443,2820510.1359270792,-0.4807371929550713,0.5881444012497643,-2820510.6031659036,2075943.8642717772
