h,beta_L,beta_H,se_L,se_H,diff,se_diff,p_diff,n,beta_L_lo90,beta_L_hi90,beta_H_lo90,beta_H_hi90,diff_lo90,diff_hi90
0,0.07769356540242177,-0.43321929735734743,0.07110249081025957,0.3391720537083561,-0.5109128627597692,0.39780514356800484,0.19902670523670674,382,-0.03927003198045523,0.19465716278529877,-0.9911573257075933,0.12471873099289843,-1.1653023239291371,0.1434765984095987
1,0.09643118066571688,-0.6800838813077096,0.09973527704211803,0.4718697779620576,-0.7765150619734265,0.5487779319323619,0.157071547687462,381,-0.06763335006856727,0.26049571140000105,-1.4563096660552943,0.09614190343987516,-1.679254760002162,0.12622463605530887
2,0.10764394762226304,-0.8461144501266675,0.12026854692486437,0.48600170229258877,-0.9537583977489306,0.5825970791145084,0.10161362171122912,380,-0.09019781206913885,0.3054857073136649,-1.645587250397976,-0.04664164985535901,-1.912130592892297,0.004613797394435792
3,0.13103167941667793,-0.9941918170576349,0.12861440975912425,0.5094038208630559,-1.1252234964743129,0.6126509832341235,0.06626204677540493,379,-0.08053902463708146,0.3426023834704373,-1.8321611023773618,-0.1562225317379079,-2.133034363894446,-0.1174126290541797
4,0.04646861059126779,-0.6954473318601079,0.13325155849087014,0.44322628603786257,-0.7419159424513757,0.552912754715821,0.17965052388382174,378,-0.17273020312621362,0.2656674243087492,-1.4245545723923918,0.03365990867217605,-1.6514574239589013,0.16762553905614985
5,-0.04000923186116525,-0.4095186706554391,0.13943209075867927,0.4851719741977551,-0.3695094387942739,0.5966322919737539,0.5357021186613027,377,-0.26937502115919265,0.18935655743686214,-1.2076265682107463,0.38858922689986797,-1.350969559091099,0.6119506815025513
6,-0.08744003464814853,-0.40533394305068704,0.1388724730274916,0.4601561741103258,-0.3178939084025385,0.5692493427366468,0.5765412001841721,376,-0.3158852527783722,0.14100518348207514,-1.162290849462173,0.3516229633607989,-1.2543090772043226,0.6185212603992456
7,-0.06251918289523081,-0.340619833905555,0.1547595877972276,0.5206099691398675,-0.2781006510103242,0.6436246344571478,0.665679522407532,375,-0.31709870482167024,0.1920603390312086,-1.197023233140637,0.5157835653295271,-1.3368631746923323,0.780661872671684
8,0.04652080349009731,-0.5067636338998251,0.17178670519235834,0.5621391658391364,-0.5532844373899225,0.6954969295321707,0.42630880770583635,374,-0.23606832655133214,0.32910993353152673,-1.4314825617052045,0.4179552939055542,-1.6973768864703431,0.5908080116904982
9,-0.005988721560947957,-0.28150986198355366,0.1834415680208585,0.5956991760763086,-0.27552114042260567,0.7388969026175201,0.7092364853490611,373,-0.30775010095526023,0.29577265783336426,-1.2614350066290814,0.6984152826619741,-1.4910065452284262,0.9399642643832149
10,-0.01319988643000547,-0.240962851892756,0.18516093325492217,0.609968217954596,-0.22776296546275054,0.7542604360314176,0.7626760022718748,372,-0.3177896216343524,0.2913898487743415,-1.2443605704280665,0.7624348666425544,-1.4685213827344326,1.0129954518089312
11,0.07220562801094058,-0.3061828910909288,0.17783126754512213,0.5748676104032268,-0.3783885191018693,0.7144378785660926,0.5963677276270929,371,-0.2203268071007853,0.36473806312266643,-1.251840110204237,0.6394743280223792,-1.5536388293430918,0.7968617911393531
12,0.026112093442165085,-0.2765828693261042,0.17237299141176965,0.5572635264839066,-0.3026949627682693,0.6904399224333695,0.6610899422720762,370,-0.25744147743019596,0.30966566431452613,-1.1932813703921306,0.6401156317399223,-1.4384686351711622,0.8330787096346235
13,-0.019037004872838822,-0.19225794776060354,0.16902360219332016,0.5678210657422638,-0.1732209428877647,0.6890602096277246,0.8015147336049235,369,-0.2970808304808505,0.25900682073517284,-1.1263236009066273,0.7418077053854203,-1.3067249877253717,0.9602831019498423
14,-0.1123675592721689,-0.030503307074630115,0.15899424104184331,0.5165106014759885,0.08186425219753879,0.6179213896087683,0.8946020474345087,368,-0.3739130857860012,0.14917796724166338,-0.8801632465026312,0.819156632353371,-0.9346164337088851,1.0983449381039627
15,-0.07069071594124442,-0.009793291956116057,0.1639638995196701,0.4817468709238941,0.06089742398512836,0.5913999115255396,0.9179854723031837,367,-0.34041133065110174,0.19902989876861288,-0.8022668946259219,0.7826803107136897,-0.9119554304743843,1.033750278444641
16,-0.09912168128317857,-0.09946136664140387,0.17295810635015993,0.4945448278159997,-0.0003396853582253029,0.6162579133546806,0.9995602008781372,366,-0.38363776622919166,0.18539440366283455,-0.9129876083987234,0.7140648751159155,-1.014083952826675,1.0134045821102242
17,-0.052179537105274024,-0.256971778377593,0.18583258566325347,0.519127466891137,-0.204792241272319,0.6689122088234866,0.7594850123315113,365,-0.357874140521326,0.25351506631077797,-1.1109364614135133,0.5969929046583273,-1.3051528247869544,0.8955683422423165
18,0.06795938277331781,-0.3214292028221122,0.1729288972017102,0.5124765114457416,-0.38938858559543,0.6527490401063066,0.5508169208906721,364,-0.2165086531234955,0.3524274186701311,-1.164453064150357,0.5215946585061327,-1.4631607565703044,0.6843835853794444
19,0.17188645469320937,-0.38908667945903797,0.17164578761925603,0.5239179756542864,-0.5609731341522474,0.6602304160099476,0.39551266172547095,363,-0.11047086594046682,0.45424377532688553,-1.2509317494103391,0.4727583904922632,-1.647052168488611,0.5251059001841164
20,0.24233244509659674,-0.6274638126269826,0.1843186968058265,0.5593681436621452,-0.8697962577235794,0.7069598313470088,0.21857230053166,362,-0.06087181114898782,0.5455367013421812,-1.5476244089512114,0.29269678369724617,-2.0327451802894085,0.29315266484225
