h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.08409372375379058,0.07056660511215412,174,-0.2001757891632841,0.031988341655702954,-0.22240426977361266,0.054216822266031486
1,-0.11885607353978171,0.09911768561290939,173,-0.28190466637301764,0.04419251929345423,-0.3131267373410841,0.07541459026152068
2,-0.11681753069226845,0.1350890277492294,172,-0.3390389813397508,0.1054039199552139,-0.38159202508075807,0.14795696369622113
3,-0.12785908089691556,0.1460811870227003,171,-0.3681626335492575,0.1124444717554264,-0.4141782074614081,0.158460045667577
4,-0.082125741093407,0.13999636542055885,170,-0.3124197622102263,0.1481682800234123,-0.3565186173177023,0.1922671351308883
5,-0.13726314694591807,0.15010872150742832,169,-0.3841919938256376,0.10966569993380151,-0.43147624110047755,0.15694994720864142
6,-0.17445859797286506,0.16914911877062971,168,-0.45270889835055095,0.10379170240482083,-0.5059908707632993,0.15707367481756918
7,-0.09925101560990864,0.17104691519848866,167,-0.38062319111142245,0.1821211598916052,-0.4345029693989464,0.23600093817912915
8,0.08686120331396482,0.19044570246248102,166,-0.22642197723681648,0.40014438386474616,-0.28641237351249793,0.46013478014042763
9,0.12344129709482503,0.19942559024463974,165,-0.20461379885760733,0.4514963930472574,-0.26743285978466885,0.5143154539743189
10,0.08301486400112959,0.18893341840002437,164,-0.2277806092669105,0.3938103372691697,-0.28729463606291816,0.4533243640651773
11,0.1029346703581972,0.19826297354004704,163,-0.22320792111518017,0.4290772618315746,-0.285660757780295,0.4915300984966894
12,0.010944804182757218,0.2055183851811693,162,-0.3271329394402663,0.34902254780578074,-0.3918712307723346,0.41376083913784906
13,0.05824204899779455,0.21107600311040034,161,-0.288977976118814,0.4054620741144031,-0.3554669170985901,0.4719510150941792
14,-0.013757418345399633,0.1940865936624327,160,-0.3330298649201014,0.30551502822930215,-0.39416714192376767,0.36665230523296843
15,0.05024155277719379,0.19180252427534122,159,-0.26527359965574254,0.3657567052101301,-0.325691394802475,0.42617450035686255
16,-0.04656219492109571,0.19654470053757647,158,-0.369878227305409,0.2767538374632176,-0.4317898079747456,0.3386654181325542
17,-0.10896908001580993,0.20665780793140104,157,-0.4489211740629646,0.23098301403134477,-0.514018383561356,0.29608022352973606
18,0.04235644997420645,0.1866009050180387,156,-0.2646020387804672,0.3493149387288801,-0.3233813238611494,0.4080942238095623
19,0.1536073247529985,0.16988938496239148,155,-0.1258607135101355,0.4330753630161325,-0.1793758697732888,0.48659051927928576
20,0.17392979200180772,0.17009412983852445,154,-0.10587505158256502,0.45373463558618043,-0.1594547024817002,0.5073142864853156
21,0.14239841292760894,0.18166365620496594,153,-0.15643830152956004,0.4412351273847779,-0.21366235323412427,0.4984591790893421
22,0.011517856538771737,0.20580586413719698,152,-0.3270327899669173,0.3500685030444608,-0.39186163717013434,0.4148973502476778
23,-0.12304028335342762,0.25689982596934957,151,-0.5456404970730077,0.29955993036615247,-0.6265639422533528,0.38048337554649747
24,0.09946071418540234,0.20795268008387396,150,-0.24262144455257031,0.441542872923375,-0.30812653877899066,0.5070479671497953
25,0.17064755565962983,0.24539787439395883,149,-0.23303194771843247,0.5743270590376921,-0.3103322781525295,0.6516273894717891
26,0.1228064031504094,0.19725139498283115,148,-0.20167214159634783,0.44728494789716666,-0.26380633101593964,0.5094191373167585
27,0.23356664789338663,0.1936470519150982,147,-0.08498275250694995,0.5521160482937232,-0.14598157386020585,0.6131148696469791
28,0.201082717303927,0.2133080183060431,146,-0.1498089728095139,0.5519744074173679,-0.21700099857591745,0.6191664331837714
29,0.11781670491598825,0.23078399803809266,145,-0.26182297185667414,0.4974563816886507,-0.3345199312386733,0.5701533410706499
30,0.04285480037521105,0.2334748611491587,144,-0.341211346215155,0.4269209469655771,-0.41475592747713996,0.5004655282275621
31,0.036830286433547806,0.266284341626187,143,-0.40120745554152987,0.47486802840862546,-0.4850870231537787,0.5587475960208743
32,0.13655513789087861,0.2029685899556512,142,-0.1973281925861676,0.4704384683679248,-0.26126329842219775,0.5343735742039549
33,0.24342024888129346,0.1689192152121026,141,-0.03445186014261534,0.5212923579052022,-0.08766141293442761,0.5745019106970145
34,0.359832574369075,0.1960315442694717,140,0.03736068404579407,0.682304464692356,-0.02438925239908951,0.7440544011372395
35,0.2718038612097251,0.20273960888408502,139,-0.061702795404594724,0.605310517824045,-0.12556577220308152,0.6691734946225317
36,0.08414465574258162,0.1924718874027637,138,-0.23247159903496467,0.4007609105201279,-0.29310024356683523,0.46138955505199847
37,0.12150506798439721,0.16793123443043717,137,-0.15474181265367193,0.3977519486224663,-0.20764015149925963,0.450650287468054
38,0.12401615156761248,0.16013767655592506,136,-0.13941032636688427,0.3874426295021092,-0.18985369448200062,0.4378859976172256
39,0.17401258981567497,0.19002196630478926,135,-0.13857354475570338,0.4865987243870533,-0.198430464141712,0.5464556437730619
40,0.08097573958583214,0.17453110005063568,134,-0.20612791999746355,0.36807939916912785,-0.2611052165134138,0.4230566956850781
41,-0.015191799825146204,0.18920344044823834,133,-0.32643145936249823,0.2960478597122059,-0.38603054310369334,0.355646943453401
42,0.04394341258770349,0.16026854390867182,132,-0.21969834214206166,0.30758516731746866,-0.27018293347329325,0.3580697586487003
43,0.048996536251351266,0.14700612982857225,131,-0.1928285473166501,0.2908216198193526,-0.23913547821265035,0.33712855071535286
44,0.10649301394896739,0.1350793516715119,130,-0.11571251955066968,0.32869854744860444,-0.15826251532719593,0.3712485432251307
45,0.07815256346090978,0.12642829949890333,129,-0.12982198921478622,0.28612711613660574,-0.16964690355694073,0.3259520304787603
46,0.008962384999810868,0.13163476928239595,128,-0.20757681046973048,0.2255015804693522,-0.2490417627936852,0.26696653279330695
47,0.027507112274328383,0.14837339491550133,127,-0.2165671223616713,0.2715813469103281,-0.2633047417600542,0.318318966308711
48,-0.0007289398995038891,0.1614489880254683,126,-0.26631252520139925,0.26485464540239145,-0.3171689564294218,0.315711076630414
