h,coef,se,n_obs,lo90,hi90,lo95,hi95
0,-0.015436243504349016,0.02728071173851405,174,-0.06031301431420463,0.0294405273055066,-0.06890643851183656,0.03803395150313852
1,-0.04658372555945989,0.03986836573221218,174,-0.11216718718894893,0.018999736070029152,-0.12472572239459577,0.031558271275675995
2,-0.0925641480328879,0.03880145863359761,174,-0.15639254748515596,-0.028735748580619835,-0.16861500695473922,-0.016513289111036583
3,-0.12729328204524765,0.04782643691358672,174,-0.2059677707680978,-0.04861879332239749,-0.22103309839587762,-0.033553465694617673
4,-0.14897191143524638,0.05171000361690222,174,-0.23403486738505053,-0.06390895548544222,-0.25032351852437473,-0.047620304346118025
5,-0.13736598430340918,0.06525600461924744,174,-0.2447121119020712,-0.030019856704747147,-0.26526775335713415,-0.009464215249684216
6,-0.1773418539486155,0.06493891783450241,174,-0.284166373786372,-0.07051733411085905,-0.30462213290424023,-0.0500615749929908
7,-0.17313898601984135,0.07308412135528077,174,-0.2933623656492782,-0.05291560639040449,-0.31638386387619166,-0.029894108163491057
8,-0.16149275432800664,0.07972460750458966,174,-0.2926397336730566,-0.030345774982956625,-0.3177529850370024,-0.005232523619010887
9,-0.13977953561641876,0.0791105320647264,174,-0.2699163608628937,-0.009642710369943824,-0.2948361784632825,0.01527710723044498
10,-0.12266484421534762,0.08405621392646498,174,-0.26093731612438253,0.01560762769368726,-0.28741502351121895,0.04208533508052373
11,-0.07651793327468775,0.08175397024724597,174,-0.21100321433140737,0.05796734778203186,-0.23675571495928985,0.08371984840991434
12,-0.07550014329001906,0.08045723038628702,174,-0.2078522872754612,0.056852000695423094,-0.23319631484714162,0.08219602826710351
13,-0.0881448819680508,0.08314506852660711,174,-0.22491851969431947,0.04862875575821789,-0.2511092162802007,0.07481945234409913
14,-0.10863312617815896,0.10454564977341428,174,-0.2806107200554254,0.06334446769910754,-0.31354259973405096,0.09627634737773302
15,-0.1142653432705685,0.10034767279139033,174,-0.27933726501240563,0.0508065784712686,-0.31094678194169356,0.08241609540055653
16,-0.1283456048550031,0.10272085479311391,174,-0.29732141098967546,0.04063020127966929,-0.32967848024950636,0.07298727053950016
17,-0.07777021824692931,0.08771248718546595,174,-0.2220572596670208,0.06651682317316218,-0.2496866931304426,0.09414625663658396
18,-0.0046445639417452365,0.07714378335510227,174,-0.13154608756088848,0.12225695967739801,-0.15584637931774567,0.14655725143425521
19,0.06099177507853646,0.08530103424316823,174,-0.07932842625147529,0.2013119764085482,-0.10619825203807329,0.2281818021951462
20,0.053397560669936915,0.09104672759188617,174,-0.09637430621871584,0.2031694275585897,-0.12505402541015997,0.23184914675003382
21,0.09241251833301448,0.09145531152244216,174,-0.05803146912140286,0.24285650578743181,-0.08683989225097213,0.2716649289170011
