h,coef,se,F,n,lo90,hi90,sig90
0,-0.16830471265778382,0.1318254055936078,5.746555650498566e+26,381,-0.3851575048592687,0.04854807954370102,False
1,-0.3978343506795968,0.2375041764870641,3.098740675514126e+27,380,-0.7885287210008173,-0.007139980358376374,True
2,-0.47274183983922907,0.28752003244300833,1.798351429631175e+27,379,-0.9457122932079778,0.00022861352951963898,False
3,-0.3386603432053612,0.2886487885754242,1.1178982002639736e+27,378,-0.813487600411934,0.13616691400121161,False
4,-0.49062543464924124,0.333336612542561,1.1568201334128229e+27,377,-1.038964162281754,0.05771329298327155,False
5,-0.5308211369259729,0.365195365948221,1.858607849763841e+27,376,-1.1315675139107966,0.0699252400588507,False
6,-0.5004814993511845,0.3893879329141668,3.3747734883261346e+27,375,-1.1410246489949887,0.14006165029261985,False
7,-1.097030759639403,0.388887558557869,3.478230357111929e+27,374,-1.7367507934670976,-0.4573107258117086,True
8,-1.0463685166444756,0.4804617536333392,5.927841523195135e+26,373,-1.8367281013713186,-0.25600893191763263,True
9,-0.4503482582424672,0.5660419733550581,1.0523855767395514e+27,372,-1.3814873044115379,0.4807907879266034,False
10,-0.47802085934275995,0.5219426908423915,3.1976607289269503e+27,371,-1.336616585778494,0.38057486709297417,False
11,-0.8002023923747942,0.5609154489742236,3.821491322436432e+26,370,-1.7229083059373922,0.12250352118780372,False
12,-0.7390398029277436,0.6474869333559626,4.155509219648349e+27,369,-1.8041558082983022,0.326076202442815,False
13,-0.5432487479071083,0.7043282054115946,2.2993603664953769e+27,368,-1.7018686458091814,0.6153711499949647,False
14,-0.018030165054427526,0.6424399500665454,1.546774736925052e+27,367,-1.0748438829138947,1.0387835528050398,False
15,-0.07405557108904266,0.6789281670801299,3.733079004119215e+27,366,-1.1908924059358565,1.0427812637577711,False
16,0.215421612402169,0.6722805446087587,2.1980953945123227e+27,365,-0.8904798834792391,1.3213231082835772,False
17,0.26347690402051577,0.7018247451802133,2.143298397942883e+27,364,-0.891024801800935,1.4179786098419667,False
18,0.14966619544078374,0.7326289064761011,8.353490114074781e+26,363,-1.0555083557124028,1.35484074659397,False
19,0.3142940198009101,0.7881312011484483,6.26136147189734e+27,362,-0.9821818060882872,1.6107698456901074,False
20,0.27655496243100225,0.71154461192811,6.473616783671064e+26,361,-0.8939359241907388,1.4470458490527431,False
21,0.2845117129542862,0.6791771518786968,2.864674388318286e+26,360,-0.8327347018861699,1.4017581277947424,False
22,0.3798193696277276,0.6313526332572371,1.8091723132849348e+27,359,-0.6587557120804275,1.4183944513358828,False
23,0.30091953121681053,0.6913943687410716,2.0570038218487506e+29,358,-0.8364242053622524,1.4382632677958733,False
24,0.21190332593385797,0.7149040408618286,1.3066384438970258e+27,357,-0.9641138212838501,1.3879204731515662,False
25,0.02936556655789161,0.7071888491428208,1.3506392651129416e+27,356,-1.1339600902820486,1.1926912233978317,False
26,-0.15897739959838741,0.7515991982674662,8.411979420405011e+26,355,-1.3953580807483694,1.0774032815515946,False
27,-0.47573193375203193,0.7748906797138383,1.243114616285084e+27,354,-1.750427101881296,0.798963234377232,False
28,-0.09962813094820597,0.67996634188454,2.314795747947839e+27,353,-1.2181727633482742,1.0189165014518624,False
29,-0.16439704585669976,0.6225753571728287,1.5263387659482624e+28,352,-1.188533508406003,0.8597394166926035,False
30,-0.14787374213216964,0.6297978924069911,5.3618951553318586e+26,351,-1.1838912751416701,0.8881437908773309,False
31,0.0479658934943867,0.6397383939940885,8.233181056916845e+27,350,-1.0044037646258888,1.1003355516146622,False
32,0.45269952749317893,0.5706943484465424,4.9409201338246844e+27,349,-0.4860926757013834,1.3914917306877412,False
33,0.2921303632525489,0.5667384794062351,1.8606273460845417e+28,348,-0.6401544353707078,1.2244151618758057,False
34,0.5615867626451551,0.565084791151418,2.0912079105945378e+27,347,-0.3679777187989275,1.4911512440892376,False
35,0.5188766247409063,0.608156940164422,2.8590278334626e+28,346,-0.48154154182956777,1.5192947913113803,False
36,0.23432034681145603,0.6709494077847045,2.6480514586529424e+27,345,-0.8693914289943827,1.3380321226172949,False
37,0.17510937795436518,0.7164565458291278,1.3665343422399507e+28,344,-1.0034616399345502,1.3536803958432804,False
38,0.5964741847134758,0.7260900302424964,5.2710923131802215e+26,343,-0.5979439150354309,1.7908922844623825,False
39,0.7117318032842528,0.7192608538492046,1.4466975798610517e+27,342,-0.4714523012976888,1.8949159078661943,False
40,0.6537487582341567,0.7290106357807089,2.341667354552633e+28,341,-0.5454737376251094,1.852971254093423,False
41,0.5367688084802551,0.6816638859604892,9.102899706456189e+26,340,-0.5845682839247497,1.6581059008852599,False
42,0.6915827395378826,0.7367112716227003,1.7651714700390758e+28,339,-0.5203073022814595,1.9034727813572248,False
43,0.6984344037472606,0.7487696077722561,5.167525691420469e+27,338,-0.5332916010381007,1.9301604085326218,False
44,0.6179785596489759,0.7886121766351916,7.511059463108487e+26,337,-0.6792884709159143,1.9152455902138659,False
45,0.6579929283854451,0.8231624601759948,6.629057486451528e+28,336,-0.6961093186040663,2.0120951753749567,False
46,0.8647704632108754,0.9013932124034365,6.207924999079687e+27,335,-0.6180213711927777,2.3475622976145285,False
47,1.0625367722976686,0.8968444934779846,1.5632875250046088e+28,334,-0.412772419473616,2.5378459640689535,False
48,1.2304274544293365,0.9646191558100606,3.0423458526360947e+27,333,-0.35637105687821324,2.8172259657368866,False
