code,name,F_mean,F_min,sig90,peak_h,peak_coef
us,US-China,353.5791612948254,243.3993754306862,18,34,0.29811551810307435
jp,Japan-China,118.00029940698369,107.5284246618688,4,48,0.4148660570090499
aus,Australia-China,1.7448473519536057e+28,1.770467997014789e+16,16,15,-2.9397139507236716
cds,S.Korea-China,2.707843684971209e+16,2.657055209193277e+16,3,19,-0.4541195949698249
fra,France-China,2.158668260887752e+28,1.5484399090478403e+26,0,31,0.5889161600734951
ger,Germany-China,8.408003865478409e+27,1.3289021853158122e+26,14,30,2.217548610013182
india,India-China,2.0736297483734876e+16,2.026541250389826e+16,10,37,0.9200933249771879
indo,Indonesia-China,8.022282611538536e+28,1.1464382792979875e+27,44,37,1.2188817485691743
pak,Pakistan-China,1.3181144826311676e+26,5.802964724775067e+23,0,46,-6.684037586732302
rus,Russia-China,1.3255472526936159e+27,5.3284837551730925e+25,0,47,1.2658018980000634
vn,Vietnam-China,1.2199191540950066e+29,3.456827316307293e+27,4,2,-0.34219628746541275
uk,UK-China,2.077798734314855e+28,6.681106497611703e+26,23,48,2.0995319726134767
