lag,direction,F,p
1,PRI→WTI,0.9839061089985693,0.32186753596676065
2,PRI→WTI,0.6515784370663886,0.5218083592822903
3,PRI→WTI,0.6223048335958716,0.6009456380412792
4,PRI→WTI,0.5831129444524377,0.6750571245645137
5,PRI→WTI,0.47572011545391013,0.7943610821745866
6,PRI→WTI,0.40903502927924873,0.872987144066274
1,WTI→PRI,0.6482911030959796,0.4212278173347215
2,WTI→PRI,0.19010243620679712,0.8269536418281516
3,WTI→PRI,0.3643599869703377,0.7787779545275869
4,WTI→PRI,0.2592354221839912,0.9039366951441812
5,WTI→PRI,0.5496010269247534,0.7386251401581373
6,WTI→PRI,0.4418286252210788,0.8506364455898023
