model,h,beta_wald,first_stage_f,weak_iv
Linear (OLS),0,-0.006483968481585221,1622.5707601307731,False
Linear (OLS),1,-0.018415907061573835,1607.0658770839323,False
Linear (OLS),2,0.029512893366501067,1677.9400099376526,False
Linear (OLS),3,0.04116125485451045,1858.211216785029,False
Linear (OLS),4,0.10512726160529814,1972.0512754432043,False
Linear (OLS),5,-0.05821360601652219,2005.5413830819525,False
Linear (OLS),6,-0.11626090012378419,1997.3080872183182,False
Linear (OLS),7,-0.06637905149561887,2014.6886999846288,False
Linear (OLS),8,-0.053424370213277755,2040.8241921184795,False
Linear (OLS),9,0.030902409652423475,2034.4220386192578,False
Linear (OLS),10,-0.05158525680200845,2058.951159001328,False
Linear (OLS),11,-0.03205742841425876,2086.4548830207987,False
Linear (OLS),12,-0.0301128188499906,2109.580622192388,False
Linear (OLS),13,-0.055633789791683715,2104.994063519113,False
Linear (OLS),14,-0.10533870332697302,2153.2373586189206,False
Linear (OLS),15,-0.15805492299545987,2090.178583674807,False
Linear (OLS),16,-0.21484144199261782,2114.2716598646753,False
Linear (OLS),17,-0.2085113370500975,2081.1370735199976,False
Linear (OLS),18,-0.2154390838366027,1994.5441217895666,False
Linear (OLS),19,-0.2135533080022533,2051.3279510904686,False
Linear (OLS),20,-0.0729429986429111,2101.6391304031304,False
Linear (OLS),21,-0.01857314919961549,2075.403795584501,False
Linear (OLS),22,0.0662378982562616,2193.6232196451506,False
Linear (OLS),23,0.05594537917848208,2233.2705990230306,False
Linear (OLS),24,0.10241963436055483,2208.8166325922807,False
Linear (OLS),25,0.20526381219272782,2178.3593185445516,False
Linear (OLS),26,0.13589669466004242,2199.3644875912596,False
Linear (OLS),27,0.19986877676686457,2197.28239471198,False
Linear (OLS),28,0.2698230458830387,2101.03048770782,False
Linear (OLS),29,0.34825176739446106,2128.5543072076443,False
Linear (OLS),30,0.3916525772824629,2184.6786693581043,False
Linear (OLS),31,0.43211138811334027,2098.256043948546,False
Linear (OLS),32,0.3930858991521791,2106.3989068765563,False
Linear (OLS),33,0.46144099201528077,2115.566485176686,False
Linear (OLS),34,0.5804001249237015,2185.333018477712,False
Linear (OLS),35,0.4462252736428827,2242.772856603601,False
Linear (OLS),36,0.6139721874804831,2180.468881104977,False
Linear (OLS),37,0.3391918211029561,2224.0791171208125,False
Linear (OLS),38,0.2870840126575154,2220.358815237656,False
Linear (OLS),39,0.42216819717720777,2244.9708999750833,False
Linear (OLS),40,0.23797727758336132,2346.7178719592825,False
Linear (OLS),41,0.006899445413156639,2408.6856759396806,False
Linear (OLS),42,0.08876310460037724,2248.010536755716,False
Linear (OLS),43,0.0291215866682915,2214.684705788367,False
Linear (OLS),44,0.23473456644106316,2226.5083676558816,False
Linear (OLS),45,-0.12584779708377183,2275.8679030508597,False
Linear (OLS),46,-0.3435968675155535,2557.930129871503,False
Linear (OLS),47,-0.5841733593482944,2683.6741446745414,False
Linear (OLS),48,-0.38794671808135206,2567.4773543525844,False
Ridge (α=0.1),0,0.018418153239579637,1284.9504579484842,False
Ridge (α=0.1),1,0.0142307208579399,1280.5691333875984,False
Ridge (α=0.1),2,0.02424124234445718,1334.0063081205956,False
Ridge (α=0.1),3,0.02698525622471585,1474.7754143540733,False
Ridge (α=0.1),4,0.01566543552384146,1536.0265673494398,False
Ridge (α=0.1),5,-0.010679831228314736,1562.386742575198,False
Ridge (α=0.1),6,-0.10484022733248109,1556.6787014936585,False
Ridge (α=0.1),7,-0.10208373293709136,1568.0674006914692,False
Ridge (α=0.1),8,-0.07998690322984327,1610.6551372049628,False
Ridge (α=0.1),9,-0.07531437769917122,1601.6703374615493,False
Ridge (α=0.1),10,-0.120563876505501,1637.2488114602543,False
Ridge (α=0.1),11,-0.07794483074996678,1438.7625197415982,False
Ridge (α=0.1),12,-0.1179069580245907,1648.6586653999368,False
Ridge (α=0.1),13,-0.15133157561639812,1654.7901574501414,False
Ridge (α=0.1),14,-0.2058792260973391,1695.3035553230307,False
Ridge (α=0.1),15,-0.23171760791787774,1660.14868039378,False
Ridge (α=0.1),16,-0.290251180613636,1465.7696665435828,False
Ridge (α=0.1),17,-0.3351306691169718,1323.7597110260813,False
Ridge (α=0.1),18,-0.32861126133028323,1608.5109879741162,False
Ridge (α=0.1),19,-0.30309398156253403,1637.1201595327611,False
Ridge (α=0.1),20,-0.26645283681262383,1657.6530174120578,False
Ridge (α=0.1),21,-0.25534238355705524,1412.1211476417982,False
Ridge (α=0.1),22,-0.23602780304770807,1350.3403112395315,False
Ridge (α=0.1),23,-0.22029226573737834,1385.601568250757,False
Ridge (α=0.1),24,-0.056020101049936905,1699.2850494089694,False
Ridge (α=0.1),25,0.01940249330053033,1668.0244495902114,False
Ridge (α=0.1),26,-0.00917012509787645,1441.2467500122984,False
Ridge (α=0.1),27,0.0038137918233001615,1345.9581410559886,False
Ridge (α=0.1),28,0.07025528338251939,1309.8211493125925,False
Ridge (α=0.1),29,0.1250283939293449,1283.6838764605636,False
Ridge (α=0.1),30,0.24379799317270254,1649.5823340127554,False
Ridge (α=0.1),31,0.285924929539956,1368.817892538865,False
Ridge (α=0.1),32,0.31588020197408934,1290.208938165164,False
Ridge (α=0.1),33,0.36105002031833056,1304.3189761432968,False
Ridge (α=0.1),34,0.47156843243782864,1275.5510865195615,False
Ridge (α=0.1),35,0.4421153635919666,1172.4780287677188,False
Ridge (α=0.1),36,0.5326745279282822,1386.0576223479604,False
Ridge (α=0.1),37,0.3789380876381103,1330.926813152851,False
Ridge (α=0.1),38,0.3358975104989866,1319.184499102108,False
Ridge (α=0.1),39,0.45033336360234305,1273.767050078317,False
Ridge (α=0.1),40,0.36008074962099995,1156.6470222047856,False
Ridge (α=0.1),41,0.24790702157338018,1022.3448491637,False
Ridge (α=0.1),42,0.2289999708725336,1305.9813320688884,False
Ridge (α=0.1),43,0.18520517292167274,1307.3493884231161,False
Ridge (α=0.1),44,0.3798462505050851,1215.9637969050955,False
Ridge (α=0.1),45,0.13703593130723946,1120.229333092523,False
Ridge (α=0.1),46,0.16462024714473536,1019.8113306871542,False
Ridge (α=0.1),47,-0.07466078556158279,1096.644161523748,False
Ridge (α=0.1),48,-0.06997371897717923,1360.226901176979,False
Ridge (α=1),0,0.043690041317979884,335.07696409022685,False
