,US-China,Japan-China,Australia-Ch.,S.Korea-China,France-China,Germany-China,India-China,Indonesia-Ch.,Pakistan-Ch.,Russia-China,Vietnam-China,UK-China
US-China,1.0,-0.004922310984059871,0.02175671348435479,0.03580641848128993,0.037226215239976296,0.01984179594360758,0.03986450185965363,0.05550175829261458,-0.019797834226125455,0.004016113290605045,0.05174183294814231,-0.014167627582957277
Japan-China,-0.004922310984059871,1.0,0.07225298047745977,0.0326206760318379,-0.0036677530971742996,-0.031352062359702906,0.013828765757657955,-0.005237428038361821,-0.022468849801652546,0.04190207947130613,0.03221353607259133,0.10184681276352091
Australia-Ch.,0.02175671348435479,0.07225298047745977,1.0,0.05977946617966011,0.09486483492296172,0.08477093540160273,0.12765596797609496,0.0404115085524884,0.02785107141792551,0.035546323154688406,0.04297232008426385,0.5018130469131371
S.Korea-China,0.03580641848128993,0.0326206760318379,0.05977946617966011,1.0,0.04166543516568081,0.09535311602322603,0.15353271422352785,0.10088717165117442,-0.0028191102626981333,0.041379518002698505,0.2633181099216033,0.03888187792108508
France-China,0.037226215239976296,-0.0036677530971742996,0.09486483492296172,0.04166543516568081,1.0,-0.025714350004787945,0.04318173373839541,0.037886113108026045,0.0996022078173893,-0.04814323620252386,-0.11141620377290111,0.041250715435630414
Germany-China,0.01984179594360758,-0.031352062359702906,0.08477093540160273,0.09535311602322603,-0.025714350004787945,1.0,0.1604297893367828,-0.0013615713710174802,0.00596135704957082,0.04496799521733531,0.14274305239407567,0.2214330801028099
India-China,0.03986450185965363,0.013828765757657955,0.12765596797609496,0.15353271422352785,0.04318173373839541,0.1604297893367828,1.0,0.022547255143233358,0.19131373320828046,0.1210356111265188,0.01664660366199782,0.08102188008478446
Indonesia-Ch.,0.05550175829261458,-0.005237428038361821,0.0404115085524884,0.10088717165117442,0.037886113108026045,-0.0013615713710174802,0.022547255143233358,1.0,0.1335566061236957,0.11076345778067577,0.08758634330886615,0.05358699823880103
Pakistan-Ch.,-0.019797834226125455,-0.022468849801652546,0.02785107141792551,-0.0028191102626981333,0.0996022078173893,0.00596135704957082,0.19131373320828046,0.1335566061236957,1.0,-0.02089277875483674,-0.020303609232018547,0.008007588885509433
Russia-China,0.004016113290605045,0.04190207947130613,0.035546323154688406,0.041379518002698505,-0.04814323620252386,0.04496799521733531,0.1210356111265188,0.11076345778067577,-0.02089277875483674,1.0,0.060713412111986914,0.035252233233987754
Vietnam-China,0.05174183294814231,0.03221353607259133,0.04297232008426385,0.2633181099216033,-0.11141620377290111,0.14274305239407567,0.01664660366199782,0.08758634330886615,-0.020303609232018547,0.060713412111986914,1.0,0.052273071579095505
UK-China,-0.014167627582957277,0.10184681276352091,0.5018130469131371,0.03888187792108508,0.041250715435630414,0.2214330801028099,0.08102188008478446,0.05358699823880103,0.008007588885509433,0.035252233233987754,0.052273071579095505,1.0
