dyad_i,dyad_j,r,t,p,sig
Australia-Ch.,UK-China,0.5018330954067305,11.354301309172527,0.0,True
S.Korea-China,Vietnam-China,0.2633902497898023,5.343324985281964,1.56987170152334e-07,True
Germany-China,UK-China,0.2213871974745654,4.44287850983533,1.1634445105324076e-05,True
India-China,Pakistan-China,0.1913439419830888,3.815167424611328,0.00015860865261663193,True
Germany-China,India-China,0.16046375023523704,3.1815650636028634,0.0015843038161129641,True
S.Korea-China,India-China,0.15359203278962313,3.041950060338964,0.0025124020039717365,True
Germany-China,Vietnam-China,0.14279001604191469,2.8233869322014487,0.005000065833864031,True
Indonesia-Ch.,Pakistan-China,0.13359843268983712,2.638223091209182,0.00867400087786585,True
Australia-Ch.,India-China,0.12760664260191296,2.5178953827905923,0.01221283848417598,True
India-China,Russia-China,0.12110261255149996,2.3875975809732193,0.01744302530975883,True
Indonesia-Ch.,Russia-China,0.11085340523269406,2.182897609797425,0.029649988423497753,True
Japan-China,UK-China,0.10187010485721999,2.0040629714589175,0.04576702899646712,True
S.Korea-China,Indonesia-Ch.,0.10097070426098187,1.9861862407048878,0.04772505255430337,True
France-China,Pakistan-China,0.09882718635943412,1.9436008454774862,0.052675745812910124,False
S.Korea-China,Germany-China,0.09540387671380196,1.8756461571052983,0.06146436751992379,False
Australia-Ch.,France-China,0.09504775308687391,1.8685807958386054,0.06244434627827622,False
Indonesia-Ch.,Vietnam-China,0.08766981169068282,1.7223638452958672,0.08581091458576773,False
Australia-Ch.,Germany-China,0.08473274241120977,1.664237531322123,0.09688284268039848,False
India-China,UK-China,0.08097155074276016,1.5898649459606067,0.11269032361313158,False
Japan-China,Australia-Ch.,0.07227571765441933,1.4181726383228146,0.15695349056091423,False
Russia-China,Vietnam-China,0.060813649316759505,1.1923534611616569,0.23386089535292753,False
Australia-Ch.,S.Korea-China,0.05971400296390882,1.1707151850435338,0.24244116817002115,False
US-China,Indonesia-Ch.,0.05587031671407247,1.0951141834833227,0.2741547961737856,False
Indonesia-Ch.,UK-China,0.05352244851426633,1.0489584942189838,0.2948586785566474,False
Vietnam-China,UK-China,0.05220507044654572,1.0230684397429954,0.3069212377697734,False
US-China,Vietnam-China,0.052137457441481586,1.0217398063486407,0.30754899665193447,False
Germany-China,Russia-China,0.04502680626209585,0.8820866001972114,0.3782832355051664,False
Australia-Ch.,Vietnam-China,0.0429090250820678,0.8405203077102096,0.4011411311072921,False
France-China,India-China,0.04245093961058066,0.8315308467138025,0.40619192420414607,False
Japan-China,Russia-China,0.041855642114666546,0.8198495235583892,0.41281180278788954,False
France-China,UK-China,0.041648953475482364,0.815793946899632,0.4151250485765825,False
S.Korea-China,Russia-China,0.0414834431228432,0.8125464327380403,0.41698291901168894,False
S.Korea-China,France-China,0.04070277175064316,0.7972296110391027,0.42581164243023295,False
Australia-Ch.,Indonesia-Ch.,0.040351663654442864,0.7903413264554615,0.42981753549835977,False
US-China,India-China,0.04014882338705246,0.786361997807132,0.43214170034551636,False
S.Korea-China,UK-China,0.038813739992027585,0.7601726839583478,0.44761905430664184,False
France-China,Indonesia-Ch.,0.036990534695573014,0.7244148125206463,0.4692533916546435,False
US-China,S.Korea-China,0.0362268619711952,0.7094393465701535,0.4784835312228397,False
Australia-Ch.,Russia-China,0.03547666306719993,0.6947293113830143,0.4876461813877435,False
Russia-China,UK-China,0.035178134554609455,0.6888760390297537,0.491318361639566,False
US-China,France-China,0.03326690949140449,0.6514068044039267,0.5151745782942263,False
Japan-China,S.Korea-China,0.03257877267467337,0.6379177751546885,0.5239084072314397,False
Japan-China,Vietnam-China,0.032172324124013336,0.6299508972949673,0.529102342341303,False
Australia-Ch.,Pakistan-China,0.027817461312656964,0.5446092027252759,0.5863392683760877,False
India-China,Indonesia-Ch.,0.022611878366661436,0.4426363568882444,0.6582786567542,False
US-China,Australia-Ch.,0.021449103825942072,0.41986382997931954,0.6748203602404144,False
US-China,Germany-China,0.02008444384115951,0.3931396156520155,0.6944351021846336,False
India-China,Vietnam-China,0.01671511218270443,0.32716690153873246,0.743720390760743,False
Japan-China,India-China,0.013799810655243959,0.27009333716917827,0.7872339212713748,False
Pakistan-China,UK-China,0.007972477485634236,0.15602941882689536,0.8760920382304827,False
Germany-China,Pakistan-China,0.005991576957391072,0.11725957732064352,0.9067158220701297,False
US-China,Russia-China,0.004513465751438092,0.08833116572726875,0.9296596362766425,False
Germany-China,Indonesia-Ch.,-0.0013081768673154845,-0.025601547882255066,0.9795884850456911,False
S.Korea-China,Pakistan-China,-0.0027659373778672813,-0.05413066861929256,0.9568592819068666,False
Japan-China,France-China,-0.0033255493917882257,-0.06508264444814106,0.9481421551090956,False
US-China,Japan-China,-0.00510225248320479,-0.09985434925990563,0.9205122046413399,False
Japan-China,Indonesia-Ch.,-0.0052745465565137775,-0.10322634691430867,0.9178373576763132,False
US-China,UK-China,-0.014454786182995937,-0.28291529994923886,0.7773946091002573,False
US-China,Pakistan-China,-0.01953116729674282,-0.3823054042483196,0.7024468966095032,False
Pakistan-China,Vietnam-China,-0.020250170253509184,-0.39638492518702534,0.6920418334789353,False
Pakistan-China,Russia-China,-0.020833482058992395,-0.4078077920834689,0.6836426554311434,False
Japan-China,Pakistan-China,-0.02248967216247928,-0.4402429088170057,0.6600095311619398,False
France-China,Germany-China,-0.02609717072633933,-0.5109057081085279,0.6097114497582119,False
Japan-China,Germany-China,-0.03137425503765033,-0.6143086949266818,0.5393760930340634,False
France-China,Russia-China,-0.048871032690323536,-0.9575691658348107,0.33888410481926123,False
France-China,Vietnam-China,-0.11184092550079386,-2.2025888308203316,0.02821887165478265,True
