horizon,coef_0.1,se_0.1,n_obs,coef_0.25,se_0.25,coef_0.5,se_0.5,coef_0.75,se_0.75,coef_0.9,se_0.9
0,0.0,0.00403336094587086,333,0.0,0.0044558290298839015,0.0001466294449468162,0.005388935199939939,0.0,0.004346463203764168,0.0,0.00942678493488807
1,0.0,0.005997079771296844,333,0.0,0.013045861338802981,0.0013643472143597612,0.008280435821933505,-0.006741753379752974,0.007731104989568435,-0.0038043960583753634,0.011462328008673233
2,0.0,0.0027808451818771614,333,0.0,0.008317136812091376,0.0,0.010585809454260447,-0.02496700348544616,0.012166268602168778,-0.047680783743609345,0.018901826212885137
3,0.0,0.003257995358405473,333,0.0,0.007616885672045745,0.0,0.015995129448838068,-0.0002667172924009687,0.014936584713543782,-0.021176646188766555,0.016387717184178644
4,0.0,0.004477188531865847,333,0.0,0.006246055415289201,0.0,0.013236310465169784,0.0,0.00740377708090387,-0.0009948337580565968,0.010921806162197878
5,0.0,0.0043208800181577895,332,-0.03478519200469256,0.01605926783015734,0.0,0.011352778813477687,8.119059243096244e-05,0.010611583029610003,-0.020876906543420042,0.009931001668036345
6,0.0,0.0047540878704205505,331,0.0,0.009289050717764381,0.0,0.017120051224187662,-0.035780030568735514,0.017653765141020947,-0.04447196076794201,0.016651593019964973
7,0.0,0.0020026930086287143,330,0.0,0.013582642363862293,0.0,0.012547486008492635,-0.0014270176391729234,0.007154531107839172,0.0020274167409593184,0.009705708477972209
8,0.0,0.002694155968471128,329,0.0014548467850194662,0.005618684370637529,0.0017658689123471153,0.0027086328237709077,-0.0037592427970350316,0.008193793687486335,-0.012704555754179751,0.005994562272180153
9,0.0,0.0,328,0.0,0.0039021111845668646,0.0,0.006585256586355797,-0.0010432951261008232,0.011312364769223959,0.012457738631829548,0.01921363372154441
10,0.0,0.0005164273842634159,327,0.0,0.000988189257793561,-6.243660652849858e-06,0.005380513697665118,-0.042717964868231484,0.019173679800590815,-0.01955845721602306,0.010152441386330511
11,0.0,1.953401611695481e-05,326,0.020977096205131662,0.0023850220183468497,0.0,0.0018345421416358144,-0.005084245403824717,0.0011594679010366125,-0.00038875338273858045,0.0015877388463089745
12,0.0,0.0010768805503710121,325,0.0,0.001500359358018,-0.00508390531822109,0.0004517675761585573,0.0,0.002418818522160798,0.010351069430477639,0.00536156603502768
13,0.0,0.005017805280749858,324,0.0,0.002795809875189719,0.0,0.003112921215239235,-0.0021904667814871192,0.013771791660757987,-0.020698744410957905,0.012707951819448171
14,0.0,0.0005091490662043295,323,0.0,0.0021298859336189614,-0.012291862308268493,0.007542907104406643,-0.007890071733521298,0.008633386283832565,-0.020717018494663134,0.011109950474668851
15,0.0,0.0006067135655012031,322,0.0,0.0029546175635814793,-0.0035634191483793678,0.0011588126934393508,-0.0023897146602458383,0.004388814628522014,-0.0007125119197635364,0.0020523380718853517
16,0.0,0.0010845694901831817,321,0.0,0.0013435330289067971,-0.0001905863884073176,0.001965465639673467,0.0,0.006733383085386498,-0.004096269227902854,0.003062908847725445
17,0.0,0.001348436048445656,320,0.0,0.0006679225992174495,0.0,0.0015785539207583553,-0.006957828471325367,0.004428913804692363,0.0,0.0021593224237715113
18,0.0,0.010177489054522794,319,0.0,0.004890018152044175,0.0,0.00048354490448245164,0.0,0.006149870730583953,0.0011716669485894097,0.003087396285046526
19,0.0,0.008871115882467327,318,0.0,0.00045076291856374894,0.0,0.001592149592169692,-0.0004984806972376394,0.007439506645361582,-0.00568849586105919,0.002164028204461806
20,0.0,0.0012764793139485777,317,0.0,0.0010953608775830202,0.0,0.002146415790604572,0.0,0.004667237307638322,-0.006657260981410538,0.008281518587152129
21,0.0,0.00011919282155518465,316,0.0,0.0020070660423681178,-0.00021269954412417161,0.0013702710683634201,0.0,0.0034029486615671073,-0.00012982416846221736,0.0008164338695640209
22,0.0,0.00012152584852947086,315,0.0,0.0036564089905249623,-0.012227288529969155,0.0030671220852103234,0.0,0.013675792233472076,-0.000685154183159736,0.00890221102188423
23,0.0,0.002186142128658052,314,0.0,0.008000195979833216,-0.002855503702323992,0.0026955855562360393,-0.014126211167445038,0.011398377754327739,-0.00478422298422634,0.0041634444905844885
24,0.0061250115830277126,0.0054951592617307095,313,0.0,0.006051968580054198,-0.014303000689041365,0.00446141186091571,0.0003592297975132577,0.005500086082542296,0.0,0.00696598423270002
25,0.0,0.0010323433697397649,312,9.038565515669579e-05,0.006337356331312942,-0.042291678962121285,0.008775934880166298,-0.0035206970721299515,0.008090445235640422,-0.00044217039356983723,0.0027470772157044444
26,0.0,0.006892657838930093,311,0.0,0.008337098787571924,-0.02452099848213032,0.006145212494888547,-0.02141098441972293,0.012618081503680009,-0.027273926503939165,0.008744163628462084
27,0.0,0.007411235873746067,310,0.015275076993837726,0.02076762913006631,0.030113410674057053,0.004991784783631797,0.0,0.004219243979673855,0.0,0.0
28,0.012533981606995875,0.014283862599123839,309,0.03757558113557035,0.026634263777310964,-0.0008049194672545697,0.021683664662088015,-0.00393094624198106,0.005621360443382414,0.0,0.0008290497273913349
29,0.0,0.009331067966637716,308,0.07893056135379058,0.029503485180197325,0.02381382178377445,0.024569422745155126,-0.02771324291488841,0.010413655728449312,0.0,0.0002670716289968177
30,0.0036558018006425125,0.009663010479743233,307,0.0,0.024539782023143573,0.026098459059861592,0.019756688034932805,-0.0035688928094032555,0.0056358586000869034,0.0,0.0
31,0.0,0.0005627319556681654,306,0.0,0.0130269812377833,0.00466371531295748,0.00922028056961148,0.0,0.009827285042131583,0.0,0.0027474654601921627
32,0.02641683735750224,0.0022616750905106514,305,0.0,0.014160503433100382,0.014324197873723547,0.016173712246281658,0.008180242854404964,0.014572925231620112,0.0,0.005251937957808523
33,0.0,0.0012052852564570975,304,0.0,0.012070241652836738,0.0034483344200384922,0.00793629360500738,-0.007429872283653227,0.021381034258672417,0.0,0.0002460669879295254
34,0.008900844455116455,0.011481144066724765,303,0.0,0.0006400913835589659,0.0,0.01109958040419544,0.0010579326489682666,0.007603741573576826,-0.0017974120631198275,0.01765126390078051
35,0.0,0.006221710422972311,302,0.0,0.00226473827730752,0.0,0.006752859510524882,-0.0008748593715111215,0.005458848441710058,0.0,0.0
36,0.0,1.046426233022778e-05,301,0.0,0.001288874497995884,0.0,0.003183520103064013,-0.0038598025093271745,0.003948049541945325,0.0,2.0983090163201387e-05
37,0.0,0.0023501435334964543,300,0.0,0.001733870192211063,0.0,0.0023344601307449366,0.0,0.0015863638137287462,-0.010753077528357895,0.0013725510300436024
38,0.0004230550308774111,0.00011682989713115436,299,0.0,0.001752838761018269,0.0,0.0060643736173628575,0.0,0.004819921030342058,0.0,0.0
39,0.0016539480783784128,0.000521559621644578,298,0.0,0.0031063079367873864,0.0,0.0029549802175280505,0.0,0.003732589634735998,0.0,0.0
40,0.0,0.003317268582141856,297,0.0,0.0005096389135357616,0.0,0.0016204309328371066,0.0,0.0008128949027664311,0.0,0.0
41,0.0,2.1639368237719685e-06,296,0.0,0.00038036264712150566,0.0,0.0005953407428166267,0.0,0.0039362708195906536,0.0,0.0
