h,tau,beta,se,ci_lo,ci_hi,n,converged
0,0.1,-0.018987341772151778,0.015233253703017776,-0.09493670886075956,0.018987341772152,382,True
0,0.25,-0.018987341772151778,0.01688250157938969,-0.056962025316455556,0.018987341772152,382,True
0,0.5,-0.018987341772151778,0.01924531604408633,-0.056962025316455556,0.05696202531645578,382,True
0,0.75,-0.018987341772151778,0.01910622818694383,-0.056962025316455556,0.018987341772152,382,True
0,0.9,-0.056962025316455556,0.022018746567778424,-0.056962025316455556,-0.018987341772151778,382,True
3,0.1,0.018987341772152,0.06458767605492703,-0.1708860759493671,0.1708860759493671,379,True
3,0.25,-0.09493670886075956,0.04038927845066968,-0.1708860759493671,-0.018987341772151778,379,True
3,0.5,-0.056962025316455556,0.03675390726989892,-0.1708860759493671,0.018987341772152,379,True
3,0.75,0.018987341772152,0.030023810412067347,-0.056962025316455556,0.05696202531645578,379,True
3,0.9,-0.018987341772151778,0.04279466308920788,-0.056962025316455556,0.05696202531645578,379,True
6,0.1,-0.24683544303797467,0.07707013697699552,-0.5126582278481012,-0.056962025316455556,376,True
6,0.25,-0.13291139240506333,0.05937629398543825,-0.28481012658227844,-0.018987341772151778,376,True
6,0.5,-0.056962025316455556,0.05024928318994151,-0.1708860759493671,0.05696202531645578,376,True
6,0.75,-0.09493670886075956,0.04097071396984357,-0.1708860759493671,-0.018987341772151778,376,True
6,0.9,-0.1708860759493671,0.03991573548288126,-0.24683544303797467,-0.09493670886075956,376,True
9,0.1,-0.09493670886075956,0.10555007982346028,-0.3987341772151898,0.24683544303797467,373,True
9,0.25,-0.09493670886075956,0.07697009588899036,-0.24683544303797467,0.05696202531645578,373,True
9,0.5,-0.018987341772151778,0.05421155136321341,-0.09493670886075956,0.09493670886075956,373,True
9,0.75,-0.018987341772151778,0.04198340202164775,-0.09493670886075956,0.05696202531645578,373,True
9,0.9,-0.1708860759493671,0.03618576434528914,-0.2088607594936709,-0.018987341772151778,373,True
12,0.1,-0.018987341772151778,0.06274876688073287,-0.3227848101265822,0.24683544303797467,370,True
12,0.25,-0.056962025316455556,0.10141216474744673,-0.28481012658227844,0.09493670886075956,370,True
12,0.5,0.018987341772152,0.05768048558011255,-0.09493670886075956,0.13291139240506333,370,True
12,0.75,0.018987341772152,0.0499044789760014,-0.056962025316455556,0.13291139240506333,370,True
12,0.9,-0.09493670886075956,0.038435405339719425,-0.1708860759493671,0.13291139240506333,370,True
18,0.1,0.09493670886075956,0.07177754170739396,-0.13291139240506333,0.2088607594936709,364,True
18,0.25,-0.09493670886075956,0.06915319030367695,-0.24683544303797467,0.09493670886075956,364,True
18,0.5,0.018987341772152,0.060862829148734116,-0.09493670886075956,0.13291139240506333,364,True
18,0.75,0.018987341772152,0.05407872548594875,-0.09493670886075956,0.2088607594936709,364,True
18,0.9,0.05696202531645578,0.04892040236815859,-0.018987341772151778,0.1708860759493671,364,True
24,0.1,0.09493670886075956,0.10318764820591729,-0.3227848101265822,0.39873417721519,358,True
24,0.25,0.05696202531645578,0.0909163151844048,-0.2088607594936709,0.24683544303797467,358,True
24,0.5,0.1708860759493671,0.056736277701741826,0.05696202531645578,0.24683544303797467,358,True
24,0.75,0.2088607594936709,0.06003087247677965,0.05696202531645578,0.3227848101265822,358,True
24,0.9,0.1708860759493671,0.10303885891851938,0.018987341772152,0.39873417721519,358,True
36,0.1,0.018987341772152,0.08870009301852436,-0.1708860759493671,0.1708860759493671,346,True
36,0.25,0.24683544303797467,0.07169285031879749,-0.018987341772151778,0.5126582278481013,346,True
36,0.5,0.2088607594936709,0.07400352443094026,0.05696202531645578,0.3607594936708862,346,True
36,0.75,0.09493670886075956,0.06618711329299512,-0.056962025316455556,0.28481012658227844,346,True
36,0.9,0.1708860759493671,0.05459255322482556,-0.018987341772151778,0.24683544303797467,346,True
48,0.1,0.2088607594936709,0.07795393425876865,0.018987341772152,0.39873417721519,334,True
48,0.25,0.018987341772152,0.0746928954205077,-0.28481012658227844,0.24683544303797467,334,True
48,0.5,0.018987341772152,0.0853622837261,-0.13291139240506333,0.1708860759493671,334,True
48,0.75,-0.13291139240506333,0.0917682891617755,-0.28481012658227844,0.09493670886075956,334,True
48,0.9,0.1708860759493671,0.09976956975243936,-0.056962025316455556,0.3607594936708862,334,True
