h,coef,se
0,-0.01987959985603993,0.04068821715679998
1,-0.05752746607322479,0.08258748641321906
2,-0.09466363897149677,0.086838725295875
3,-0.16004206805337162,0.06503590530200312
4,-0.22282570451602624,0.07150485167143968
5,-0.2255554785015761,0.10687265122529356
6,-0.2528753863712154,0.09558869605230767
7,-0.29154306741861546,0.1095737870272078
8,-0.2278305393924711,0.14160278919400365
9,-0.08974280862821615,0.1641111187038244
10,-0.08350134922511643,0.1572859858393529
11,-0.11824621015330194,0.14751508393427312
12,-0.07671076933547738,0.1429090787430934
13,-0.07228648834239948,0.15036779891802107
14,-0.12629578320229484,0.13973557538871356
15,-0.033340804273336744,0.16656236049451728
16,-0.06831047526429757,0.17315215411700316
17,-0.0792618934319762,0.19230339978165015
18,-0.05607513571067102,0.15002970069241278
19,0.012819916704756906,0.13955620940376232
20,0.07797784478994174,0.11850712673977651
21,0.008805992206418978,0.12191976780691977
22,0.0012529076725513733,0.1267392916141325
23,0.011223602885252149,0.1343082393230879
24,0.05395989265593926,0.14674368631118265
25,0.13110266736532594,0.15043384796637066
26,0.1351249814075004,0.13300300315302696
27,0.21116147586690204,0.128277886563962
28,0.1921564232163746,0.13599240336637652
29,0.18181059192647808,0.11196540129615547
30,0.1382755161582736,0.10943478189986897
31,0.22741263437771408,0.13537926636767264
32,0.24510803101316725,0.12639864750480928
33,0.23247330306958247,0.1429989752687503
34,0.27935949260665893,0.15661157000221357
35,0.4136620622902569,0.17135398036626476
36,0.33132349498100666,0.15556543243974222
37,0.26783188820263604,0.14575460432894868
38,0.17815877685870873,0.17573535824921893
39,0.1832773764904232,0.17533841629039368
40,0.10615483197511821,0.16794213640852945
41,0.06461937277708785,0.15723288673058985
42,0.07370947555273233,0.17557536696046377
43,0.19553343247264365,0.18832012949916527
44,0.14018737629476163,0.1809656420256644
45,0.07839540318673244,0.17146324977809538
46,0.06736575595277827,0.1837802249245088
47,0.14814866546657868,0.15665901098253154
48,0.00627754472907327,0.1496295461176878
