h,Opt1_Coef,Opt2_Coef,Opt3_Coef,Opt3_SE
0,-0.03098,-0.03543,-0.03098,0.03842
1,-0.06178,-0.05881,-0.06178,0.05042
2,-0.12232,-0.0926,-0.12232,0.04456
3,-0.12528,-0.10805,-0.12528,0.07271
4,-0.12256,-0.09268,-0.12256,0.08204
5,-0.09629,-0.09513,-0.09629,0.07839
6,-0.07245,-0.0928,-0.07245,0.10109
7,-0.15997,-0.12835,-0.15997,0.10891
8,-0.10352,-0.10373,-0.10352,0.1156
9,-0.09834,-0.1172,-0.09834,0.12547
10,-0.14413,-0.10916,-0.14413,0.11933
11,-0.0144,-0.01677,-0.0144,0.1135
12,0.05536,0.0472,0.05536,0.11912
13,-0.03227,-0.00487,-0.03227,0.13433
14,0.00016,0.02035,0.00016,0.12378
15,0.0455,0.0529,0.0455,0.14294
16,0.05106,0.03228,0.05106,0.121
17,0.00676,0.06885,0.00676,0.11615
18,0.13738,0.17243,0.13738,0.10367
19,0.08695,0.09681,0.08695,0.11285
20,0.08378,0.07325,0.08378,0.09879
21,0.04611,0.05743,0.04611,0.09407
22,0.12827,0.09204,0.12827,0.10141
23,0.06676,0.12976,0.06676,0.09448
24,0.20682,0.20033,0.20682,0.10539
25,0.10764,0.14636,0.10764,0.10697
26,0.24929,0.21977,0.24929,0.13031
27,0.1566,0.15692,0.1566,0.13655
28,0.1353,0.11449,0.1353,0.11678
29,0.15891,0.18436,0.15891,0.1186
30,0.22777,0.22617,0.22777,0.14522
31,0.21383,0.20916,0.21383,0.12817
32,0.19714,0.20407,0.19714,0.15105
33,0.2009,0.17713,0.2009,0.14822
34,0.22482,0.22501,0.22482,0.12555
35,0.28015,0.27037,0.28015,0.1413
36,0.17743,0.17218,0.17743,0.11887
37,0.26584,0.27257,0.26584,0.10782
38,0.19926,0.17651,0.19926,0.13493
39,0.12951,0.17455,0.12951,0.13923
40,0.12593,0.10322,0.12593,0.11207
41,0.0465,0.03995,0.0465,0.12616
42,-0.0043,0.00492,-0.0043,0.14093
43,0.0617,0.05916,0.0617,0.1497
44,-0.01743,-0.01659,-0.01743,0.16966
45,-0.07101,-0.07181,-0.07101,0.1465
46,-0.021,-0.01611,-0.021,0.16144
47,0.12263,0.09605,0.12263,0.15424
48,0.08425,0.11589,0.08425,0.21293
