horizon,q25_linear,q50_linear,q75_linear,q25_mlrf,q50_mlrf,q75_mlrf
0,-0.019879599978139595,-0.030983357264631195,-0.01136671305539494,0.10185793793942302,0.10017178722593204,0.10370100944076076
1,-0.05752746138750808,-0.06177672896137665,-0.09358724219617898,0.10356560265783829,0.09989047963611533,0.10218464246604468
2,-0.09466363891806395,-0.12232371857112412,-0.030859173217322677,0.10469656665327522,0.10108648308107415,0.10294557552071516
3,-0.16004206989464365,-0.125278454637737,-0.031186900940156193,0.11128363704078256,0.10564443435983818,0.10410625725831443
4,-0.22282570446554928,-0.12255918557730183,-0.011394877374414136,0.11972043926163584,0.10616764015890093,0.10525448885763089
5,-0.22555547818592458,-0.0962877550694543,-0.030874253919591865,0.126281037729788,0.11447531533786616,0.11579183230367032
6,-0.25287538633983786,-0.07245124972678241,-0.07546375548236028,0.13456420936596517,0.11419858568767335,0.12474488730307746
7,-0.29154306717168765,-0.15996993284079508,-0.05599313631341829,0.1336410093258641,0.12274859465666035,0.12865254701916137
8,-0.22783053913190088,-0.10351640085184499,-0.006435572359805519,0.13381005761498055,0.1330941924611222,0.13303734892617625
9,-0.08974284559371881,-0.09834768553264439,-0.02279963846467581,0.13590647918660492,0.13891393633251944,0.13326245517482832
10,-0.08350133459862263,-0.14412547580286628,-0.02894403953428082,0.13912811415753565,0.14111192289004193,0.1374231281529082
11,-0.11824620987613343,-0.014399472594732288,0.0235300433082557,0.14674831561950485,0.1434374174505984,0.14172612078158425
12,-0.07671019036024518,0.0553641317619622,0.04555216870005552,0.14682172100713975,0.15042143318936754,0.14603804937939877
13,-0.07228648834507112,-0.032273395139782224,-0.003822888174909167,0.14706312920081405,0.15550726684177366,0.1514568477986499
14,-0.12629382566865388,0.00016224190937919047,-0.013347720900441118,0.14693452919299813,0.15840272049718207,0.15276031641112173
15,-0.0333408041156531,0.04550164043700988,-0.07052017312889802,0.1449975038045963,0.1606093712206172,0.15897423941442418
16,-0.0683106114374823,0.051064818920167454,-0.06652179685124793,0.15559241344259717,0.16576516359901713,0.16400710465284418
17,-0.07926189319414334,0.006759430496458663,-0.033249323521090446,0.1584386335392467,0.1683012277574014,0.16840531595408853
18,-0.05607513592985924,0.1373833215320701,-0.004608104977080529,0.16860005743489484,0.1740325501958631,0.1713909424125777
19,0.012819917428714689,0.08694645592413508,0.17271537948772675,0.16984704761992153,0.1756147695782973,0.1754448757640738
20,0.07797778308440684,0.08377975114126457,0.09374760948776384,0.1727247832520896,0.17853501323051169,0.17936151321193738
21,0.008805992250074723,0.04611397286365104,0.06913896452351764,0.1823431641428528,0.17874310490368045,0.18377538050289063
22,0.001252878606919694,0.12827422300415492,0.09323702827191482,0.18117181198131227,0.1847317021660818,0.1882560057126188
23,0.011223578383123822,0.07016899157406442,0.13313553485795637,0.19005569455046262,0.18568033125643396,0.1890360437664908
24,0.05395989267663026,0.2068171177588738,0.2314057578023494,0.1866953175286826,0.186697084572964,0.19583389286427647
25,0.13110267852169954,0.10764468585256282,0.20507006776460912,0.19073652331419144,0.18853964922601382,0.19323101919792315
26,0.13512498140417506,0.24928797723714524,0.20015481222071685,0.1810419814402687,0.1914093830059566,0.2017550012218001
27,0.21116147449356504,0.15660132565244567,0.16694906270583942,0.18480231161402838,0.19020475129310987,0.2037976041435664
28,0.19215642361393748,0.13530075549238063,0.33806665733845875,0.18669134139083565,0.1807759241616148,0.2110584298687971
29,0.1818105908096186,0.15891072685735708,0.26745522239298225,0.1852749789836945,0.18134285788395085,0.2071869384044705
30,0.13827551621034218,0.22777085321530421,0.29970975813193945,0.18826474212694597,0.18402996321020862,0.20871355028762367
