rank,feature_h6,shap_h6,feature_h24,shap_h24
1,llwip,0.1862114,llwip,0.27722928
2,L1_lwti,0.16627465,gs10,0.06314042
3,L2_lwti,0.027182613,vix,0.026612556
4,lpri,0.026783949,L2_lwti,0.02405734
5,vix,0.020981636,L1_lwti,0.023474246
6,L3_lwti,0.020156017,L2_lpri,0.017950682
7,indpro,0.018236838,gpr_usa_l1,0.016046267
8,gpr_usa_l1,0.017953994,gpr_chn_l1,0.014931017
9,gs10,0.01743268,gold,0.013546049
10,L2_lpri,0.012902795,lpri,0.013261302
11,dllgop,0.012805532,dl2lgop,0.011625888
12,bdi,0.011932769,indpro,0.009347474
