,pre_2015_shap,post_2015_shap,pre_rank,post_rank,rank_change
llwip,0.33881786,0.04196161,1,2,-1
L1_lwti,0.03844656,0.026981905,2,3,-1
L3_lwti,0.03773214,0.024900861,3,4,-1
L2_lwti,0.031515893,0.015136549,4,8,-4
gs10,0.020737559,0.008453486,5,13,-8
gpr_usa_l1,0.01666414,0.0027790375,6,15,-9
lpri,0.015718201,0.016654523,7,7,0
indpro,0.013026867,0.053825013,8,1,7
vix,0.012275457,0.011776502,9,9,0
L1_lpri,0.010736606,0.00881347,10,12,-2
L2_lpri,0.010472044,0.009392555,11,11,0
bdi,0.010079096,0.009933024,12,10,2
gold,0.007253662,0.0013229881,13,19,-6
brent,0.0037767363,0.01984478,14,6,8
cny_usd,0.003409018,0.020323863,15,5,10
gpr_chn_l1,0.002143919,0.0022523575,16,16,0
dllgop,0.0008099379,0.0019773743,17,18,-1
dl2lgop,0.00075075077,0.0045209513,18,14,4
d2pri,2.7667096e-05,0.002013606,19,17,2
