h,diff,W,p
0,0.019454222711756647,0.13092886141951174,0.7174709010404012
1,0.03886385129123225,0.2835066605671392,0.5944119844504729
2,0.07207101401145055,0.8403216905667451,0.35930478337329286
3,0.03161019532550631,0.16673538833385645,0.6830296200102499
4,0.023652206704043013,0.07652124317448752,0.7820682709584926
5,0.0365975667111719,0.16673821789385526,0.6830270766563149
6,0.07558534927812796,0.7104251048096465,0.39930272352257334
7,0.09134848599062047,0.9623870070616609,0.326586204941098
8,0.01811685696008772,0.02970629738789686,0.8631583303548704
9,-0.01799755995734663,0.03195950448461634,0.858116563823794
10,-0.018904008040049283,0.03529267185799214,0.8509837035396424
11,0.04300238855839644,0.18656673755001657,0.6657895869654271
12,0.044504709872771574,0.18847872486779493,0.6641857889439988
13,0.0996291786524669,0.7498636241601919,0.3865194116018741
14,0.12492573578059751,1.2412508232653214,0.26523012579488403
15,0.12544063844397696,1.021933740489946,0.3120607592338134
16,0.08209809843552118,0.49307460381553786,0.4825589904608465
17,0.03159582279283912,0.08414025682149481,0.7717631451073803
18,-0.0037518974260870586,0.0014038556915812002,0.9701118048599624
19,0.03673117313420653,0.13964079188669104,0.7086383751584233
20,-0.03164893174631328,0.09518274058333345,0.7576889649850242
21,-0.02879552815853899,0.06995155940354467,0.7914073225660947
22,-0.0536684300648097,0.2086472737685581,0.6478297291122483
23,-0.15753979499814486,1.375703908628418,0.24083428559207176
24,-0.1322760637254704,1.335466835498488,0.24783498574969443
25,-0.11074283644051072,0.6724957571291227,0.41218282346633406
26,-0.1234712813301074,1.3455077779836015,0.24606499103238066
27,-0.10424831156779578,1.046405708915242,0.30633633902655777
28,-0.1442368179885853,1.3299112509868658,0.2488210069368325
29,-0.11354502324444926,0.717423927281855,0.3969902098810707
30,-0.12414027392178217,0.7399153969012495,0.3896879808495196
31,-0.20597271372237225,1.7090340695691701,0.19111074300485076
32,-0.19821327504913777,2.6317686673031786,0.1047449744046891
33,-0.1926272337991001,2.7366739280571437,0.09806869443388333
34,-0.2028814618539386,2.9577736182218577,0.0854655473255761
35,-0.13203385617605393,1.1150180642197653,0.2909937282024495
36,-0.14067744996233544,1.7000850117048631,0.19227685981057807
37,-0.12567610338888893,1.3999150397118447,0.23673779627415137
38,-0.09547640124036097,0.8671517803915155,0.35174502486658343
39,-0.02624628047050301,0.05319191438908348,0.817599366289879
40,0.059248606918052504,0.2119594185111734,0.6452359476708838
41,-0.02171818808627617,0.029107771782525996,0.8645304350864508
42,-0.016437516764040885,0.016610651793494628,0.8974507684663119
43,-0.04752426563306251,0.1688476182852038,0.6811380029187851
44,-0.06372981588829496,0.3097637517975839,0.5778251928544241
45,-0.013181241399951714,0.014289170811437059,0.9048496751088033
46,-0.019378488941251045,0.03330117772076607,0.8552012595942416
47,0.031239581476020184,0.07259575464245316,0.7875941910328798
48,0.02574415663821303,0.038011247106260755,0.8454205567871601
