h,diff,W,p
0,0.061823853290970975,0.5586974062729555,0.45478555394971987
1,0.19702843471285525,2.4093951175538058,0.12060896121665132
2,0.22435051650705987,1.5898429870753508,0.20734856801802048
3,0.16896493330586482,0.7529567795129954,0.3855417085036351
4,0.07023605633944541,0.1277901141040534,0.7207344185324938
5,0.1044634654798442,0.2828682608385861,0.5948273901567129
6,0.16883247635219273,0.5966330543100022,0.4398655596076363
7,0.26325024055348106,1.4484885516444652,0.22877063208289228
8,0.19180309851378785,0.6250081354061116,0.42919229692419314
9,0.1516701320222754,0.3796497671923038,0.5377907346229431
10,0.04646099753269835,0.03745667813868755,0.8465382139426265
11,0.024578852217975043,0.010597025233750272,0.9180091197184174
12,0.04618962746690853,0.031577134860558645,0.8589589280857809
13,0.08749322896224021,0.11220912982650331,0.7376429549877024
14,0.11842160713266106,0.21159761100816643,0.6455180843896227
15,0.06125232896394866,0.061152123198741984,0.8046841429926334
16,0.09363819715549274,0.1458566207838364,0.7025267895424687
17,0.11234861904585217,0.17025150440901088,0.6798883844446422
18,0.034976961453860866,0.024232668083675673,0.8762943627480682
19,0.14763200980766897,0.513057035599728,0.4738184749118649
20,0.021581353852563906,0.009975463103818033,0.9204417856990262
21,0.010998339755274242,0.0021453676664844996,0.963056702074074
22,0.09118302610315901,0.16749084919252227,0.6823514650857829
23,0.07918226335745933,0.12878747408669514,0.7196925546556546
24,-0.0375767002730205,0.027766684434944677,0.8676585248358296
25,-0.24355614956070054,0.6689357376641116,0.41342290352413813
26,-0.1011640978013509,0.19928687571524722,0.6552970761298854
27,-0.20110273581882146,0.9036972221129659,0.3417922806865753
28,-0.09016832853311665,0.1490001521729041,0.6994926855268515
29,0.16285985984404655,0.3377768531540774,0.5611152838956259
30,0.06907152546210478,0.0853267542606681,0.7702044812865043
31,-0.010597905793885358,0.0018874364752818097,0.9653470961704916
32,0.05894878152316593,0.07138251083020575,0.7893343802970321
33,0.03703016497618561,0.030008000706382085,0.8624720777576753
34,-0.017372145762340266,0.0047553664777676505,0.9450221234620064
35,0.20563213827443583,0.7888436411585416,0.37445001217742946
36,0.22720724795473984,0.8852815302292936,0.34675917969806347
37,0.04909928282447294,0.05507599644718974,0.8144549719117311
38,-0.03906096649645006,0.042476678066193256,0.8367138067867737
39,-0.039476915782689644,0.03770542348380811,0.8460358475748049
40,-0.1316496330796007,0.4053954273216815,0.5243159057556135
41,-0.12813355860115977,0.3610456236606875,0.5479260956402889
42,-0.05024953580158919,0.0578641463320965,0.8099041581012083
43,0.013482860837285296,0.004976482968926223,0.9437605283249365
44,-0.03135317523158286,0.02894005490256239,0.8649175205439155
45,-0.08219723607489361,0.20725973142186735,0.6489237292071603
46,-0.09545835814238175,0.2814819581179521,0.5957315300701156
47,-0.022066414140082723,0.010716135718004824,0.9175512533102648
48,0.07743668250859906,0.09405948585507486,0.7590784364103387
