h,diff,W,p
0,-0.06515434657491603,1.3929447612514296,0.237908428828025
1,-0.07363206501170616,0.8694647288692129,0.3511035369293778
2,-0.05372211340204203,0.2567896925199717,0.612334307387584
3,-0.029268604595737102,0.05151852859766332,0.8204416780562532
4,-0.0021461741036947757,0.00023964079229603867,0.9876489724806204
5,0.06630200117081309,0.19446411243799483,0.6592268587628083
6,0.007281283757517798,0.002299715637595716,0.961751826809845
7,0.049305398287661006,0.08214310201942936,0.7744138824458605
8,0.17206744095776827,0.70996025947319,0.3994570051018047
9,0.18333212642565755,0.8317436271597928,0.3617688251634771
10,0.1793315360713592,0.8156383650408944,0.3664584995313045
11,0.2674070774288104,2.0539313421783008,0.15181373704302514
12,0.2310356282572954,1.5094169003566935,0.2192280837644247
13,0.24623334860133994,1.4402133122399476,0.2301048250103489
14,0.2104690213703968,0.9253064046037278,0.3360855302253115
15,0.24989625837956098,1.1253165864815151,0.28877652872652626
16,0.1738015147891403,0.6196745995376458,0.4311682324937912
17,0.14513385544158908,0.4460563269065351,0.5042137159478459
18,0.28930216159956146,1.7627899174840007,0.18427690655034024
19,0.3532114243271991,2.6318340976287815,0.10474065847676806
20,0.3381675968833626,2.6831799196147483,0.10141303927343992
21,0.2881014040089447,2.1468498883711566,0.14286274379881003
22,0.18712156626091314,1.0014672409837193,0.31695573876494276
23,0.17005670624046942,0.603693086148868,0.43717240558656556
24,0.30704758706386315,1.5819230930947743,0.20848390480475598
25,0.363523525152452,2.6939504053108303,0.10072980177094848
26,0.28586566265587976,2.0239521769247455,0.1548356893237871
27,0.26056948579347505,1.756714099813217,0.18503489796878303
28,0.17038451945828115,0.6250054883898051,0.4291932741744706
29,0.10580120531174231,0.1670555449940412,0.6827420063544228
30,0.10900805022436799,0.18874934615150962,0.6639595704918815
31,0.05186884147648385,0.04205571436464816,0.8375136070266525
32,0.14854637533896664,0.43078722653747203,0.5116029208190931
33,0.21473673067179533,0.9666172687937801,0.32552527369840945
34,0.26114851578189757,1.4028993506863439,0.23623872746999397
35,0.16054966217860311,0.45885637042772454,0.4981589354766073
36,0.026029538262825724,0.009076135088947147,0.924101362105011
37,0.042055925516415016,0.024974551445745057,0.874430490156757
38,0.039455879821375106,0.021346723310245442,0.8838383580970296
39,0.06005530941358472,0.04195113061436885,0.8377129546658817
40,0.01109308342844173,0.0012319164613162274,0.9720010639282035
41,-0.1673045450213948,0.2859129379581876,0.5928515993992286
42,-0.22937705768786287,0.619275772761733,0.43131654067101965
43,-0.2334475214494134,0.9213114636736002,0.33713086020042915
44,-0.17769767188412544,0.5950179252120625,0.44048525184769693
45,-0.18989869392655123,0.8745022092682452,0.34971191476914154
46,-0.1869749796937512,0.9591881446220837,0.3273915089535846
47,-0.3023929078827621,2.465788872913219,0.11634927455470934
48,-0.3589916944487115,2.81562551378227,0.09335050123313726
